Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2007,0	8	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	01	La Jacetania
2007,0	8	92	Actividades recreativas, culturales y deportivas	04	La Ribagorza
2007,0	8	34	Fabricación de vehículos de motor, remolques y semirremolques	10	Los Monegros
2007,0	8	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro
2007,0	8	45	Construcción	22	Campo de Belchite
2007,0	8	14	Extracción de minerales no metálicos ni energéticos	25	Jiloca
2007,0	8	21	Industria del papel	27	Andorra-Sierra de Arcos
2007,0	7	28	Fabricación de productos metálicos, excepto maquinaria y equipo	02	Alto Gállego
2007,0	7	92	Actividades recreativas, culturales y deportivas	02	Alto Gállego
2007,0	7	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza
2007,0	6	26	Fabricación de otros productos minerales no metálicos	18	Ribera Baja del Ebro
2007,0	6	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	18	Ribera Baja del Ebro
2007,0	6	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007,0	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2007,0	6	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2007,0	6	34	Fabricación de vehículos de motor, remolques y semirremolques	24	Campo de Daroca
2007,0	6	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	NC	Municipio del centro de trabajo fuera de Aragón
2007,0	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón
2007,0	6	63	Actividades anexas a los transportes; actividades de agencias de viajes	NC	Municipio del centro de trabajo fuera de Aragón
2007,0	6	85	Actividades sanitarias y veterinarias, servicio social	NC	Municipio del centro de trabajo fuera de Aragón
2007,0	5	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda
2007,0	5	60	Transporte terrestre; transporte por tuberías	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007,0	4	55	Hostelería	03	Sobrarbe
2007,0	4	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe
2007,0	4	28	Fabricación de productos metálicos, excepto maquinaria y equipo	14	Aranda
2007,0	4	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	14	Aranda
2007,0	4	60	Transporte terrestre; transporte por tuberías	14	Aranda
2007,0	4	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite
2007,0	4	24	Industria química	23	Bajo Martín
2007,0	4	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	23	Bajo Martín
2007,0	4	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2007,0	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2007,0	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32	Gúdar-Javalambre
2007,0	4	75	Administración pública, defensa y seguridad social obligatoria	32	Gúdar-Javalambre
2007,0	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	33	Matarraña / Matarranya
2007,0	4	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	33	Matarraña / Matarranya
2007,0	3	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2007,0	3	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	03	Sobrarbe
2007,0	3	26	Fabricación de otros productos minerales no metálicos	22	Campo de Belchite
2007,0	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2007,0	3	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2007,0	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	32	Gúdar-Javalambre
2007,0	3	55	Hostelería	32	Gúdar-Javalambre
2007,0	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	22	Campo de Belchite
2007,0	2	34	Fabricación de vehículos de motor, remolques y semirremolques	22	Campo de Belchite
2007,0	2	14	Extracción de minerales no metálicos ni energéticos	30	Maestrazgo
2007,0	2	60	Transporte terrestre; transporte por tuberías	30	Maestrazgo
2007,0	2	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo
2007,0	1	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2007,0	1	36	Fabricación de muebles; otras industrias manufactureras	31	Sierra de Albarracín
2007,0	1	55	Hostelería	31	Sierra de Albarracín
2007,0	1	75	Administración pública, defensa y seguridad social obligatoria	31	Sierra de Albarracín
2007,0	1	80	Educación	31	Sierra de Albarracín
2006,0	2876	45	Construcción	17	D.C. Zaragoza
2006,0	877	28	Fabricación de productos metálicos, excepto maquinaria y equipo	17	D.C. Zaragoza
2006,0	815	29	Industria de la construción de maquinaria y equipo mecánico	17	D.C. Zaragoza
2006,0	631	60	Transporte terrestre; transporte por tuberías	17	D.C. Zaragoza
2006,0	577	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza
2006,0	412	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2006,0	267	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2006,0	189	45	Construcción	05	Cinco Villas
2006,0	146	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2006,0	144	45	Construcción	08	Cinca Medio
2006,0	136	45	Construcción	15	Ribera Alta del Ebro
2006,0	132	45	Construcción	02	Alto Gállego
2006,0	132	45	Construcción	29	Comunidad de Teruel
2006,0	132	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2006,0	126	45	Construcción	01	La Jacetania
2006,0	125	45	Construcción	16	Valdejalón
2006,0	120	45	Construcción	28	Bajo Aragón
2006,0	105	45	Construcción	07	Somontano de Barbastro
2006,0	104	45	Construcción	11	Bajo Cinca / Baix Cinca
2006,0	89	28	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2006,0	87	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2006,0	86	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón
2006,0	85	45	Construcción	20	Comunidad de Calatayud
2006,0	78	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	05	Cinco Villas
2006,0	74	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón
2006,0	69	45	Construcción	09	La Litera / La Llitera
2006,0	66	28	Fabricación de productos metálicos, excepto maquinaria y equipo	16	Valdejalón
2006,0	62	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera
2006,0	62	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja
2006,0	62	45	Construcción	21	Campo de Cariñena
2006,0	59	45	Construcción	12	Tarazona y el Moncayo
2006,0	58	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2006,0	57	45	Construcción	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006,0	56	45	Construcción	04	La Ribagorza
2006,0	56	60	Transporte terrestre; transporte por tuberías	15	Ribera Alta del Ebro
2006,0	55	45	Construcción	10	Los Monegros
2006,0	53	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	06	Hoya de Huesca / Plana de Uesca
2006,0	51	29	Industria de la construción de maquinaria y equipo mecánico	06	Hoya de Huesca / Plana de Uesca
2006,0	51	45	Construcción	27	Andorra-Sierra de Arcos
2006,0	50	45	Construcción	13	Campo de Borja
2006,0	49	26	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2006,0	49	60	Transporte terrestre; transporte por tuberías	06	Hoya de Huesca / Plana de Uesca
2006,0	46	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón
2006,0	44	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	29	Comunidad de Teruel
2006,0	43	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón
2006,0	42	45	Construcción	32	Gúdar-Javalambre
2006,0	41	29	Industria de la construción de maquinaria y equipo mecánico	05	Cinco Villas
2006,0	41	28	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio
2006,0	41	28	Fabricación de productos metálicos, excepto maquinaria y equipo	11	Bajo Cinca / Baix Cinca
2006,0	40	45	Construcción	25	Jiloca
2006,0	39	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006,0	36	45	Construcción	18	Ribera Baja del Ebro
2006,0	35	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro
2006,0	33	29	Industria de la construción de maquinaria y equipo mecánico	07	Somontano de Barbastro
2006,0	33	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2006,0	33	36	Fabricación de muebles; otras industrias manufactureras	21	Campo de Cariñena
2006,0	33	28	Fabricación de productos metálicos, excepto maquinaria y equipo	26	Cuencas Mineras
2006,0	33	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
2006,0	31	15	Industria de productos alimenticios y bebidas	11	Bajo Cinca / Baix Cinca
2006,0	31	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena
2006,0	31	34	Fabricación de vehículos de motor, remolques y semirremolques	29	Comunidad de Teruel
2006,0	30	60	Transporte terrestre; transporte por tuberías	01	La Jacetania
2006,0	30	60	Transporte terrestre; transporte por tuberías	08	Cinca Medio
2006,0	30	75	Administración pública, defensa y seguridad social obligatoria	20	Comunidad de Calatayud
2006,0	28	45	Construcción	03	Sobrarbe
2006,0	28	24	Industria química	08	Cinca Medio
2006,0	28	29	Industria de la construción de maquinaria y equipo mecánico	08	Cinca Medio
2006,0	27	15	Industria de productos alimenticios y bebidas	05	Cinco Villas
2006,0	27	15	Industria de productos alimenticios y bebidas	13	Campo de Borja
2006,0	27	45	Construcción	23	Bajo Martín
2006,0	27	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel
2006,0	26	15	Industria de productos alimenticios y bebidas	25	Jiloca
2006,0	26	45	Construcción	33	Matarraña / Matarranya
2006,0	25	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	07	Somontano de Barbastro
2006,0	25	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja
2006,0	25	25	Fabricacion de productos de caucho y materias plasticas	28	Bajo Aragón
2006,0	24	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego
2006,0	24	45	Construcción	14	Aranda
2006,0	24	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2006,0	24	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	28	Bajo Aragón
2006,0	23	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	09	La Litera / La Llitera
2006,0	23	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena
2006,0	23	60	Transporte terrestre; transporte por tuberías	27	Andorra-Sierra de Arcos
2006,0	23	28	Fabricación de productos metálicos, excepto maquinaria y equipo	NC	Municipio del centro de trabajo fuera de Aragón
2006,0	22	15	Industria de productos alimenticios y bebidas	07	Somontano de Barbastro
2006,0	22	60	Transporte terrestre; transporte por tuberías	11	Bajo Cinca / Baix Cinca
2006,0	22	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20	Comunidad de Calatayud
2006,0	22	60	Transporte terrestre; transporte por tuberías	20	Comunidad de Calatayud
2006,0	22	27	Metalurgia	25	Jiloca
2006,0	22	45	Construcción	26	Cuencas Mineras
2006,0	21	28	Fabricación de productos metálicos, excepto maquinaria y equipo	13	Campo de Borja
2006,0	21	60	Transporte terrestre; transporte por tuberías	23	Bajo Martín
2006,0	21	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya
2006,0	20	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	09	La Litera / La Llitera
2006,0	20	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera
2006,0	19	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania
2006,0	19	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros
2006,0	19	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12	Tarazona y el Moncayo
2006,0	19	28	Fabricación de productos metálicos, excepto maquinaria y equipo	18	Ribera Baja del Ebro
2006,0	19	15	Industria de productos alimenticios y bebidas	29	Comunidad de Teruel
2006,0	19	60	Transporte terrestre; transporte por tuberías	29	Comunidad de Teruel
2006,0	18	14	Extracción de minerales no metálicos ni energéticos	28	Bajo Aragón
2006,0	17	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	07	Somontano de Barbastro
2006,0	17	26	Fabricación de otros productos minerales no metálicos	21	Campo de Cariñena
2006,0	17	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos
2006,0	15	55	Hostelería	02	Alto Gállego
2006,0	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2006,0	15	45	Construcción	22	Campo de Belchite
2006,0	14	74	Otras actividades empresariales	NC	Municipio del centro de trabajo fuera de Aragón
2006,0	13	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza
2006,0	13	35	Fabricación de otro material de transporte	12	Tarazona y el Moncayo
2006,0	13	60	Transporte terrestre; transporte por tuberías	12	Tarazona y el Moncayo
2006,0	12	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006,0	12	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca
2006,0	12	24	Industria química	26	Cuencas Mineras
2006,0	12	45	Construcción	31	Sierra de Albarracín
2006,0	11	24	Industria química	18	Ribera Baja del Ebro
2006,0	11	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32	Gúdar-Javalambre
2006,0	11	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón
2006,0	10	55	Hostelería	01	La Jacetania
2006,0	10	34	Fabricación de vehículos de motor, remolques y semirremolques	10	Los Monegros
2006,0	10	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10	Los Monegros
2006,0	10	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda
2006,0	10	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	18	Ribera Baja del Ebro
2006,0	10	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006,0	10	45	Construcción	24	Campo de Daroca
2006,0	9	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza
2006,0	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro
2006,0	9	15	Industria de productos alimenticios y bebidas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006,0	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2006,0	9	29	Industria de la construción de maquinaria y equipo mecánico	NC	Municipio del centro de trabajo fuera de Aragón
2006,0	9	70	Actividades inmobiliarias	NC	Municipio del centro de trabajo fuera de Aragón
2006,0	8	24	Industria química	02	Alto Gállego
2006,0	8	93	Actividades diversas de servicios personales	02	Alto Gállego
2006,0	8	55	Hostelería	03	Sobrarbe
2006,0	8	75	Administración pública, defensa y seguridad social obligatoria	10	Los Monegros
2006,0	8	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca
2006,0	8	14	Extracción de minerales no metálicos ni energéticos	25	Jiloca
2006,0	8	26	Fabricación de otros productos minerales no metálicos	25	Jiloca
2006,0	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	01	La Jacetania
2006,0	7	14	Extracción de minerales no metálicos ni energéticos	04	La Ribagorza
2006,0	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	04	La Ribagorza
2006,0	7	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras
2006,0	7	45	Construcción	30	Maestrazgo
2006,0	6	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca
2006,0	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	32	Gúdar-Javalambre
2006,0	5	14	Extracción de minerales no metálicos ni energéticos	03	Sobrarbe
2006,0	5	21	Industria del papel	27	Andorra-Sierra de Arcos
2006,0	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2006,0	5	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre
2006,0	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2006,0	4	60	Transporte terrestre; transporte por tuberías	14	Aranda
2006,0	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	22	Campo de Belchite
2006,0	4	24	Industria química	23	Bajo Martín
2006,0	4	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2006,0	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2006,0	4	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	32	Gúdar-Javalambre
2006,0	4	24	Industria química	32	Gúdar-Javalambre
2006,0	4	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2006,0	3	13	Extracción de minerales metálicos	14	Aranda
2006,0	3	28	Fabricación de productos metálicos, excepto maquinaria y equipo	14	Aranda
2006,0	3	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	14	Aranda
2006,0	3	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda
2006,0	3	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite
2006,0	3	34	Fabricación de vehículos de motor, remolques y semirremolques	22	Campo de Belchite
2006,0	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín
2006,0	3	21	Industria del papel	23	Bajo Martín
2006,0	3	60	Transporte terrestre; transporte por tuberías	30	Maestrazgo
2006,0	2	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2006,0	2	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe
2006,0	2	92	Actividades recreativas, culturales y deportivas	03	Sobrarbe
2006,0	2	26	Fabricación de otros productos minerales no metálicos	22	Campo de Belchite
2006,0	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	22	Campo de Belchite
2006,0	2	60	Transporte terrestre; transporte por tuberías	22	Campo de Belchite
2006,0	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2006,0	2	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	30	Maestrazgo
2006,0	2	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	33	Matarraña / Matarranya
2006,0	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	33	Matarraña / Matarranya
2006,0	2	70	Actividades inmobiliarias	33	Matarraña / Matarranya
2006,0	2	31	Fabricación de maquinaria y material eléctrico	NC	Municipio del centro de trabajo fuera de Aragón
2006,0	1	28	Fabricación de productos metálicos, excepto maquinaria y equipo	24	Campo de Daroca
2006,0	1	34	Fabricación de vehículos de motor, remolques y semirremolques	24	Campo de Daroca
2006,0	1	55	Hostelería	24	Campo de Daroca
2006,0	1	60	Transporte terrestre; transporte por tuberías	24	Campo de Daroca
2006,0	1	91	Actividades asociativas	24	Campo de Daroca
2006,0	1	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2006,0	1	14	Extracción de minerales no metálicos ni energéticos	31	Sierra de Albarracín
2006,0	1	29	Industria de la construción de maquinaria y equipo mecánico	31	Sierra de Albarracín
2006,0	1	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	31	Sierra de Albarracín
2006,0	1	60	Transporte terrestre; transporte por tuberías	31	Sierra de Albarracín
2006,0	1	75	Administración pública, defensa y seguridad social obligatoria	31	Sierra de Albarracín
2006,0	1	80	Educación	31	Sierra de Albarracín
2005,0	2620	45	Construcción	17	D.C. Zaragoza
2005,0	799	28	Fabricación de productos metálicos, excepto maquinaria y equipo	17	D.C. Zaragoza
2005,0	758	29	Industria de la construción de maquinaria y equipo mecánico	17	D.C. Zaragoza
2005,0	595	60	Transporte terrestre; transporte por tuberías	17	D.C. Zaragoza
2005,0	545	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza
2005,0	372	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2005,0	226	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2005,0	172	45	Construcción	05	Cinco Villas
2005,0	159	45	Construcción	01	La Jacetania
2005,0	136	45	Construcción	29	Comunidad de Teruel
2005,0	124	45	Construcción	15	Ribera Alta del Ebro
2005,0	123	45	Construcción	02	Alto Gállego
2005,0	122	45	Construcción	28	Bajo Aragón
2005,0	117	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2005,0	111	45	Construcción	16	Valdejalón
2005,0	109	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2005,0	103	45	Construcción	20	Comunidad de Calatayud
2005,0	93	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón
2005,0	90	45	Construcción	08	Cinca Medio
2005,0	85	45	Construcción	11	Bajo Cinca / Baix Cinca
2005,0	82	45	Construcción	07	Somontano de Barbastro
2005,0	77	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja
2005,0	76	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	05	Cinco Villas
2005,0	74	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón
2005,0	73	45	Construcción	10	Los Monegros
2005,0	68	29	Industria de la construción de maquinaria y equipo mecánico	06	Hoya de Huesca / Plana de Uesca
2005,0	67	28	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2005,0	64	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2005,0	63	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
2005,0	61	45	Construcción	09	La Litera / La Llitera
2005,0	59	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera
2005,0	56	26	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2005,0	55	60	Transporte terrestre; transporte por tuberías	15	Ribera Alta del Ebro
2005,0	53	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca
2005,0	52	45	Construcción	13	Campo de Borja
2005,0	51	28	Fabricación de productos metálicos, excepto maquinaria y equipo	16	Valdejalón
2005,0	50	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005,0	49	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	29	Comunidad de Teruel
2005,0	47	45	Construcción	32	Gúdar-Javalambre
2005,0	46	60	Transporte terrestre; transporte por tuberías	16	Valdejalón
2005,0	46	15	Industria de productos alimenticios y bebidas	25	Jiloca
2005,0	44	45	Construcción	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005,0	43	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2005,0	42	29	Industria de la construción de maquinaria y equipo mecánico	05	Cinco Villas
2005,0	42	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón
2005,0	40	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	06	Hoya de Huesca / Plana de Uesca
2005,0	40	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena
2005,0	38	45	Construcción	04	La Ribagorza
2005,0	38	45	Construcción	23	Bajo Martín
2005,0	38	45	Construcción	25	Jiloca
2005,0	35	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja
2005,0	34	45	Construcción	03	Sobrarbe
2005,0	33	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2005,0	33	45	Construcción	21	Campo de Cariñena
2005,0	31	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	29	Comunidad de Teruel
2005,0	30	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja
2005,0	30	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro
2005,0	30	60	Transporte terrestre; transporte por tuberías	28	Bajo Aragón
2005,0	29	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	05	Cinco Villas
2005,0	29	75	Administración pública, defensa y seguridad social obligatoria	05	Cinco Villas
2005,0	29	45	Construcción	12	Tarazona y el Moncayo
2005,0	28	24	Industria química	08	Cinca Medio
2005,0	28	29	Industria de la construción de maquinaria y equipo mecánico	08	Cinca Medio
2005,0	28	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	09	La Litera / La Llitera
2005,0	27	28	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio
2005,0	27	36	Fabricación de muebles; otras industrias manufactureras	21	Campo de Cariñena
2005,0	27	28	Fabricación de productos metálicos, excepto maquinaria y equipo	26	Cuencas Mineras
2005,0	26	15	Industria de productos alimenticios y bebidas	20	Comunidad de Calatayud
2005,0	26	45	Construcción	27	Andorra-Sierra de Arcos
2005,0	26	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	28	Bajo Aragón
2005,0	25	60	Transporte terrestre; transporte por tuberías	23	Bajo Martín
2005,0	24	60	Transporte terrestre; transporte por tuberías	01	La Jacetania
2005,0	24	26	Fabricación de otros productos minerales no metálicos	21	Campo de Cariñena
2005,0	24	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2005,0	24	60	Transporte terrestre; transporte por tuberías	29	Comunidad de Teruel
2005,0	23	29	Industria de la construción de maquinaria y equipo mecánico	07	Somontano de Barbastro
2005,0	23	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros
2005,0	23	27	Metalurgia	25	Jiloca
2005,0	23	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel
2005,0	23	45	Construcción	33	Matarraña / Matarranya
2005,0	23	60	Transporte terrestre; transporte por tuberías	NC	Municipio del centro de trabajo fuera de Aragón
2005,0	22	60	Transporte terrestre; transporte por tuberías	11	Bajo Cinca / Baix Cinca
2005,0	21	15	Industria de productos alimenticios y bebidas	07	Somontano de Barbastro
