Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2008,0	22	60	Transporte terrestre; transporte por tuberías	11	Bajo Cinca / Baix Cinca
2008,0	22	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel
2008,0	21	60	Transporte terrestre; transporte por tuberías	01	La Jacetania
2008,0	21	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2008,0	19	92	Actividades recreativas, culturales y deportivas	04	La Ribagorza
2008,0	19	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros
2008,0	19	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja
2008,0	19	15	Industria de productos alimenticios y bebidas	20	Comunidad de Calatayud
2008,0	19	60	Transporte terrestre; transporte por tuberías	28	Bajo Aragón
2008,0	18	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania
2008,0	18	45	Construcción	14	Aranda
2008,0	17	60	Transporte terrestre; transporte por tuberías	09	La Litera / La Llitera
2008,0	17	45	Construcción	23	Bajo Martín
2008,0	17	60	Transporte terrestre; transporte por tuberías	27	Andorra-Sierra de Arcos
2008,0	17	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	28	Bajo Aragón
2008,0	16	29	Industria de la construción de maquinaria y equipo mecánico	11	Bajo Cinca / Baix Cinca
2008,0	16	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12	Tarazona y el Moncayo
2008,0	16	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008,0	16	27	Metalurgia	25	Jiloca
2008,0	16	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos
2008,0	16	28	Fabricación de productos metálicos, excepto maquinaria y equipo	NC	Municipio del centro de trabajo fuera de Aragón
2008,0	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera
2008,0	15	29	Industria de la construción de maquinaria y equipo mecánico	09	La Litera / La Llitera
2008,0	15	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	09	La Litera / La Llitera
2008,0	15	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	21	Campo de Cariñena
2008,0	14	92	Actividades recreativas, culturales y deportivas	02	Alto Gállego
2008,0	14	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008,0	14	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca
2008,0	14	45	Construcción	31	Sierra de Albarracín
2008,0	14	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya
2008,0	13	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo
2008,0	13	45	Construcción	21	Campo de Cariñena
2008,0	13	60	Transporte terrestre; transporte por tuberías	23	Bajo Martín
2008,0	13	29	Industria de la construción de maquinaria y equipo mecánico	NC	Municipio del centro de trabajo fuera de Aragón
2008,0	12	55	Hostelería	04	La Ribagorza
2008,0	12	15	Industria de productos alimenticios y bebidas	10	Los Monegros
2008,0	12	28	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2008,0	12	28	Fabricación de productos metálicos, excepto maquinaria y equipo	26	Cuencas Mineras
2008,0	12	45	Construcción	26	Cuencas Mineras
2008,0	12	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2008,0	11	55	Hostelería	01	La Jacetania
2008,0	11	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	12	Tarazona y el Moncayo
2008,0	11	75	Administración pública, defensa y seguridad social obligatoria	12	Tarazona y el Moncayo
2008,0	11	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda
2008,0	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro
2008,0	11	28	Fabricación de productos metálicos, excepto maquinaria y equipo	18	Ribera Baja del Ebro
2008,0	11	26	Fabricación de otros productos minerales no metálicos	25	Jiloca
2008,0	10	45	Construcción	30	Maestrazgo
2008,0	9	28	Fabricación de productos metálicos, excepto maquinaria y equipo	02	Alto Gállego
2008,0	9	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	04	La Ribagorza
2008,0	9	29	Industria de la construción de maquinaria y equipo mecánico	10	Los Monegros
2008,0	9	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	10	Los Monegros
2008,0	9	24	Industria química	26	Cuencas Mineras
2008,0	9	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras
2008,0	8	55	Hostelería	03	Sobrarbe
2008,0	8	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza
2008,0	8	29	Industria de la construción de maquinaria y equipo mecánico	18	Ribera Baja del Ebro
2008,0	8	15	Industria de productos alimenticios y bebidas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008,0	8	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre
2008,0	7	92	Actividades recreativas, culturales y deportivas	01	La Jacetania
2008,0	7	26	Fabricación de otros productos minerales no metálicos	18	Ribera Baja del Ebro
2008,0	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín
2008,0	7	45	Construcción	24	Campo de Daroca
2008,0	7	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2008,0	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	32	Gúdar-Javalambre
2008,0	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	NC	Municipio del centro de trabajo fuera de Aragón
2008,0	6	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego
2008,0	6	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	02	Alto Gállego
2008,0	6	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32	Gúdar-Javalambre
2008,0	6	75	Administración pública, defensa y seguridad social obligatoria	32	Gúdar-Javalambre
2008,0	6	92	Actividades recreativas, culturales y deportivas	32	Gúdar-Javalambre
2008,0	6	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2008,0	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón
2008,0	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	22	Campo de Belchite
2008,0	5	60	Transporte terrestre; transporte por tuberías	22	Campo de Belchite
2008,0	5	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2008,0	5	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	30	Maestrazgo
2008,0	5	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	33	Matarraña / Matarranya
2008,0	4	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe
2008,0	4	13	Extracción de minerales metálicos	14	Aranda
2008,0	4	28	Fabricación de productos metálicos, excepto maquinaria y equipo	14	Aranda
2008,0	4	26	Fabricación de otros productos minerales no metálicos	22	Campo de Belchite
2008,0	4	45	Construcción	22	Campo de Belchite
2008,0	4	27	Metalurgia	23	Bajo Martín
2008,0	4	28	Fabricación de productos metálicos, excepto maquinaria y equipo	23	Bajo Martín
2008,0	4	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca
2008,0	4	14	Extracción de minerales no metálicos ni energéticos	27	Andorra-Sierra de Arcos
2008,0	3	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	03	Sobrarbe
2008,0	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	14	Aranda
2008,0	3	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda
2008,0	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2008,0	2	14	Extracción de minerales no metálicos ni energéticos	03	Sobrarbe
2008,0	2	15	Industria de productos alimenticios y bebidas	03	Sobrarbe
2008,0	2	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	03	Sobrarbe
2008,0	2	63	Actividades anexas a los transportes; actividades de agencias de viajes	03	Sobrarbe
2008,0	2	14	Extracción de minerales no metálicos ni energéticos	22	Campo de Belchite
2008,0	2	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite
2008,0	2	15	Industria de productos alimenticios y bebidas	30	Maestrazgo
2008,0	2	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2008,0	2	60	Transporte terrestre; transporte por tuberías	31	Sierra de Albarracín
2008,0	1	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2008,0	1	27	Metalurgia	24	Campo de Daroca
2008,0	1	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	24	Campo de Daroca
2008,0	1	60	Transporte terrestre; transporte por tuberías	24	Campo de Daroca
2008,0	1	74	Otras actividades empresariales	24	Campo de Daroca
2008,0	1	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	30	Maestrazgo
