Comarca código	Comarca nombre	Superficie (km2)	Población	Densidad de población (hab/km2)	Año
05	Cinco Villas	3062,44	33029,0	10,7851908935359	2004
05	Cinco Villas	3062,44	32599,0	10,6447799793629	2003
05	Cinco Villas	3062,44	32669,0	10,6676375700422	2002
05	Cinco Villas	3062,44	32120,0	10,4883687517143	2001
05	Cinco Villas	3062,44	31737,0	10,3633050769974	2000
05	Cinco Villas	3062,44	31738,0	10,3636316140071	1999
05	Cinco Villas	3062,44	31030,0	10,1324434111362	1998
05	Cinco Villas	3062,44	31837,0	10,3959587779679	1996
06	Hoya de Huesca / Plana de Uesca	2525,58	68840,0	27,2571052985849	2020
06	Hoya de Huesca / Plana de Uesca	2525,58	68076,0	26,9546005274036	2019
06	Hoya de Huesca / Plana de Uesca	2525,58	67697,0	26,8045359877731	2016
06	Hoya de Huesca / Plana de Uesca	2525,58	67806,0	26,8476943909914	2015
06	Hoya de Huesca / Plana de Uesca	2525,58	68286,0	27,0377497446131	2014
06	Hoya de Huesca / Plana de Uesca	2525,58	68280,0	27,0353740526928	2013
06	Hoya de Huesca / Plana de Uesca	2525,58	68186,0	26,9981548792753	2012
06	Hoya de Huesca / Plana de Uesca	2525,58	68484,0	27,1161475779821	2011
06	Hoya de Huesca / Plana de Uesca	2525,58	68428,0	27,0939744533929	2010
06	Hoya de Huesca / Plana de Uesca	2525,58	67992,0	26,9213408405198	2009
06	Hoya de Huesca / Plana de Uesca	2525,58	66793,0	26,4465984051188	2008
06	Hoya de Huesca / Plana de Uesca	2525,58	65266,0	25,8419848114097	2007
06	Hoya de Huesca / Plana de Uesca	2525,58	64531,0	25,5509625511764	2006
06	Hoya de Huesca / Plana de Uesca	2525,58	63434,0	25,11660687842	2005
06	Hoya de Huesca / Plana de Uesca	2525,58	62417,0	24,7139270979339	2004
06	Hoya de Huesca / Plana de Uesca	2525,58	61659,0	24,4137980186729	2003
06	Hoya de Huesca / Plana de Uesca	2525,58	60525,0	23,9647922457416	2002
06	Hoya de Huesca / Plana de Uesca	2525,58	59823,0	23,6868362910698	2001
06	Hoya de Huesca / Plana de Uesca	2525,58	59509,0	23,5625084139089	2000
06	Hoya de Huesca / Plana de Uesca	2525,58	59472,0	23,5478583137339	1999
06	Hoya de Huesca / Plana de Uesca	2525,58	59325,0	23,4896538616872	1998
06	Hoya de Huesca / Plana de Uesca	2525,58	59711,0	23,6424900418914	1996
07	Somontano de Barbastro	1170,32	23782,0	20,3209378631485	2020
07	Somontano de Barbastro	1170,32	23648,0	20,2064392644747	2019
07	Somontano de Barbastro	1170,32	23735,0	20,2807779068973	2016
07	Somontano de Barbastro	1170,32	23925,0	20,443126666211	2015
07	Somontano de Barbastro	1170,32	24086,0	20,5806958780504	2014
07	Somontano de Barbastro	1170,32	24111,0	20,6020575569075	2013
07	Somontano de Barbastro	1170,32	24428,0	20,8729236448151	2012
07	Somontano de Barbastro	1170,32	24304,0	20,7669697176841	2011
07	Somontano de Barbastro	1170,32	24410,0	20,857543236038	2010
07	Somontano de Barbastro	1170,32	24381,0	20,8327636885638	2009
07	Somontano de Barbastro	1170,32	24090,0	20,5841137466676	2008
07	Somontano de Barbastro	1170,32	23613,0	20,1765329140748	2007
07	Somontano de Barbastro	1170,32	23464,0	20,0492173080867	2006
07	Somontano de Barbastro	1170,32	23411,0	20,0039305489097	2005
07	Somontano de Barbastro	1170,32	23215,0	19,8364549866703	2004
07	Somontano de Barbastro	1170,32	23141,0	19,7732244172534	2003
07	Somontano de Barbastro	1170,32	22740,0	19,4305830883861	2002
07	Somontano de Barbastro	1170,32	22164,0	18,9384100075193	2001
07	Somontano de Barbastro	1170,32	22475,0	19,2041492925012	2000
07	Somontano de Barbastro	1170,32	22399,0	19,1392097887757	1999
07	Somontano de Barbastro	1170,32	22357,0	19,1033221682958	1998
07	Somontano de Barbastro	1170,32	22652,0	19,3553899788092	1996
08	Cinca Medio	573,05	24108,0	42,0696274321612	2020
08	Cinca Medio	573,05	23829,0	41,5827589215601	2019
08	Cinca Medio	573,05	23934,0	41,7659890061949	2016
08	Cinca Medio	573,05	23979,0	41,8445161853241	2015
08	Cinca Medio	573,05	24019,0	41,9143181223279	2014
08	Cinca Medio	573,05	24216,0	42,2580926620714	2013
08	Cinca Medio	573,05	24145,0	42,1341942238897	2012
08	Cinca Medio	573,05	24128,0	42,1045284006631	2011
08	Cinca Medio	573,05	24051,0	41,9701596719309	2010
08	Cinca Medio	573,05	24007,0	41,8933775412268	2009
08	Cinca Medio	573,05	23720,0	41,3925486432248	2008
08	Cinca Medio	573,05	23084,0	40,2826978448652	2007
08	Cinca Medio	573,05	23072,0	40,2617572637641	2006
08	Cinca Medio	573,05	22936,0	40,0244306779513	2005
08	Cinca Medio	573,05	22609,0	39,4537998429456	2004
08	Cinca Medio	573,05	22683,0	39,5829334264026	2003
08	Cinca Medio	573,05	22441,0	39,1606317075299	2002
08	Cinca Medio	573,05	22125,0	38,6091964052002	2001
08	Cinca Medio	573,05	21784,0	38,0141348922433	2000
08	Cinca Medio	573,05	21713,0	37,8902364540616	1999
08	Cinca Medio	573,05	21685,0	37,841375098159	1998
08	Cinca Medio	573,05	21843,0	38,1170927493238	1996
09	La Litera / La Llitera	733,86	18535,0	25,2568609816586	2020
09	La Litera / La Llitera	733,86	18293,0	24,9270978115717	2019
09	La Litera / La Llitera	733,86	18368,0	25,0292971411441	2016
09	La Litera / La Llitera	733,86	18516,0	25,2309704848336	2015
09	La Litera / La Llitera	733,86	18696,0	25,4762488758074	2014
09	La Litera / La Llitera	733,86	18814,0	25,6370424876679	2013
09	La Litera / La Llitera	733,86	18961,0	25,8373531736298	2012
09	La Litera / La Llitera	733,86	19135,0	26,0744556182378	2011
09	La Litera / La Llitera	733,86	19161,0	26,1098847191562	2010
09	La Litera / La Llitera	733,86	19291,0	26,2870302237484	2009
09	La Litera / La Llitera	733,86	19166,0	26,1166980077944	2008
09	La Litera / La Llitera	733,86	18867,0	25,7092633472324	2007
09	La Litera / La Llitera	733,86	18847,0	25,6820101926798	2006
09	La Litera / La Llitera	733,86	18798,0	25,6152399640258	2005
09	La Litera / La Llitera	733,86	18730,0	25,5225792385469	2004
09	La Litera / La Llitera	733,86	18720,0	25,5089526612705	2003
09	La Litera / La Llitera	733,86	18666,0	25,4353691439784	2002
09	La Litera / La Llitera	733,86	18586,0	25,3263565257679	2001
09	La Litera / La Llitera	733,86	18546,0	25,2718502166626	2000
09	La Litera / La Llitera	733,86	18631,0	25,3876761235113	1999
09	La Litera / La Llitera	733,86	18709,0	25,4939634262666	1998
09	La Litera / La Llitera	733,86	18927,0	25,7910228108904	1996
10	Los Monegros	2764,45	18405,0	6,65774385501637	2020
10	Los Monegros	2764,45	18447,0	6,67293675052904	2019
10	Los Monegros	2764,45	19171,0	6,93483333031887	2016
10	Los Monegros	2764,45	19566,0	7,07771889525945	2015
10	Los Monegros	2764,45	19826,0	7,17177015319503	2014
10	Los Monegros	2764,45	20172,0	7,29693067337083	2013
10	Los Monegros	2764,45	20633,0	7,46369078840276	2012
10	Los Monegros	2764,45	20839,0	7,53820832353633	2011
10	Los Monegros	2764,45	20942,0	7,57546709110311	2010
10	Los Monegros	2764,45	21230,0	7,67964694604713	2009
10	Los Monegros	2764,45	21238,0	7,68254083090669	2008
10	Los Monegros	2764,45	20947,0	7,57727576914034	2007
10	Los Monegros	2764,45	20896,0	7,55882725316066	2006
10	Los Monegros	2764,45	20829,0	7,53459096746188	2005
10	Los Monegros	2764,45	20871,0	7,54978386297455	2004
10	Los Monegros	2764,45	20972,0	7,58631915932645	2003
10	Los Monegros	2764,45	21240,0	7,68326430212158	2002
10	Los Monegros	2764,45	21207,0	7,67132702707591	2001
10	Los Monegros	2764,45	21356,0	7,72522563258514	2000
10	Los Monegros	2764,45	21549,0	7,79504060482194	1999
10	Los Monegros	2764,45	21641,0	7,82832028070683	1998
10	Los Monegros	2764,45	22042,0	7,97337625929208	1996
11	Bajo Cinca / Baix Cinca	1419,91	25069,0	17,6553443528111	2020
11	Bajo Cinca / Baix Cinca	1419,91	24589,0	17,3172947581185	2019
11	Bajo Cinca / Baix Cinca	1419,91	24457,0	17,224331119578	2016
