Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2015	111636,0	PP-PAR	3,0
22	Huesca	2015	85766,0	PSOE	1,0
22	Huesca	2015	50355,0	PODEMOS-Ahora Alto Aragón en Común	0,0
22	Huesca	2015	42247,0	C's	0,0
22	Huesca	2015	18704,0	IU-CHA-UPeC	0,0
22	Huesca	2015	4887,0	EB	0,0
22	Huesca	2015	4270,0	PACMA	0,0
22	Huesca	2015	2790,0	UPYD	0,0
22	Huesca	2015	753,0	RECORTES CERO-GRUPO VERDE	0,0
22	Huesca	2015	269,0	Independientes-FIA	0,0
22	Huesca	2015	533,0	PCPE	0,0
44	Teruel	2015	80039,0	PP-PAR	3,0
44	Teruel	2015	56113,0	PSOE	1,0
44	Teruel	2015	28442,0	PODEMOS	0,0
44	Teruel	2015	25323,0	C's	0,0
44	Teruel	2015	11569,0	IU-CHA-UPeC	0,0
44	Teruel	2015	2921,0	EB	0,0
44	Teruel	2015	1981,0	PACMA	0,0
44	Teruel	2015	1464,0	UPYD	0,0
44	Teruel	2015	341,0	RECORTES CERO-GRUPO VERDE	0,0
44	Teruel	2015	314,0	PCPE	0,0
50	Zaragoza	2015	458863,0	PP-PAR	3,0
50	Zaragoza	2015	328255,0	PSOE	1,0
50	Zaragoza	2015	255526,0	PODEMOS	0,0
50	Zaragoza	2015	202106,0	C's	0,0
50	Zaragoza	2015	97903,0	IU-CHA-UPeC	0,0
50	Zaragoza	2015	26169,0	EB	0,0
50	Zaragoza	2015	18078,0	PACMA	0,0
50	Zaragoza	2015	14359,0	UPYD	0,0
50	Zaragoza	2015	4645,0	RECORTES CERO-GRUPO VERDE	0,0
50	Zaragoza	2015	3877,0	VOX	0,0
50	Zaragoza	2015	2428,0	Independientes-FIA	0,0
50	Zaragoza	2015	1373,0	PCPE	0,0
50	Zaragoza	2015	1179,0	BAR	0,0
