Año	Municipio código	Municipio nombre	Tipo licencias código	Tipo licencias descripción	Autorizaciones según tipo
2020	22009	Albelda	VSPC-N	Transporte privado ambulancias nacional	0
2020	22009	Albelda	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22009	Albelda	VT-N	Licencias taxi	1
2020	22009	Albelda	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22013	Alberuela de Tubo	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22013	Alberuela de Tubo	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22013	Alberuela de Tubo	MDP-N	Transporte mercancías pesadas nacionales servicio público	1
2020	22013	Alberuela de Tubo	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1
2020	22013	Alberuela de Tubo	MPC-N	Transporte mercancías propias nacional	1
2020	22013	Alberuela de Tubo	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1
2020	22013	Alberuela de Tubo	OT	Operador de transporte	0
2020	22013	Alberuela de Tubo	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22013	Alberuela de Tubo	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22013	Alberuela de Tubo	VPC-N	Transporte privado de viajeros nacional	0
2020	22013	Alberuela de Tubo	VPCE-N	Transporte privado de viajeros	0
2020	22013	Alberuela de Tubo	VS-N	Ambulancias nacionales servicio público	0
2020	22013	Alberuela de Tubo	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22013	Alberuela de Tubo	VSPC-N	Transporte privado ambulancias nacional	0
2020	22013	Alberuela de Tubo	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22013	Alberuela de Tubo	VT-N	Licencias taxi	0
2020	22013	Alberuela de Tubo	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22014	Alcalá de Gurrea	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22014	Alcalá de Gurrea	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22014	Alcalá de Gurrea	MDP-N	Transporte mercancías pesadas nacionales servicio público	0
2020	22014	Alcalá de Gurrea	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	0
2020	22014	Alcalá de Gurrea	MPC-N	Transporte mercancías propias nacional	4
2020	22014	Alcalá de Gurrea	MPCE-N	transporte mercancías propias nacional autorizado por empresa	2
2020	22014	Alcalá de Gurrea	OT	Operador de transporte	0
2020	22014	Alcalá de Gurrea	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22014	Alcalá de Gurrea	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22014	Alcalá de Gurrea	VPC-N	Transporte privado de viajeros nacional	0
2020	22014	Alcalá de Gurrea	VPCE-N	Transporte privado de viajeros	0
2020	22014	Alcalá de Gurrea	VS-N	Ambulancias nacionales servicio público	0
2020	22014	Alcalá de Gurrea	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22014	Alcalá de Gurrea	VSPC-N	Transporte privado ambulancias nacional	0
