Año	Municipio código	Municipio nombre	Población
1900	22214	Secastilla	850,0
1900	22215	Seira	311,0
1900	22217	Sena	1071,0
1900	22218	Senés de Alcubierre	143,0
1900	22220	Sesa	881,0
1900	22221	Sesué	360,0
1900	22222	Siétamo	1584,0
1900	22223	Sopeira	889,0
1900	22225	Tamarite de Litera	3517,0
1900	22226	Tardienta	1531,0
1900	22227	Tella-Sin	717,0
1900	22228	Tierz	310,0
1900	22229	Tolva	962,0
1900	22230	Torla-Ordesa	988,0
1900	22232	Torralba de Aragón	443,0
1900	22233	Torre la Ribera	362,0
1900	22234	Torrente de Cinca	1382,0
1900	22235	Torres de Alcanadre	499,0
1900	22236	Torres de Barbués	202,0
1900	22239	Tramaced	111,0
1900	22242	Valfarta	309,0
1900	22243	Valle de Bardají	221,0
1900	22244	Valle de Lierp	212,0
1900	22245	Velilla de Cinca	1089,0
1900	22246	Beranuy	651,0
1900	22247	Viacamp y Litera	820,0
1900	22248	Vicién	374,0
1900	22249	Villanova	279,0
1900	22250	Villanúa	959,0
1900	22251	Villanueva de Sigena	900,0
1900	22252	Yebra de Basa	867,0
1900	22253	Yésero	288,0
1900	22254	Zaidín	1907,0
1900	22901	Valle de Hecho	2935,0
1900	22902	Puente la Reina de Jaca	848,0
1900	22903	San Miguel del Cinca	1922,0
1900	22904	Sotonera (La)	3972,0
1900	22905	Lupiñén-Ortilla	1138,0
1900	22906	Santa María de Dulcis	644,0
1900	22907	Aínsa-Sobrarbe	3680,0
1900	22908	Hoz y Costeán	1390,0
1900	44001	Ababuj	459,0
1900	44002	Abejuela	698,0
1900	44003	Aguatón	181,0
1900	44004	Aguaviva	1781,0
1900	44005	Aguilar del Alfambra	524,0
1900	44006	Alacón	931,0
1900	44007	Alba	634,0
1900	44008	Albalate del Arzobispo	4291,0
1900	44009	Albarracín	1932,0
1900	44010	Albentosa	1003,0
1900	44011	Alcaine	1103,0
1900	44012	Alcalá de la Selva	1648,0
1900	44013	Alcañiz	7699,0
1900	44014	Alcorisa	3119,0
1900	44016	Alfambra	1355,0
1900	44017	Aliaga	1754,0
1900	44018	Almohaja	243,0
1900	44019	Alobras	546,0
1900	44020	Alpeñés	224,0
1900	44021	Allepuz	1040,0
1900	44022	Alloza	1773,0
1900	44023	Allueva	216,0
1900	44024	Anadón	355,0
1900	44025	Andorra	2704,0
1900	44026	Arcos de las Salinas	1353,0
1900	44027	Arens de Lledó	759,0
1900	44028	Argente	716,0
1900	44029	Ariño	1366,0
1900	44031	Azaila	742,0
1900	44032	Bádenas	454,0
1900	44033	Báguena	1420,0
1900	44034	Bañón	693,0
1900	44035	Barrachina	697,0
1900	44036	Bea	170,0
1900	44037	Beceite	2252,0
1900	44038	Belmonte de San José	817,0
1900	44039	Bello	989,0
1900	44040	Berge	816,0
1900	44041	Bezas	357,0
1900	44042	Blancas	859,0
1900	44043	Blesa	1325,0
1900	44044	Bordón	586,0
1900	44045	Bronchales	950,0
1900	44046	Bueña	352,0
1900	44047	Burbáguena	1350,0
1900	44048	Cabra de Mora	563,0
1900	44049	Calaceite	2579,0
1900	44050	Calamocha	6017,0
1900	44051	Calanda	3924,0
1900	44052	Calomarde	422,0
1900	44053	Camañas	450,0
1900	44054	Camarena de la Sierra	882,0
1900	44055	Camarillas	816,0
1900	44056	Caminreal	1349,0
1900	44059	Cantavieja	1962,0
1900	44060	Cañada de Benatanduz	642,0
1900	44061	Cañada de Verich (La)	287,0
1900	44062	Cañada Vellida	201,0
1900	44063	Cañizar del Olivar	507,0
1900	44064	Cascante del Río	574,0
1900	44065	Castejón de Tornos	475,0
1900	44066	Castel de Cabra	623,0
1900	44067	Castelnou	680,0
1900	44068	Castelserás	2177,0
1900	44070	Castellar (El)	489,0
1900	44071	Castellote	5122,0
1900	44074	Cedrillas	957,0
1900	44075	Celadas	876,0
1900	44076	Cella	2567,0
1900	44077	Cerollera (La)	450,0
1900	44080	Codoñera (La)	1342,0
1900	44082	Corbalán	484,0
1900	44084	Cortes de Aragón	492,0
1900	44085	Cosa	385,0
1900	44086	Cretas	1562,0
1900	44087	Crivillén	937,0
1900	44088	Cuba (La)	357,0
1900	44089	Cubla	363,0
1900	44090	Cucalón	525,0
1900	44092	Cuervo (El)	576,0
1900	44093	Cuevas de Almudén	243,0
1900	44094	Cuevas Labradas	401,0
1900	44096	Ejulve	1291,0
1900	44097	Escorihuela	493,0
1900	44099	Escucha	707,0
1900	44100	Estercuel	964,0
1900	44101	Ferreruela de Huerva	262,0
1900	44102	Fonfría	205,0
1900	44103	Formiche Alto	1029,0
1900	44105	Fórnoles	742,0
1900	44106	Fortanete	1570,0
1900	44107	Foz-Calanda	786,0
1900	44108	Fresneda (La)	1799,0
1900	44109	Frías de Albarracín	665,0
1900	44110	Fuenferrada	402,0
1900	44111	Fuentes Calientes	243,0
1900	44112	Fuentes Claras	1123,0
1900	44113	Fuentes de Rubielos	895,0
1900	44114	Fuentespalda	927,0
1900	44115	Galve	468,0
1900	44116	Gargallo	644,0
1900	44117	Gea de Albarracín	1168,0
1900	44118	Ginebrosa (La)	1116,0
1900	44119	Griegos	415,0
1900	44120	Guadalaviar	492,0
1900	44121	Gúdar	730,0
1900	44122	Híjar	3330,0
1900	44123	Hinojosa de Jarque	546,0
1900	44124	Hoz de la Vieja (La)	924,0
1900	44125	Huesa del Común	1284,0
1900	44126	Iglesuela del Cid (La)	1485,0
1900	44127	Jabaloyas	934,0
1900	44128	Jarque de la Val	277,0
1900	44129	Jatiel	255,0
1900	44130	Jorcas	462,0
1900	44131	Josa	615,0
1900	44132	Lagueruela	252,0
1900	44133	Lanzuela	243,0
1900	44135	Libros	607,0
1900	44136	Lidón	308,0
1900	44137	Linares de Mora	1592,0
1900	44138	Loscos	1507,0
1900	44141	Lledó	580,0
1900	44142	Maicas	391,0
1900	44143	Manzanera	2750,0
1900	44144	Martín del Río	729,0
1900	44145	Mas de las Matas	1981,0
1900	44146	Mata de los Olmos (La)	458,0
1900	44147	Mazaleón	1403,0
1900	44148	Mezquita de Jarque	327,0
1900	44149	Mirambel	835,0
1900	44150	Miravete de la Sierra	486,0
1900	44151	Molinos	1405,0
1900	44152	Monforte de Moyuela	694,0
1900	44153	Monreal del Campo	2330,0
1900	44154	Monroyo	1284,0
1900	44155	Montalbán	2020,0
1900	44156	Monteagudo del Castillo	489,0
1900	44157	Monterde de Albarracín	488,0
1900	44158	Mora de Rubielos	3213,0
1900	44159	Moscardón	494,0
1900	44160	Mosqueruela	3103,0
1900	44161	Muniesa	1860,0
1900	44163	Noguera de Albarracín	489,0
1900	44164	Nogueras	359,0
1900	44165	Nogueruelas	1156,0
1900	44167	Obón	1257,0
1900	44168	Odón	974,0
1900	44169	Ojos Negros	1436,0
1900	44171	Olba	1802,0
1900	44172	Oliete	2146,0
1900	44173	Olmos (Los)	600,0
1900	44174	Orihuela del Tremedal	945,0
1900	44175	Orrios	430,0
1900	44176	Palomar de Arroyos	612,0
1900	44177	Pancrudo	1000,0
1900	44178	Parras de Castellote (Las)	1107,0
1900	44179	Peñarroya de Tastavins	1702,0
1900	44180	Peracense	385,0
1900	44181	Peralejos	286,0
1900	44182	Perales del Alfambra	817,0
1900	44183	Pitarque	938,0
1900	44184	Plou	529,0
1900	44185	Pobo (El)	497,0
1900	44187	Portellada (La)	860,0
1900	44189	Pozondón	539,0
1900	44190	Pozuel del Campo	598,0
1900	44191	Puebla de Híjar (La)	1921,0
1900	44192	Puebla de Valverde (La)	1982,0
1900	44193	Puertomingalvo	1271,0
1900	44194	Ráfales	859,0
1900	44195	Rillo	502,0
1900	44196	Riodeva	716,0
1900	44197	Ródenas	415,0
1900	44198	Royuela	459,0
1900	44199	Rubiales	290,0
1900	44200	Rubielos de la Cérida	501,0
1900	44201	Rubielos de Mora	2284,0
1900	44203	Salcedillo	155,0
1900	44204	Saldón	435,0
1900	44205	Samper de Calanda	2647,0
1900	44206	San Agustín	1204,0
1900	44207	San Martín del Río	1330,0
1900	44208	Santa Cruz de Nogueras	346,0
1900	44209	Santa Eulalia	1164,0
1900	44210	Sarrión	2233,0
1900	44211	Segura de los Baños	795,0
1900	44212	Seno	453,0
1900	44213	Singra	399,0
1900	44215	Terriente	1109,0
1900	44216	Teruel	12745,0
1900	44217	Toril y Masegoso	366,0
1900	44218	Tormón	303,0
1900	44219	Tornos	578,0
1900	44220	Torralba de los Sisones	608,0
1900	44221	Torrecilla de Alcañiz	1105,0
1900	44222	Torrecilla del Rebollar	891,0
1900	44223	Torre de Arcas	485,0
1900	44224	Torre de las Arcas	545,0
1900	44225	Torre del Compte	748,0
1900	44226	Torrelacárcel	521,0
1900	44227	Torre los Negros	456,0
1900	44228	Torremocha de Jiloca	420,0
1900	44229	Torres de Albarracín	591,0
1900	44230	Torrevelilla	776,0
1900	44231	Torrijas	689,0
1900	44232	Torrijo del Campo	1308,0
1900	44234	Tramacastiel	668,0
1900	44235	Tramacastilla	455,0
1900	44236	Tronchón	997,0
1900	44237	Urrea de Gaén	1195,0
1900	44238	Utrillas	712,0
1900	44239	Valacloche	219,0
1900	44240	Valbona	675,0
1900	44241	Valdealgorfa	1665,0
1900	44243	Valdecuenca	320,0
1900	44244	Valdelinares	825,0
1900	44245	Valdeltormo	699,0
1900	44246	Valderrobres	3058,0
1900	44247	Valjunquera	1225,0
1900	44249	Vallecillo (El)	467,0
1900	44250	Veguillas de la Sierra	292,0
1900	44251	Villafranca del Campo	988,0
1900	44252	Villahermosa del Campo	236,0
1900	44256	Villanueva del Rebollar de la Sierra	309,0
1900	44257	Villar del Cobo	596,0
1900	44258	Villar del Salz	412,0
1900	44260	Villarluengo	2128,0
1900	44261	Villarquemado	872,0
1900	44262	Villarroya de los Pinares	1095,0
1900	44263	Villastar	737,0
1900	44264	Villel	1182,0
1900	44265	Vinaceite	544,0
1900	44266	Visiedo	656,0
1900	44267	Vivel del Río Martín	946,0
1900	44268	Zoma (La)	181,0
1900	50001	Abanto	633,0
1900	50002	Acered	745,0
1900	50003	Agón	499,0
1900	50004	Aguarón	2275,0
1900	50005	Aguilón	982,0
1900	50006	Ainzón	2061,0
1900	50007	Aladrén	353,0
1900	50008	Alagón	3454,0
1900	50009	Alarba	471,0
1900	50010	Alberite de San Juan	267,0
1900	50011	Albeta	318,0
1900	50012	Alborge	464,0
1900	50013	Alcalá de Ebro	386,0
1900	50014	Alcalá de Moncayo	370,0
1900	50015	Alconchel de Ariza	667,0
1900	50016	Aldehuela de Liestos	257,0
1900	50017	Alfajarín	910,0
1900	50018	Alfamén	628,0
1900	50019	Alforque	387,0
1900	50020	Alhama de Aragón	1616,0
1900	50021	Almochuel	99,0
1900	50022	Almolda (La)	1246,0
1900	50023	Almonacid de la Cuba	667,0
1900	50024	Almonacid de la Sierra	2725,0
1900	50025	Almunia de Doña Godina (La)	3922,0
1900	50026	Alpartir	1042,0
1900	50027	Ambel	955,0
1900	50028	Anento	387,0
1900	50029	Aniñón	1870,0
1900	50030	Añón de Moncayo	1106,0
1900	50031	Aranda de Moncayo	1585,0
1900	50032	Arándiga	1121,0
1900	50033	Ardisa	484,0
1900	50034	Ariza	1578,0
1900	50035	Artieda	269,0
1900	50036	Asín	336,0
1900	50037	Atea	1225,0
1900	50038	Ateca	3126,0
1900	50039	Azuara	2388,0
1900	50040	Badules	440,0
1900	50041	Bagüés	243,0
1900	50042	Balconchán	178,0
1900	50043	Bárboles	640,0
1900	50044	Bardallur	834,0
1900	50045	Belchite	3333,0
1900	50046	Belmonte de Gracián	997,0
1900	50047	Berdejo	363,0
1900	50048	Berrueco	232,0
1900	50050	Bijuesca	833,0
1900	50051	Biota	1383,0
1900	50052	Bisimbre	291,0
1900	50053	Boquiñeni	920,0
1900	50054	Bordalba	520,0
1900	50055	Borja	5667,0
1900	50056	Botorrita	351,0
1900	50057	Brea de Aragón	1467,0
1900	50058	Bubierca	914,0
1900	50059	Bujaraloz	1510,0
1900	50060	Bulbuente	1052,0
1900	50061	Bureta	685,0
1900	50062	Burgo de Ebro (El)	903,0
1900	50063	Buste (El)	428,0
1900	50064	Cabañas de Ebro	493,0
1900	50065	Cabolafuente	474,0
1900	50066	Cadrete	647,0
1900	50067	Calatayud	11958,0
1900	50068	Calatorao	2300,0
1900	50069	Calcena	854,0
1900	50070	Calmarza	343,0
1900	50071	Campillo de Aragón	701,0
1900	50072	Carenas	1181,0
1900	50073	Cariñena	3313,0
1900	50074	Caspe	7808,0
1900	50075	Castejón de Alarba	294,0
1900	50076	Castejón de las Armas	750,0
1900	50077	Castejón de Valdejasa	1095,0
1900	50078	Castiliscar	823,0
1900	50079	Cervera de la Cañada	904,0
1900	50080	Cerveruela	443,0
1900	50081	Cetina	1312,0
1900	50082	Cimballa	512,0
1900	50083	Cinco Olivas	570,0
1900	50084	Clarés de Ribota	444,0
1900	50085	Codo	1026,0
1900	50086	Codos	1122,0
1900	50087	Contamina	169,0
1900	50088	Cosuenda	1304,0
1900	50089	Cuarte de Huerva	275,0
1900	50090	Cubel	505,0
1900	50091	Cuerlas (Las)	316,0
1900	50092	Chiprana	1425,0
1900	50093	Chodes	483,0
1900	50094	Daroca	3493,0
1900	50095	Ejea de los Caballeros	5271,0
1900	50096	Embid de Ariza	498,0
1900	50098	Encinacorba	1020,0
1900	50099	Épila	3713,0
1900	50100	Erla	911,0
1900	50101	Escatrón	2374,0
1900	50102	Fabara	2089,0
1900	50104	Farlete	524,0
1900	50105	Fayón	1306,0
1900	50106	Fayos (Los)	521,0
1900	50107	Figueruelas	367,0
1900	50108	Fombuena	226,0
1900	50109	Frago (El)	561,0
1900	50110	Frasno (El)	1551,0
1900	50111	Fréscano	505,0
1900	50113	Fuendejalón	1354,0
1900	50114	Fuendetodos	540,0
1900	50115	Fuentes de Ebro	2498,0
1900	50116	Fuentes de Jiloca	1099,0
1900	50117	Gallocanta	363,0
1900	50118	Gallur	2847,0
1900	50119	Gelsa	2096,0
1900	50120	Godojos	432,0
1900	50121	Gotor	874,0
1900	50122	Grisel	497,0
1900	50123	Grisén	360,0
1900	50124	Herrera de los Navarros	1873,0
1900	50125	Ibdes	1251,0
1900	50126	Illueca	1823,0
1900	50128	Isuerre	347,0
1900	50129	Jaraba	491,0
1900	50130	Jarque	1472,0
1900	50131	Jaulín	361,0
1900	50132	Joyosa (La)	264,0
1900	50133	Lagata	503,0
1900	50134	Langa del Castillo	599,0
1900	50135	Layana	343,0
1900	50136	Lécera	1997,0
1900	50137	Leciñena	1576,0
1900	50138	Lechón	157,0
1900	50139	Letux	1074,0
1900	50140	Litago	634,0
1900	50141	Lituénigo	363,0
1900	50142	Lobera de Onsella	496,0
1900	50143	Longares	1306,0
1900	50144	Longás	469,0
1900	50146	Lucena de Jalón	469,0
1900	50147	Luceni	796,0
1900	50148	Luesia	1573,0
1900	50149	Luesma	331,0
1900	50150	Lumpiaque	1431,0
1900	50151	Luna	1761,0
1900	50152	Maella	3325,0
1900	50153	Magallón	2822,0
1900	50154	Mainar	471,0
1900	50155	Malanquilla	427,0
1900	50156	Maleján	535,0
1900	50157	Malón	1230,0
1900	50159	Maluenda	1400,0
1900	50160	Mallén	2401,0
1900	50161	Manchones	672,0
1900	50162	Mara	706,0
1900	50163	María de Huerva	581,0
1900	50164	Mediana de Aragón	1416,0
1900	50165	Mequinenza	2842,0
1900	50166	Mesones de Isuela	613,0
1900	50167	Mezalocha	510,0
1900	50168	Mianos	221,0
1900	50169	Miedes de Aragón	916,0
1900	50170	Monegrillo	824,0
1900	50171	Moneva	636,0
1900	50172	Monreal de Ariza	680,0
1900	50173	Monterde	932,0
1900	50174	Montón	499,0
1900	50175	Morata de Jalón	2161,0
1900	50176	Morata de Jiloca	897,0
1900	50177	Morés	1168,0
1900	50178	Moros	1209,0
1900	50179	Moyuela	952,0
1900	50180	Mozota	378,0
1900	50181	Muel	1228,0
1900	50182	Muela (La)	729,0
1900	50183	Munébrega	1300,0
1900	50184	Murero	519,0
1900	50185	Murillo de Gállego	1159,0
1900	50186	Navardún	413,0
1900	50187	Nigüella	270,0
1900	50188	Nombrevilla	262,0
1900	50189	Nonaspe	1681,0
1900	50190	Novallas	1527,0
1900	50191	Novillas	908,0
1900	50192	Nuévalos	902,0
1900	50193	Nuez de Ebro	455,0
1900	50194	Olvés	674,0
1900	50195	Orcajo	495,0
1900	50196	Orera	411,0
1900	50197	Orés	734,0
1900	50198	Oseja	346,0
1900	50199	Osera de Ebro	497,0
1900	50200	Paniza	1820,0
1900	50201	Paracuellos de Jiloca	712,0
1900	50202	Paracuellos de la Ribera	908,0
1900	50203	Pastriz	707,0
1900	50204	Pedrola	2269,0
1900	50205	Pedrosas (Las)	390,0
1900	50206	Perdiguera	725,0
1900	50207	Piedratajada	300,0
1900	50208	Pina de Ebro	2409,0
1900	50209	Pinseque	750,0
1900	50210	Pintanos (Los)	773,0
1900	50211	Plasencia de Jalón	875,0
1900	50212	Pleitas	154,0
1900	50213	Plenas	681,0
1900	50214	Pomer	474,0
1900	50215	Pozuel de Ariza	287,0
1900	50216	Pozuelo de Aragón	710,0
1900	50217	Pradilla de Ebro	688,0
1900	50218	Puebla de Albortón	631,0
1900	50219	Puebla de Alfindén (La)	985,0
1900	50220	Puendeluna	228,0
1900	50221	Purujosa	463,0
1900	50222	Quinto	2521,0
1900	50223	Remolinos	1019,0
1900	50224	Retascón	180,0
1900	50225	Ricla	2503,0
1900	50227	Romanos	321,0
1900	50228	Rueda de Jalón	896,0
1900	50229	Ruesca	163,0
1900	50230	Sádaba	1812,0
1900	50231	Salillas de Jalón	583,0
1900	50232	Salvatierra de Esca	1196,0
1900	50233	Samper del Salz	404,0
1900	50234	San Martín de la Virgen de Moncayo	385,0
1900	50235	San Mateo de Gállego	960,0
1900	50236	Santa Cruz de Grío	929,0
1900	50237	Santa Cruz de Moncayo	318,0
1900	50238	Santa Eulalia de Gállego	924,0
1900	50239	Santed	290,0
1900	50240	Sástago	2987,0
1900	50241	Saviñán	1759,0
1900	50242	Sediles	311,0
1900	50243	Sestrica	1298,0
1900	50244	Sierra de Luna	651,0
1900	50245	Sigüés	1638,0
1900	50246	Sisamón	457,0
1900	50247	Sobradiel	421,0
1900	50248	Sos del Rey Católico	3596,0
1900	50249	Tabuenca	1379,0
1900	50250	Talamantes	471,0
1900	50251	Tarazona	8939,0
1900	50252	Tauste	4530,0
1900	50253	Terrer	975,0
1900	50254	Tierga	682,0
1900	50255	Tobed	1002,0
1900	50256	Torralba de los Frailes	530,0
1900	50257	Torralba de Ribota	654,0
1900	50258	Torralbilla	393,0
1900	50259	Torrehermosa	258,0
1900	50260	Torrelapaja	310,0
1900	50261	Torrellas	860,0
1900	50262	Torres de Berrellén	1136,0
1900	50263	Torrijo de la Cañada	2007,0
1900	50264	Tosos	841,0
1900	50265	Trasmoz	341,0
1900	50266	Trasobares	531,0
1900	50267	Uncastillo	2758,0
1900	50268	Undués de Lerda	485,0
1900	50269	Urrea de Jalón	801,0
1900	50270	Urriés	1111,0
1900	50271	Used	1432,0
1900	50272	Utebo	1382,0
1900	50273	Valdehorna	236,0
1900	50274	Val de San Martín	345,0
1900	50275	Valmadrid	202,0
1900	50276	Valpalmas	415,0
1900	50277	Valtorres	293,0
1900	50278	Velilla de Ebro	1027,0
1900	50279	Velilla de Jiloca	486,0
1900	50280	Vera de Moncayo	1329,0
1900	50281	Vierlas	230,0
1900	50282	Vilueña (La)	401,0
1900	50283	Villadoz	266,0
1900	50284	Villafeliche	1374,0
1900	50285	Villafranca de Ebro	663,0
1900	50286	Villalba de Perejil	266,0
1900	50287	Villalengua	1384,0
1900	50288	Villanueva de Gállego	1281,0
1900	50289	Villanueva de Jiloca	545,0
1900	50290	Villanueva de Huerva	922,0
1900	50291	Villar de los Navarros	984,0
1900	50292	Villarreal de Huerva	469,0
1900	50293	Villarroya de la Sierra	2405,0
1900	50294	Villarroya del Campo	229,0
1900	50295	Vistabella	495,0
1900	50296	Zaida (La)	446,0
1900	50297	Zaragoza	98397,0
1900	50298	Zuera	2471,0
1900	50901	Biel	1659,0
1900	50902	Marracos	154,0
1900	50903	Villamayor de Gállego	1894,0
1910	22001	Abiego	1440,0
1910	22002	Abizanda	472,0
1910	22003	Adahuesca	631,0
1910	22004	Agüero	1253,0
1910	22006	Aísa	787,0
1910	22007	Albalate de Cinca	1636,0
1910	22008	Albalatillo	497,0
1910	22009	Albelda	1357,0
1910	22011	Albero Alto	383,0
1910	22012	Albero Bajo	214,0
1910	22013	Alberuela de Tubo	219,0
1910	22014	Alcalá de Gurrea	679,0
1910	22015	Alcalá del Obispo	1428,0
1910	22016	Alcampell	2388,0
1910	22017	Alcolea de Cinca	2504,0
1910	22018	Alcubierre	1500,0
1910	22019	Alerre	225,0
1910	22020	Alfántega	322,0
1910	22021	Almudévar	3163,0
1910	22022	Almunia de San Juan	1190,0
1910	22023	Almuniente	573,0
1910	22024	Alquézar	1356,0
1910	22025	Altorricón	621,0
1910	22027	Angüés	1983,0
1910	22028	Ansó	1474,0
1910	22029	Antillón	408,0
1910	22032	Aragüés del Puerto	542,0
1910	22035	Arén	2085,0
1910	22036	Argavieso	324,0
1910	22037	Arguis	580,0
1910	22039	Ayerbe	2727,0
1910	22040	Azanuy-Alins	1243,0
1910	22041	Azara	490,0
1910	22042	Azlor	576,0
1910	22043	Baells	780,0
1910	22044	Bailo	1533,0
1910	22045	Baldellou	807,0
1910	22046	Ballobar	2389,0
1910	22047	Banastás	116,0
1910	22048	Barbastro	7417,0
1910	22049	Barbués	283,0
1910	22050	Barbuñales	401,0
1910	22051	Bárcabo	825,0
1910	22052	Belver de Cinca	1952,0
1910	22053	Benabarre	2966,0
1910	22054	Benasque	1331,0
1910	22055	Berbegal	1150,0
1910	22057	Bielsa	1035,0
1910	22058	Bierge	1680,0
1910	22059	Biescas	3618,0
1910	22060	Binaced	1925,0
1910	22061	Binéfar	2109,0
1910	22062	Bisaurri	892,0
1910	22063	Biscarrués	822,0
1910	22064	Blecua y Torres	784,0
1910	22066	Boltaña	1896,0
1910	22067	Bonansa	443,0
1910	22068	Borau	460,0
1910	22069	Broto	1822,0
1910	22072	Caldearenas	1512,0
1910	22074	Campo	828,0
1910	22075	Camporrells	902,0
