Año	Sexo	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2019,0	Hombres	01	La Jacetania	127	Leves	1
2019,0	Hombres	02	Alto Gállego	131	Leves	1
2019,0	Hombres	03	Sobrarbe	40	Leves	1
2019,0	Hombres	04	La Ribagorza	118	Leves	1
2019,0	Hombres	05	Cinco Villas	400	Leves	1
2019,0	Hombres	06	Hoya de Huesca / Plana de Uesca	742	Leves	1
2019,0	Hombres	07	Somontano de Barbastro	191	Leves	1
2019,0	Hombres	08	Cinca Medio	370	Leves	1
2019,0	Hombres	09	La Litera / La Llitera	353	Leves	1
2019,0	Hombres	10	Los Monegros	172	Leves	1
2019,0	Hombres	11	Bajo Cinca / Baix Cinca	365	Leves	1
2019,0	Hombres	12	Tarazona y el Moncayo	121	Leves	1
2019,0	Hombres	13	Campo de Borja	131	Leves	1
2019,0	Hombres	14	Aranda	26	Leves	1
2019,0	Hombres	15	Ribera Alta del Ebro	549	Leves	1
2019,0	Hombres	16	Valdejalón	504	Leves	1
2019,0	Hombres	17	D.C. Zaragoza	5657	Leves	1
2019,0	Hombres	18	Ribera Baja del Ebro	104	Leves	1
2019,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	138	Leves	1
2019,0	Hombres	20	Comunidad de Calatayud	219	Leves	1
2019,0	Hombres	21	Campo de Cariñena	121	Leves	1
2019,0	Hombres	22	Campo de Belchite	17	Leves	1
2019,0	Hombres	23	Bajo Martín	91	Leves	1
2019,0	Hombres	24	Campo de Daroca	40	Leves	1
2019,0	Hombres	25	Jiloca	90	Leves	1
2019,0	Hombres	26	Cuencas Mineras	70	Leves	1
2019,0	Hombres	27	Andorra-Sierra de Arcos	45	Leves	1
2019,0	Hombres	28	Bajo Aragón	198	Leves	1
2019,0	Hombres	29	Comunidad de Teruel	460	Leves	1
2019,0	Hombres	30	Maestrazgo	12	Leves	1
2019,0	Hombres	31	Sierra de Albarracín	15	Leves	1
2019,0	Hombres	32	Gúdar-Javalambre	81	Leves	1
2019,0	Hombres	33	Matarraña / Matarranya	58	Leves	1
2019,0	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	153	Leves	1
2019,0	Mujeres	01	La Jacetania	78	Leves	1
2019,0	Mujeres	02	Alto Gállego	56	Leves	1
2019,0	Mujeres	03	Sobrarbe	23	Leves	1
2019,0	Mujeres	04	La Ribagorza	45	Leves	1
2019,0	Mujeres	05	Cinco Villas	91	Leves	1
2019,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	234	Leves	1
2019,0	Mujeres	07	Somontano de Barbastro	61	Leves	1
2019,0	Mujeres	08	Cinca Medio	74	Leves	1
2019,0	Mujeres	09	La Litera / La Llitera	78	Leves	1
2019,0	Mujeres	10	Los Monegros	48	Leves	1
2019,0	Mujeres	11	Bajo Cinca / Baix Cinca	106	Leves	1
2019,0	Mujeres	12	Tarazona y el Moncayo	40	Leves	1
2019,0	Mujeres	13	Campo de Borja	65	Leves	1
2019,0	Mujeres	14	Aranda	18	Leves	1
2019,0	Mujeres	15	Ribera Alta del Ebro	167	Leves	1
2019,0	Mujeres	16	Valdejalón	151	Leves	1
2019,0	Mujeres	17	D.C. Zaragoza	2498	Leves	1
2019,0	Mujeres	18	Ribera Baja del Ebro	35	Leves	1
2019,0	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	37	Leves	1
2019,0	Mujeres	20	Comunidad de Calatayud	106	Leves	1
2019,0	Mujeres	21	Campo de Cariñena	36	Leves	1
2019,0	Mujeres	22	Campo de Belchite	7	Leves	1
2019,0	Mujeres	23	Bajo Martín	14	Leves	1
2019,0	Mujeres	24	Campo de Daroca	19	Leves	1
2019,0	Mujeres	25	Jiloca	27	Leves	1
2019,0	Mujeres	26	Cuencas Mineras	23	Leves	1
2019,0	Mujeres	27	Andorra-Sierra de Arcos	19	Leves	1
2019,0	Mujeres	28	Bajo Aragón	86	Leves	1
2019,0	Mujeres	29	Comunidad de Teruel	186	Leves	1
2019,0	Mujeres	30	Maestrazgo	4	Leves	1
2019,0	Mujeres	31	Sierra de Albarracín	9	Leves	1
2019,0	Mujeres	32	Gúdar-Javalambre	15	Leves	1
2019,0	Mujeres	33	Matarraña / Matarranya	24	Leves	1
2019,0	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	31	Leves	1
2015,0	Hombres	01	La Jacetania	81	Leves	1
2015,0	Hombres	02	Alto Gállego	66	Leves	1
2015,0	Hombres	03	Sobrarbe	28	Leves	1
2015,0	Hombres	04	La Ribagorza	83	Leves	1
2015,0	Hombres	05	Cinco Villas	276	Leves	1
2015,0	Hombres	06	Hoya de Huesca / Plana de Uesca	461	Leves	1
2015,0	Hombres	07	Somontano de Barbastro	175	Leves	1
2015,0	Hombres	08	Cinca Medio	241	Leves	1
2015,0	Hombres	09	La Litera / La Llitera	196	Leves	1
2015,0	Hombres	10	Los Monegros	157	Leves	1
2015,0	Hombres	11	Bajo Cinca / Baix Cinca	250	Leves	1
2015,0	Hombres	12	Tarazona y el Moncayo	102	Leves	1
2015,0	Hombres	13	Campo de Borja	96	Leves	1
2015,0	Hombres	14	Aranda	30	Leves	1
2015,0	Hombres	15	Ribera Alta del Ebro	435	Leves	1
2015,0	Hombres	16	Valdejalón	362	Leves	1
2015,0	Hombres	17	D.C. Zaragoza	4353	Leves	1
2015,0	Hombres	18	Ribera Baja del Ebro	69	Leves	1
2015,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	98	Leves	1
2015,0	Hombres	20	Comunidad de Calatayud	155	Leves	1
