Comarca código	Comarca nombre	Año	Orden	Siglas	Concejales
26	Cuencas Mineras	2007	3	PAR	35,0
26	Cuencas Mineras	2007	4	CHA	8,0
26	Cuencas Mineras	2007	5	IU	3,0
26	Cuencas Mineras	2011	1	PP	21,0
26	Cuencas Mineras	2011	2	PSOE	53,0
26	Cuencas Mineras	2011	3	PAR	15,0
26	Cuencas Mineras	2011	4	CHA	7,0
26	Cuencas Mineras	2011	5	IU	1,0
26	Cuencas Mineras	2011	7	COMPROMISO CON ARAGON	25,0
26	Cuencas Mineras	2011	8	FIA	0,0
26	Cuencas Mineras	2015	4	C's	1,0
26	Cuencas Mineras	2015	5	PAR	23,0
26	Cuencas Mineras	2015	6	PSOE	46,0
26	Cuencas Mineras	2015	7	CHA	5,0
26	Cuencas Mineras	2015	8	PP	16,0
26	Cuencas Mineras	2015	12	COMPROMISO CON ARAGON	22,0
26	Cuencas Mineras	2015	28	FIA	0,0
26	Cuencas Mineras	2015	57	G:IU-LV	1,0
26	Cuencas Mineras	2015	64	C.S.I.E	2,0
26	Cuencas Mineras	2015	74	G:IU-LV	0,0
26	Cuencas Mineras	2015	75	G:IU-LV	1,0
27	Andorra-Sierra de Arcos	2007	1	PSOE	21,0
27	Andorra-Sierra de Arcos	2007	2	PP	19,0
27	Andorra-Sierra de Arcos	2007	3	PAR	16,0
27	Andorra-Sierra de Arcos	2007	4	CHA	1,0
27	Andorra-Sierra de Arcos	2007	5	IU	6,0
27	Andorra-Sierra de Arcos	2011	1	PP	15,0
27	Andorra-Sierra de Arcos	2011	2	PSOE	23,0
27	Andorra-Sierra de Arcos	2011	3	PAR	10,0
27	Andorra-Sierra de Arcos	2011	4	CHA	1,0
27	Andorra-Sierra de Arcos	2011	5	IU	5,0
27	Andorra-Sierra de Arcos	2011	7	COMPROMISO CON ARAGON	7,0
27	Andorra-Sierra de Arcos	2011	38	DN	0,0
27	Andorra-Sierra de Arcos	2015	5	PAR	17,0
27	Andorra-Sierra de Arcos	2015	6	PSOE	23,0
27	Andorra-Sierra de Arcos	2015	7	CHA	2,0
27	Andorra-Sierra de Arcos	2015	8	PP	7,0
27	Andorra-Sierra de Arcos	2015	12	COMPROMISO CON ARAGON	4,0
27	Andorra-Sierra de Arcos	2015	27	G:IU-LV	4,0
27	Andorra-Sierra de Arcos	2015	49	Asamblea Abierta	1,0
27	Andorra-Sierra de Arcos	2015	57	G:IU-LV	1,0
28	Bajo Aragón	2007	1	PSOE	58,0
28	Bajo Aragón	2007	2	PP	34,0
28	Bajo Aragón	2007	3	PAR	34,0
28	Bajo Aragón	2007	4	CHA	1,0
28	Bajo Aragón	2007	5	IU	6,0
28	Bajo Aragón	2007	36	FIA	1,0
28	Bajo Aragón	2011	1	PP	40,0
28	Bajo Aragón	2011	2	PSOE	53,0
28	Bajo Aragón	2011	3	PAR	42,0
28	Bajo Aragón	2011	4	CHA	1,0
28	Bajo Aragón	2011	5	IU	3,0
28	Bajo Aragón	2011	7	COMPROMISO CON ARAGON	0,0
28	Bajo Aragón	2011	8	FIA	1,0
28	Bajo Aragón	2015	4	C's	1,0
28	Bajo Aragón	2015	5	PAR	41,0
28	Bajo Aragón	2015	6	PSOE	54,0
28	Bajo Aragón	2015	8	PP	34,0
28	Bajo Aragón	2015	20	G:IU-LV	3,0
28	Bajo Aragón	2015	26	CHA	0,0
28	Bajo Aragón	2015	39	G:IU-LV	0,0
28	Bajo Aragón	2015	45	G:IU-LV	4,0
28	Bajo Aragón	2015	53	G:IU-LV	1,0
28	Bajo Aragón	2015	58	G.B.A.	0,0
29	Comunidad de Teruel	2007	1	PSOE	55,0
29	Comunidad de Teruel	2007	2	PP	78,0
29	Comunidad de Teruel	2007	3	PAR	59,0
29	Comunidad de Teruel	2007	4	CHA	10,0
29	Comunidad de Teruel	2007	5	IU	1,0
29	Comunidad de Teruel	2007	8	PCUA	0,0
29	Comunidad de Teruel	2007	38	FAMILIA Y V	0,0
29	Comunidad de Teruel	2011	1	PP	103,0
29	Comunidad de Teruel	2011	2	PSOE	57,0
29	Comunidad de Teruel	2011	3	PAR	37,0
29	Comunidad de Teruel	2011	4	CHA	6,0
29	Comunidad de Teruel	2011	5	IU	3,0
29	Comunidad de Teruel	2011	6	UPyD	0,0
29	Comunidad de Teruel	2011	7	COMPROMISO CON ARAGON	12,0
29	Comunidad de Teruel	2015	4	C's	3,0
29	Comunidad de Teruel	2015	5	PAR	44,0
29	Comunidad de Teruel	2015	6	PSOE	60,0
29	Comunidad de Teruel	2015	7	CHA	7,0
29	Comunidad de Teruel	2015	8	PP	92,0
29	Comunidad de Teruel	2015	10	EB	0,0
29	Comunidad de Teruel	2015	12	COMPROMISO CON ARAGON	4,0
29	Comunidad de Teruel	2015	16	G:IU-LV	3,0
29	Comunidad de Teruel	2015	28	FIA	0,0
29	Comunidad de Teruel	2015	39	G:IU-LV	1,0
29	Comunidad de Teruel	2015	45	G:IU-LV	1,0
29	Comunidad de Teruel	2015	57	G:IU-LV	0,0
29	Comunidad de Teruel	2015	93	PNP	1,0
30	Maestrazgo	2007	1	PSOE	21,0
30	Maestrazgo	2007	2	PP	23,0
30	Maestrazgo	2007	3	PAR	23,0
30	Maestrazgo	2007	4	CHA	0,0
30	Maestrazgo	2007	5	IU	0,0
30	Maestrazgo	2011	1	PP	24,0
30	Maestrazgo	2011	2	PSOE	22,0
30	Maestrazgo	2011	3	PAR	26,0
30	Maestrazgo	2011	4	CHA	1,0
30	Maestrazgo	2011	5	IU	0,0
30	Maestrazgo	2015	4	C's	2,0
30	Maestrazgo	2015	5	PAR	26,0
30	Maestrazgo	2015	6	PSOE	15,0
30	Maestrazgo	2015	7	CHA	1,0
30	Maestrazgo	2015	8	PP	21,0
30	Maestrazgo	2015	79	UxA	4,0
31	Sierra de Albarracín	2007	1	PSOE	30,0
31	Sierra de Albarracín	2007	2	PP	27,0
31	Sierra de Albarracín	2007	3	PAR	28,0
31	Sierra de Albarracín	2007	4	CHA	3,0
31	Sierra de Albarracín	2007	5	IU	1,0
31	Sierra de Albarracín	2011	1	PP	32,0
31	Sierra de Albarracín	2011	2	PSOE	30,0
31	Sierra de Albarracín	2011	3	PAR	29,0
31	Sierra de Albarracín	2011	4	CHA	2,0
31	Sierra de Albarracín	2011	5	IU	0,0
31	Sierra de Albarracín	2011	7	COMPROMISO CON ARAGON	2,0
31	Sierra de Albarracín	2015	4	C's	7,0
31	Sierra de Albarracín	2015	5	PAR	31,0
31	Sierra de Albarracín	2015	6	PSOE	25,0
31	Sierra de Albarracín	2015	7	CHA	6,0
31	Sierra de Albarracín	2015	8	PP	25,0
31	Sierra de Albarracín	2015	12	COMPROMISO CON ARAGON	1,0
31	Sierra de Albarracín	2015	57	G:IU-LV	0,0
32	Gúdar-Javalambre	2007	1	PSOE	50,0
32	Gúdar-Javalambre	2007	2	PP	38,0
32	Gúdar-Javalambre	2007	3	PAR	31,0
32	Gúdar-Javalambre	2007	4	CHA	1,0
32	Gúdar-Javalambre	2007	5	IU	6,0
32	Gúdar-Javalambre	2007	8	PCUA	3,0
32	Gúdar-Javalambre	2007	30	IPN	1,0
32	Gúdar-Javalambre	2011	1	PP	42,0
32	Gúdar-Javalambre	2011	2	PSOE	51,0
32	Gúdar-Javalambre	2011	3	PAR	35,0
32	Gúdar-Javalambre	2011	4	CHA	1,0
32	Gúdar-Javalambre	2011	5	IU	3,0
32	Gúdar-Javalambre	2011	7	COMPROMISO CON ARAGON	0,0
32	Gúdar-Javalambre	2011	9	ECOLO	0,0
32	Gúdar-Javalambre	2011	39	LVE	0,0
32	Gúdar-Javalambre	2015	5	PAR	40,0
32	Gúdar-Javalambre	2015	6	PSOE	41,0
32	Gúdar-Javalambre	2015	7	CHA	2,0
32	Gúdar-Javalambre	2015	8	PP	42,0
32	Gúdar-Javalambre	2015	39	G:IU-LV	1,0
32	Gúdar-Javalambre	2015	57	G:IU-LV	4,0
33	Matarraña / Matarranya	2007	1	PSOE	35,0
33	Matarraña / Matarranya	2007	2	PP	36,0
33	Matarraña / Matarranya	2007	3	PAR	41,0
33	Matarraña / Matarranya	2007	4	CHA	3,0
33	Matarraña / Matarranya	2007	5	IU	0,0
33	Matarraña / Matarranya	2007	29	L'ENTESA	1,0
33	Matarraña / Matarranya	2011	1	PP	44,0
33	Matarraña / Matarranya	2011	2	PSOE	31,0
33	Matarraña / Matarranya	2011	3	PAR	39,0
33	Matarraña / Matarranya	2011	4	CHA	3,0
33	Matarraña / Matarranya	2011	26	ESQUERRA-AM	1,0
33	Matarraña / Matarranya	2015	5	PAR	39,0
33	Matarraña / Matarranya	2015	6	PSOE	31,0
33	Matarraña / Matarranya	2015	7	CHA	3,0
33	Matarraña / Matarranya	2015	8	PP	39,0
33	Matarraña / Matarranya	2015	26	CHA	2,0
