Año	Municipio código	Municipio nombre	Visados, total	Visados, obra nueva	Visados, ampliación	Visados, reforma	Visados, otros	Viviendas, obra nueva, total	Viviendas, obra nueva, unifamiliar	Viviendas, obra nueva, bloque	Viviendas, obra nueva, otros	Viviendas, ampliación o reforma
2009	44013	Alcañiz	25,0	7,0	0,0	14,0	4,0	13,0	5,0	8,0	0,0	10,0
2009	44216	Teruel	107,0	42,0	2,0	36,0	26,0	48,0	31,0	17,0	0,0	20,0
2009	50067	Calatayud	36,0	5,0	2,0	23,0	6,0	134,0	2,0	132,0	0,0	16,0
2009	50095	Ejea de los Caballeros	47,0	15,0	2,0	20,0	10,0	37,0	7,0	30,0	0,0	12,0
2009	50251	Tarazona	15,0	8,0	0,0	2,0	5,0	13,0	4,0	9,0	0,0	1,0
2009	50272	Utebo	16,0	7,0	1,0	4,0	3,0	3,0	3,0	0,0	0,0	4,0
2009	50297	Zaragoza	739,0	114,0	9,0	352,0	264,0	2019,0	28,0	1991,0	0,0	250,0
2008	22048	Barbastro	37,0	19,0	1,0	10,0	7,0	49,0	15,0	34,0	0,0	5,0
2008	22112	Fraga	35,0	17,0	6,0	8,0	4,0	33,0	13,0	20,0	0,0	14,0
2008	22125	Huesca	64,0	11,0	5,0	27,0	20,0	79,0	12,0	67,0	0,0	17,0
2008	22130	Jaca	48,0	14,0	2,0	21,0	11,0	111,0	8,0	103,0	0,0	18,0
2008	22158	Monzón	30,0	14,0	1,0	10,0	5,0	70,0	5,0	65,0	0,0	6,0
2008	22199	Sabiñánigo	21,0	12,0	2,0	6,0	1,0	117,0	6,0	111,0	0,0	9,0
2008	44013	Alcañiz	36,0	16,0	2,0	9,0	9,0	81,0	6,0	75,0	0,0	7,0
2008	44216	Teruel	95,0	41,0	3,0	24,0	27,0	519,0	14,0	505,0	0,0	9,0
2008	50067	Calatayud	61,0	20,0	1,0	21,0	19,0	194,0	13,0	181,0	0,0	10,0
2008	50095	Ejea de los Caballeros	43,0	19,0	0,0	12,0	12,0	62,0	16,0	46,0	0,0	8,0
2008	50251	Tarazona	28,0	9,0	0,0	9,0	10,0	120,0	0,0	120,0	0,0	6,0
2008	50272	Utebo	21,0	5,0	0,0	5,0	11,0	11,0	2,0	9,0	0,0	3,0
2008	50297	Zaragoza	907,0	178,0	11,0	424,0	294,0	1910,0	52,0	1858,0	0,0	283,0
2007	22048	Barbastro	30,0	16,0	1,0	7,0	6,0	194,0	7,0	187,0	0,0	5,0
2007	22112	Fraga	60,0	32,0	5,0	16,0	7,0	275,0	16,0	259,0	0,0	15,0
2007	22125	Huesca	73,0	26,0	4,0	24,0	19,0	600,0	2,0	598,0	0,0	8,0
2007	22130	Jaca	52,0	20,0	1,0	20,0	11,0	343,0	8,0	335,0	0,0	15,0
2007	22158	Monzón	43,0	31,0	2,0	7,0	3,0	343,0	11,0	332,0	0,0	5,0
2007	44013	Alcañiz	53,0	22,0	3,0	12,0	16,0	146,0	9,0	137,0	0,0	10,0
2007	44216	Teruel	113,0	59,0	6,0	20,0	28,0	568,0	59,0	509,0	0,0	12,0
2007	50067	Calatayud	76,0	21,0	1,0	28,0	26,0	431,0	5,0	426,0	0,0	17,0
2007	50095	Ejea de los Caballeros	55,0	21,0	1,0	11,0	22,0	215,0	18,0	197,0	0,0	10,0
2007	50251	Tarazona	36,0	17,0	0,0	7,0	12,0	123,0	4,0	119,0	0,0	4,0
2007	50272	Utebo	33,0	18,0	1,0	4,0	10,0	259,0	11,0	248,0	0,0	2,0
2007	50297	Zaragoza	1057,0	304,0	14,0	415,0	324,0	7045,0	86,0	6959,0	0,0	302,0
2006	22048	Barbastro	48,0	38,0	0,0	8,0	2,0	456,0	19,0	437,0	0,0	17,0
2006	22112	Fraga	70,0	46,0	5,0	11,0	8,0	475,0	21,0	454,0	0,0	13,0
2006	22125	Huesca	83,0	32,0	0,0	13,0	38,0	777,0	6,0	771,0	0,0	23,0
2006	22130	Jaca	92,0	41,0	7,0	22,0	22,0	342,0	66,0	276,0	0,0	31,0
2006	22158	Monzón	40,0	30,0	2,0	5,0	3,0	338,0	14,0	323,0	1,0	5,0
2006	44013	Alcañiz	51,0	29,0	1,0	8,0	13,0	265,0	21,0	244,0	0,0	6,0
2006	44216	Teruel	128,0	78,0	0,0	20,0	30,0	779,0	42,0	737,0	0,0	26,0
2006	50067	Calatayud	75,0	33,0	0,0	14,0	28,0	504,0	82,0	422,0	0,0	14,0
2006	50095	Ejea de los Caballeros	67,0	31,0	0,0	15,0	21,0	311,0	33,0	278,0	0,0	9,0
2006	50251	Tarazona	30,0	6,0	2,0	15,0	7,0	68,0	2,0	66,0	0,0	12,0
2006	50272	Utebo										
2006	50297	Zaragoza	1185,0	351,0	10,0	323,0	500,0	7717,0	254,0	7463,0	0,0	313,0
2005	22048	Barbastro	58,0	34,0	1,0	7,0	16,0	232,0	46,0	186,0	0,0	23,0
2005	22112	Fraga	47,0	28,0	4,0	5,0	10,0	213,0	23,0	190,0	0,0	9,0
2005	22125	Huesca	106,0	41,0	2,0	25,0	36,0	663,0	19,0	630,0	14,0	43,0
2005	22130	Jaca	81,0	40,0	1,0	21,0	19,0	993,0	69,0	924,0	0,0	30,0
2005	22158	Monzón	41,0	17,0	4,0	8,0	12,0	185,0	7,0	178,0	0,0	13,0
2005	44013	Alcañiz	54,0	24,0	5,0	14,0	11,0	159,0	14,0	144,0	1,0	21,0
2005	44216	Teruel	114,0	67,0	3,0	18,0	24,0	442,0	40,0	401,0	1,0	56,0
2005	50067	Calatayud	65,0	24,0	0,0	12,0	29,0	189,0	27,0	162,0	0,0	4,0
2005	50095	Ejea de los Caballeros	68,0	34,0	1,0	11,0	22,0	117,0	46,0	71,0	0,0	7,0
2005	50251	Tarazona	36,0	14,0	3,0	8,0	11,0	103,0	53,0	50,0	0,0	18,0
2005	50272	Utebo										
2005	50297	Zaragoza	1142,0	349,0	14,0	282,0	496,0	4443,0	504,0	3939,0	0,0	312,0
2004	22048	Barbastro	54,0	30,0	3,0	9,0	12,0	212,0	18,0	194,0	0,0	13,0
2004	22112	Fraga	41,0	24,0	0,0	9,0	8,0	150,0	5,0	143,0	2,0	7,0
2004	22125	Huesca	92,0	34,0	0,0	17,0	40,0	879,0	3,0	876,0	0,0	39,0
2004	22130	Jaca	85,0	53,0	3,0	20,0	9,0	1099,0	89,0	1010,0	0,0	35,0
2004	22158	Monzón	44,0	23,0	3,0	7,0	11,0	175,0	44,0	131,0	0,0	6,0
2004	44013	Alcañiz	58,0	34,0	5,0	10,0	9,0	282,0	17,0	265,0	0,0	30,0
2004	44216	Teruel	125,0	73,0	9,0	11,0	32,0	304,0	69,0	235,0	0,0	20,0
2004	50067	Calatayud	71,0	41,0	0,0	6,0	24,0	411,0	34,0	377,0	0,0	3,0
2004	50095	Ejea de los Caballeros	73,0	35,0	2,0	11,0	25,0	98,0	52,0	46,0	0,0	9,0
2004	50251	Tarazona	32,0	10,0	0,0	11,0	11,0	137,0	35,0	102,0	0,0	17,0
2004	50272	Utebo	50,0	27,0	1,0	4,0	18,0	520,0	95,0	425,0	0,0	3,0
2004	50297	Zaragoza	1097,0	310,0	5,0	313,0	469,0	4385,0	763,0	3622,0	0,0	515,0
2003	22048	Barbastro	51,0	33,0	1,0	9,0	8,0	261,0	67,0	194,0	0,0	10,0
2003	22112	Fraga	49,0	22,0	3,0	8,0	16,0	146,0	9,0	137,0	0,0	10,0
2003	22125	Huesca	101,0	39,0	1,0	24,0	37,0	836,0	1,0	835,0	0,0	58,0
2003	22130	Jaca	63,0	33,0	2,0	24,0	4,0	1059,0	54,0	1005,0	0,0	33,0
2003	22158	Monzón	38,0	21,0	5,0	4,0	8,0	180,0	32,0	148,0	0,0	6,0
2003	44013	Alcañiz	48,0	35,0	1,0	3,0	9,0	111,0	23,0	88,0	0,0	1,0
2003	44216	Teruel	104,0	52,0	3,0	15,0	33,0	393,0	41,0	352,0	0,0	26,0
2003	50067	Calatayud	63,0	28,0	0,0	9,0	26,0	232,0	89,0	143,0	0,0	17,0
2003	50095	Ejea de los Caballeros	79,0	39,0	4,0	10,0	26,0	225,0	80,0	145,0	0,0	7,0
2003	50251	Tarazona	22,0	8,0	0,0	5,0	9,0	32,0	24,0	8,0	0,0	3,0
2003	50272	Utebo	47,0	35,0	0,0	0,0	12,0	444,0	176,0	268,0	0,0	0,0
2003	50297	Zaragoza	1075,0	331,0	9,0	283,0	452,0	5366,0	667,0	4655,0	44,0	464,0
2002	22048	Barbastro	53,0	21,0	1,0	5,0	26,0	137,0	55,0	82,0	0,0	19,0
2002	22112	Fraga	41,0	22,0	4,0	5,0	10,0	72,0	18,0	54,0	0,0	8,0
2002	22125	Huesca	81,0	28,0	0,0	21,0	32,0	640,0	30,0	609,0	1,0	40,0
2002	22130	Jaca	64,0	32,0	1,0	17,0	14,0	562,0	77,0	485,0	0,0	18,0
2002	22158	Monzón	51,0	34,0	0,0	10,0	7,0	247,0	39,0	208,0	0,0	9,0
2002	44013	Alcañiz	38,0	28,0	1,0	3,0	6,0	220,0	15,0	205,0	0,0	4,0
2002	44216	Teruel	91,0	36,0	4,0	20,0	31,0	356,0	13,0	343,0	0,0	100,0
2002	50067	Calatayud	43,0	17,0	1,0	9,0	16,0	232,0	26,0	206,0	0,0	9,0
2002	50095	Ejea de los Caballeros	66,0	29,0	2,0	9,0	26,0	142,0	36,0	105,0	1,0	9,0
2002	50251	Tarazona	24,0	14,0	0,0	6,0	4,0	105,0	30,0	75,0	0,0	7,0
2002	50272	Utebo	49,0	26,0	1,0	5,0	17,0	281,0	50,0	231,0	0,0	4,0
2002	50297	Zaragoza	1092,0	337,0	13,0	281,0	461,0	6321,0	1690,0	4631,0	0,0	592,0
