Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2015	1	2805,0	PP-PAR
01	La Jacetania	2015	2	2353,0	PSOE
01	La Jacetania	2015	3	2105,0	PODEMOS-Ahora Alto Aragón en Común
01	La Jacetania	2015	3	80,0	PODEMOS
01	La Jacetania	2015	4	1672,0	C's
01	La Jacetania	2015	5	660,0	IU-CHA-UPeC
01	La Jacetania	2015	6	73,0	UPYD
01	La Jacetania	2015	7	78,0	PACMA
01	La Jacetania	2015	8	28,0	EB
01	La Jacetania	2015	9	0,0	VOX
01	La Jacetania	2015	10	17,0	RECORTES CERO-GRUPO VERDE
01	La Jacetania	2015	11	19,0	PCPE
01	La Jacetania	2015	12	14,0	Independientes-FIA
02	Alto Gállego	2015	1	2147,0	PP-PAR
02	Alto Gállego	2015	2	1835,0	PSOE
02	Alto Gállego	2015	3	1641,0	PODEMOS-Ahora Alto Aragón en Común
02	Alto Gállego	2015	4	1128,0	C's
02	Alto Gállego	2015	5	466,0	IU-CHA-UPeC
02	Alto Gállego	2015	6	41,0	UPYD
02	Alto Gállego	2015	7	61,0	PACMA
02	Alto Gállego	2015	8	34,0	EB
02	Alto Gállego	2015	10	14,0	RECORTES CERO-GRUPO VERDE
02	Alto Gállego	2015	11	11,0	PCPE
02	Alto Gállego	2015	12	10,0	Independientes-FIA
03	Sobrarbe	2015	1	1385,0	PP-PAR
03	Sobrarbe	2015	2	1096,0	PSOE
03	Sobrarbe	2015	3	822,0	PODEMOS-Ahora Alto Aragón en Común
03	Sobrarbe	2015	4	584,0	C's
03	Sobrarbe	2015	5	243,0	IU-CHA-UPeC
03	Sobrarbe	2015	6	29,0	UPYD
03	Sobrarbe	2015	7	13,0	PACMA
03	Sobrarbe	2015	8	15,0	EB
03	Sobrarbe	2015	10	6,0	RECORTES CERO-GRUPO VERDE
03	Sobrarbe	2015	11	8,0	PCPE
03	Sobrarbe	2015	12	3,0	Independientes-FIA
04	La Ribagorza	2015	1	2386,0	PP-PAR
04	La Ribagorza	2015	2	1510,0	PSOE
