Año	Población	Comarca código	Comarca nombre
2001	7415,0	23	Bajo Martín
2001	6749,0	24	Campo de Daroca
2001	13877,0	25	Jiloca
2001	9696,0	26	Cuencas Mineras
2001	11172,0	27	Andorra-Sierra de Arcos
2001	26413,0	28	Bajo Aragón
2001	42660,0	29	Comunidad de Teruel
2001	3621,0	30	Maestrazgo
2001	4973,0	31	Sierra de Albarracín
2001	7772,0	32	Gúdar-Javalambre
2001	8634,0	33	Matarraña / Matarranya
2002	17207,0	01	La Jacetania
2002	12320,0	02	Alto Gállego
2002	6854,0	03	Sobrarbe
2002	12129,0	04	La Ribagorza
2002	32669,0	05	Cinco Villas
2002	60525,0	06	Hoya de Huesca / Plana de Uesca
2002	22740,0	07	Somontano de Barbastro
2002	22441,0	08	Cinca Medio
2002	18666,0	09	La Litera / La Llitera
2002	21240,0	10	Los Monegros
2002	22688,0	11	Bajo Cinca / Baix Cinca
2002	14287,0	12	Tarazona y el Moncayo
2002	14326,0	13	Campo de Borja
2002	8018,0	14	Aranda
2002	22564,0	15	Ribera Alta del Ebro
2002	23721,0	16	Valdejalón
2002	662941,0	17	D.C. Zaragoza
2002	9418,0	18	Ribera Baja del Ebro
2002	12604,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2002	40185,0	20	Comunidad de Calatayud
2002	10501,0	21	Campo de Cariñena
2002	5505,0	22	Campo de Belchite
2002	7383,0	23	Bajo Martín
2002	6623,0	24	Campo de Daroca
2002	13829,0	25	Jiloca
2002	9604,0	26	Cuencas Mineras
2002	11165,0	27	Andorra-Sierra de Arcos
2002	26853,0	28	Bajo Aragón
2002	43273,0	29	Comunidad de Teruel
2002	3700,0	30	Maestrazgo
2002	4961,0	31	Sierra de Albarracín
2002	7892,0	32	Gúdar-Javalambre
2002	8682,0	33	Matarraña / Matarranya
2003	17299,0	01	La Jacetania
2003	12593,0	02	Alto Gállego
2003	6903,0	03	Sobrarbe
2003	12263,0	04	La Ribagorza
2003	32599,0	05	Cinco Villas
2003	61659,0	06	Hoya de Huesca / Plana de Uesca
2003	23141,0	07	Somontano de Barbastro
2003	22683,0	08	Cinca Medio
2003	18720,0	09	La Litera / La Llitera
2003	20972,0	10	Los Monegros
2003	22961,0	11	Bajo Cinca / Baix Cinca
2003	14346,0	12	Tarazona y el Moncayo
2003	14344,0	13	Campo de Borja
2003	8054,0	14	Aranda
2003	23114,0	15	Ribera Alta del Ebro
2003	24579,0	16	Valdejalón
2003	670239,0	17	D.C. Zaragoza
2003	9292,0	18	Ribera Baja del Ebro
2003	12658,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2003	40484,0	20	Comunidad de Calatayud
