Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2008	62954,0	PSOE	2,0
22	Huesca	2008	49748,0	PP	1,0
22	Huesca	2008	6665,0	PAR	0,0
22	Huesca	2008	3892,0	CHA	0,0
22	Huesca	2008	3815,0	IU	0,0
22	Huesca	2008	1719,0	UPyD	0,0
22	Huesca	2008	561,0	LV	0,0
22	Huesca	2008	179,0	PACMA	0,0
22	Huesca	2008	129,0	C's	0,0
22	Huesca	2008	169,0	Cenb	0,0
22	Huesca	2008	95,0	PUM+J	0,0
22	Huesca	2008	52,0	pCUA	0,0
22	Huesca	2008	76,0	DN	0,0
22	Huesca	2008	79,0	PSD-FIA	0,0
22	Huesca	2008	61,0	FE de las JONS	0,0
22	Huesca	2008	50,0	PFyV	0,0
22	Huesca	2008	65,0	PCPE	0,0
22	Huesca	2008	98,0	AuN	0,0
22	Huesca	2008	38,0	FA	0,0
22	Huesca	2008	30,0	PH	0,0
22	Huesca	2008	21,0	AES	0,0
22	Huesca	2008	0,0	FRENTE	
22	Huesca	2008	0,0	E-2000	
22	Huesca	2008	0,0	PCTR	
44	Teruel	2008	38617,0	PSOE	2,0
44	Teruel	2008	34386,0	PP	1,0
44	Teruel	2008	7440,0	PAR	0,0
44	Teruel	2008	2029,0	CHA	0,0
44	Teruel	2008	2270,0	IU	0,0
44	Teruel	2008	388,0	UPyD	0,0
44	Teruel	2008	170,0	LV	0,0
44	Teruel	2008	93,0	PACMA	0,0
44	Teruel	2008	113,0	C's	0,0
44	Teruel	2008	0,0	Cenb	
44	Teruel	2008	30,0	PUM+J	0,0
44	Teruel	2008	43,0	pCUA	0,0
44	Teruel	2008	34,0	DN	0,0
44	Teruel	2008	30,0	PSD-FIA	0,0
44	Teruel	2008	55,0	FE de las JONS	0,0
44	Teruel	2008	18,0	PFyV	0,0
44	Teruel	2008	49,0	PCPE	0,0
44	Teruel	2008	13,0	AuN	0,0
44	Teruel	2008	17,0	FA	0,0
44	Teruel	2008	0,0	PH	
44	Teruel	2008	21,0	AES	0,0
44	Teruel	2008	0,0	FRENTE	
44	Teruel	2008	16,0	E-2000	0,0
44	Teruel	2008	10,0	PCTR	0,0
50	Zaragoza	2008	254479,0	PSOE	4,0
50	Zaragoza	2008	199934,0	PP	3,0
50	Zaragoza	2008	25949,0	PAR	0,0
50	Zaragoza	2008	32281,0	CHA	0,0
50	Zaragoza	2008	15731,0	IU	0,0
50	Zaragoza	2008	6621,0	UPyD	0,0
50	Zaragoza	2008	1758,0	LV	0,0
50	Zaragoza	2008	958,0	PACMA	0,0
50	Zaragoza	2008	755,0	C's	0,0
50	Zaragoza	2008	376,0	Cenb	0,0
50	Zaragoza	2008	372,0	PUM+J	0,0
50	Zaragoza	2008	380,0	pCUA	0,0
50	Zaragoza	2008	323,0	DN	0,0
50	Zaragoza	2008	286,0	PSD-FIA	0,0
50	Zaragoza	2008	236,0	FE de las JONS	0,0
50	Zaragoza	2008	262,0	PFyV	0,0
50	Zaragoza	2008	200,0	PCPE	0,0
50	Zaragoza	2008	133,0	AuN	0,0
50	Zaragoza	2008	135,0	FA	0,0
50	Zaragoza	2008	91,0	PH	0,0
50	Zaragoza	2008	76,0	AES	0,0
50	Zaragoza	2008	113,0	FRENTE	0,0
50	Zaragoza	2008	73,0	E-2000	0,0
50	Zaragoza	2008	0,0	PCTR	
