Mes y año	Mes (código)	Año	Mes nombre	Comarca código	Comarca nombre	Sexo	Temporalidad	Días duración contrato	Sector código	Sector descripción	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Julio 2021	202107	2021	Julio	04	La Ribagorza	Hombres	Temporal	1	4	Servicios	128	6357	49,6640625
Julio 2021	202107	2021	Julio	04	La Ribagorza	Mujeres	Temporal	0	4	Servicios	195	0	0
Julio 2021	202107	2021	Julio	04	La Ribagorza	Mujeres	Temporal	1	4	Servicios	152	8135	53,51973684210526315789473684210526315789
Julio 2021	202107	2021	Julio	05	Cinco Villas	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	124	0	0
Julio 2021	202107	2021	Julio	05	Cinco Villas	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	23	2122	92,26086956521739130434782608695652173913
Julio 2021	202107	2021	Julio	05	Cinco Villas	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	42	0	0
Julio 2021	202107	2021	Julio	05	Cinco Villas	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	8	629	78,625
Julio 2021	202107	2021	Julio	05	Cinco Villas	Hombres	Temporal	0	2	Industria y energía	38	0	0
Julio 2021	202107	2021	Julio	05	Cinco Villas	Hombres	Temporal	1	2	Industria y energía	103	11475	111,407766990291262135922330097087378641
Julio 2021	202107	2021	Julio	05	Cinco Villas	Mujeres	Temporal	0	2	Industria y energía	24	0	0
Julio 2021	202107	2021	Julio	05	Cinco Villas	Mujeres	Temporal	1	2	Industria y energía	21	1801	85,76190476190476190476190476190476190476
Julio 2021	202107	2021	Julio	05	Cinco Villas	Hombres	Temporal	0	3	Construcción	31	0	0
Julio 2021	202107	2021	Julio	05	Cinco Villas	Hombres	Temporal	1	3	Construcción	3	325	108,333333333333333333333333333333333333
Julio 2021	202107	2021	Julio	05	Cinco Villas	Mujeres	Temporal	1	3	Construcción	1	90	90
Julio 2021	202107	2021	Julio	05	Cinco Villas	Hombres	Temporal	0	4	Servicios	41	0	0
Julio 2021	202107	2021	Julio	05	Cinco Villas	Hombres	Temporal	1	4	Servicios	74	7342	99,21621621621621621621621621621621621622
Julio 2021	202107	2021	Julio	05	Cinco Villas	Mujeres	Temporal	0	4	Servicios	83	0	0
Julio 2021	202107	2021	Julio	05	Cinco Villas	Mujeres	Temporal	1	4	Servicios	142	7417	52,23239436619718309859154929577464788732
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	105	0	0
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	17	1515	89,11764705882352941176470588235294117647
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	29	0	0
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	5	297	59,4
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	0	2	Industria y energía	46	0	0
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	1	2	Industria y energía	33	4963	150,393939393939393939393939393939393939
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	0	2	Industria y energía	8	0	0
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	1	2	Industria y energía	13	961	73,92307692307692307692307692307692307692
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	0	3	Construcción	97	0	0
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	1	3	Construcción	38	3044	80,10526315789473684210526315789473684211
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	0	3	Construcción	1	0	0
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	1	3	Construcción	3	343	114,333333333333333333333333333333333333
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	0	4	Servicios	154	0	0
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	1	4	Servicios	643	36190	56,28304821150855365474339035769828926905
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	0	4	Servicios	220	0	0
Julio 2021	202107	2021	Julio	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	1	4	Servicios	736	40661	55,24592391304347826086956521739130434783
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	25	0	0
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	5	258	51,6
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	1	0	0
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	3	44	14,66666666666666666666666666666666666667
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Hombres	Temporal	0	2	Industria y energía	35	0	0
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Hombres	Temporal	1	2	Industria y energía	42	3604	85,80952380952380952380952380952380952381
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Mujeres	Temporal	0	2	Industria y energía	16	0	0
