Año	Municipio código	Municipio nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	22054	Benasque	1953212,0	741775,0	80000,0	364049,0	388840,0	378548,0	0,0	0,0	0,0	0,0	Presupuestos	Consolidada
2004	22055	Berbegal	397783,0	62020,0	6000,0	64037,0	109775,0	39231,0	0,0	116720,0	0,0	0,0	Presupuestos	Consolidada
2004	22057	Bielsa	1475400,0	170000,0	40000,0	72650,0	124000,0	117008,5	0,0	951741,5	0,0	0,0	Presupuestos	Consolidada
2004	22058	Bierge	830816,21	41363,9	42000,0	75659,54	73163,75	19800,0	0,0	578829,02	0,0	0,0	Presupuestos	Consolidada
2004	22059	Biescas	2373000,0	725660,0	200000,0	591487,37	395746,88	8740,0	0,0	224365,75	0,0	227000,0	Presupuestos	Consolidada
2004	22060	Binaced	1027460,83	317200,0	25000,0	112450,0	306591,69	6600,0	0,0	215850,0	0,0	43769,14	Presupuestos	Consolidada
2004	22061	Binéfar	8503119,85	1766861,87	305662,94	1315975,88	1711641,71	11000,0	197885,31	2318217,18	0,0	875874,96	Presupuestos	Consolidada
2004	22062	Bisaurri	217684,0	19300,0	50000,0	36799,0	69385,0	5600,0	0,0	36600,0	0,0	0,0	Presupuestos	Consolidada
2004	22063	Biscarrués	154647,0	41200,0	2500,0	17710,3	51658,72	3727,98	0,0	37850,0	0,0	0,0	Presupuestos	Consolidada
2004	22064	Blecua y Torres	507208,0	32487,13	0,0	21611,87	57699,0	12500,0	0,0	326910,0	0,0	56000,0	Presupuestos	Consolidada
2004	22066	Boltaña	2460263,49	177690,54	120202,42	192081,51	384634,84	4576,67	60,1	1136263,4	0,0	444754,01	Presupuestos	Consolidada
2004	22067	Bonansa											Presupuestos	Sin información
2004	22068	Borau											Presupuestos	Sin información
