Mes y año	Mes (código)	Sexo	UE28-UE27-UE25	UE28	UE27	UE25	Número de contratos	CCAA nombre
December 2016	201612	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2825	Aragón
December 2016	201612	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	16530	Aragón
December 2016	201612	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1480	Aragón
December 2016	201612	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	186	Aragón
December 2016	201612	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	6	Aragón
December 2016	201612	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1525	Aragón
December 2016	201612	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
May 2016	201605	Hombres	Españoles	Españoles	Españoles	ESPAÑA	20302	Aragón
May 2016	201605	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	4327	Aragón
May 2016	201605	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	300	Aragón
May 2016	201605	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	7	Aragón
May 2016	201605	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	7882	Aragón
May 2016	201605	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	17513	Aragón
May 2016	201605	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	4084	Aragón
May 2016	201605	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	377	Aragón
May 2016	201605	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	3	Aragón
May 2016	201605	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2048	Aragón
April 2016	201604	Hombres	Españoles	Españoles	Españoles	ESPAÑA	16531	Aragón
April 2016	201604	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2376	Aragón
April 2016	201604	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	349	Aragón
April 2016	201604	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	13	Aragón
April 2016	201604	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3576	Aragón
April 2016	201604	Hombres	No consta	No consta	No consta	No consta	1	Aragón
April 2016	201604	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	14483	Aragón
April 2016	201604	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1843	Aragón
April 2016	201604	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	188	Aragón
April 2016	201604	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	8	Aragón
April 2016	201604	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1457	Aragón
March 2016	201603	Hombres	Españoles	Españoles	Españoles	ESPAÑA	16609	Aragón
March 2016	201603	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1663	Aragón
March 2016	201603	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	253	Aragón
March 2016	201603	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	15	Aragón
March 2016	201603	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2500	Aragón
March 2016	201603	Hombres	No consta	No consta	No consta	No consta	1	Aragón
March 2016	201603	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	15344	Aragón
March 2016	201603	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1577	Aragón
March 2016	201603	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	233	Aragón
March 2016	201603	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	4	Aragón
March 2016	201603	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1568	Aragón
February 2016	201602	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15549	Aragón
February 2016	201602	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1648	Aragón
February 2016	201602	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	227	Aragón
February 2016	201602	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	15	Aragón
February 2016	201602	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2605	Aragón
February 2016	201602	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13983	Aragón
February 2016	201602	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1323	Aragón
February 2016	201602	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	200	Aragón
February 2016	201602	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	14	Aragón
February 2016	201602	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1248	Aragón
Diciembre 2015	201512	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15032	Aragón
Diciembre 2015	201512	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1357	Aragón
Diciembre 2015	201512	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	202	Aragón
Diciembre 2015	201512	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	11	Aragón
Diciembre 2015	201512	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2482	Aragón
Diciembre 2015	201512	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Diciembre 2015	201512	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	15461	Aragón
Diciembre 2015	201512	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1298	Aragón
Diciembre 2015	201512	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	199	Aragón
Diciembre 2015	201512	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	7	Aragón
Diciembre 2015	201512	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1312	Aragón
Diciembre 2015	201512	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Noviembre 2015	201511	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15878	Aragón
Noviembre 2015	201511	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1906	Aragón
Noviembre 2015	201511	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	232	Aragón
Noviembre 2015	201511	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	17	Aragón
Noviembre 2015	201511	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2851	Aragón
Noviembre 2015	201511	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	14416	Aragón
Noviembre 2015	201511	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1436	Aragón
Noviembre 2015	201511	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	204	Aragón
Noviembre 2015	201511	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	15	Aragón
Noviembre 2015	201511	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1364	Aragón
Noviembre 2015	201511	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Octubre 2015	201510	Hombres	Españoles	Españoles	Españoles	ESPAÑA	19250	Aragón
Octubre 2015	201510	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2337	Aragón
Octubre 2015	201510	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	295	Aragón
Octubre 2015	201510	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	34	Aragón
Octubre 2015	201510	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3202	Aragón
Octubre 2015	201510	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	17938	Aragón
Octubre 2015	201510	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1705	Aragón
Octubre 2015	201510	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	305	Aragón
Octubre 2015	201510	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	17	Aragón
Octubre 2015	201510	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1675	Aragón
Septiembre 2015	201509	Hombres	Españoles	Españoles	Españoles	ESPAÑA	19549	Aragón
Septiembre 2015	201509	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2998	Aragón
Septiembre 2015	201509	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	275	Aragón
Septiembre 2015	201509	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	32	Aragón
Septiembre 2015	201509	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	4867	Aragón
Septiembre 2015	201509	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Septiembre 2015	201509	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	17602	Aragón
Septiembre 2015	201509	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2226	Aragón
Septiembre 2015	201509	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	298	Aragón
Septiembre 2015	201509	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	21	Aragón
Septiembre 2015	201509	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1797	Aragón
Septiembre 2015	201509	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Agosto 2015	201508	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15771	Aragón
Agosto 2015	201508	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2763	Aragón
Agosto 2015	201508	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	262	Aragón
Agosto 2015	201508	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	13	Aragón
Agosto 2015	201508	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	4926	Aragón
Agosto 2015	201508	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	12374	Aragón
Agosto 2015	201508	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1971	Aragón
Agosto 2015	201508	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	242	Aragón
Agosto 2015	201508	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	UNION EUROPEA	1	Aragón
Agosto 2015	201508	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1637	Aragón
Julio 2015	201507	Hombres	Españoles	Españoles	Españoles	ESPAÑA	20775	Aragón
Julio 2015	201507	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3354	Aragón
