CCAA nombre	CCAA código	Año	Votos	Siglas	Candidatura
Aragón	02	2011	1887,0	DeC	DEMOS EL CAMBIO
Aragón	02	2011	1360,0	UCE	UNIFICACIÓN COMUNISTA DE ESPAÑA
Aragón	02	2011	1209,0	PH	PARTIDO HUMANISTA
Aragón	02	2011	1041,0	P-LIB	PARTIDO DE LA LIBERTAD INDIVIDUAL
Aragón	02	2011	446,0	SXT	SOCIALISTAS POR TERUEL
Aragón	02	2008	993633,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2008	790626,0	PP	PARTIDO POPULAR
Aragón	02	2008	132738,0	PAR	PARTIDO ARAGONES
Aragón	02	2008	107282,0	CHA	CHUNTA ARAGONESISTA
Aragón	02	2008	60373,0	IU	IZQUIERDA UNIDA-ALTERNATIVA
Aragón	02	2008	25302,0	UPyD	UNION PROGRESO Y DEMOCRACIA
Aragón	02	2008	10906,0	LV	LOS VERDES-GRUPO VERDE
Aragón	02	2008	3160,0	C's	CIUDADANOS-PARTIDO DE LA CIUDADANIA
Aragón	02	2008	2900,0	PACMA	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
Aragón	02	2008	1797,0	PUM+J	POR UN MUNDO MAS JUSTO
Aragón	02	2008	1615,0	pCUA	PARTIDO CIUDADANOS UNIDOS DE ARAGON
Aragón	02	2008	1213,0	PSD-FIA	PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON
Aragón	02	2008	928,0	TA	TIERRA ARAGONESA
Aragón	02	2008	908,0	FE de las JONS	FALANGE ESPAÑOLA DE LAS JONS
Aragón	02	2008	802,0	PFyV	PARTIDO FAMILIA Y VIDA
Aragón	02	2008	696,0	DN	DEMOCRACIA NACIONAL
Aragón	02	2008	644,0	POSI	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
Aragón	02	2008	576,0	AuN	ALIANZA NACIONAL
Aragón	02	2008	538,0	FRENTE	FRENTE ESPAÑOL
Aragón	02	2008	461,0	AES	ALTERNATIVA ESPAÑOLA
Aragón	02	2008	348,0	FA	FALANGE AUTENTICA
Aragón	02	2008	338,0	PH	PARTIDO HUMANISTA
Aragón	02	2008	307,0	MCE	MOVIMIENTO CATOLICO ESPAÑOL
Aragón	02	2008	204,0	CTC	COMUNION TRADICIONALISTA CARLISTA
Aragón	02	2008	114,0	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
