CCAA nombre	CCAA código	Año	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
Aragón	02	2019	1019762,0	707091,0	312671,0	6080,0	6755,0	694256,0	69,3388261182511
Aragón	02	2016	984309,0	707574,0	276735,0	6104,0	5932,0	695538,0	71,8853530751014
Aragón	02	2015	987147,0	737486,0	249661,0	6121,0	6773,0	724592,0	74,7088326257386
Aragón	02	2011	1018510,0	723071,0	295439,0	11379,0	14535,0	697157,0	70,9930192143425
Aragón	02	2008	1016420,0	771633,0	244787,0	4153,0	9620,0	757860,0	75,9167470140296
