Año	Nº Accidentes	Código	Municipio	Ord_Temporalidad	Temporalidad	Sector Código	Sector Descripción
2019,0	63	22158	Monzón	2	Temporal	2	Industria y energía
2019,0	3	22158	Monzón	3	Sin clasificar	2	Industria y energía
2019,0	22	22158	Monzón	1	Indefinido	3	Construcción
2019,0	23	22158	Monzón	2	Temporal	3	Construcción
2019,0	3	22158	Monzón	3	Sin clasificar	3	Construcción
2019,0	60	22158	Monzón	1	Indefinido	4	Servicios
2019,0	59	22158	Monzón	2	Temporal	4	Servicios
2019,0	8	22158	Monzón	3	Sin clasificar	4	Servicios
2019,0	1	22199	Sabiñánigo	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	10	22199	Sabiñánigo	1	Indefinido	2	Industria y energía
2019,0	6	22199	Sabiñánigo	2	Temporal	2	Industria y energía
2019,0	1	22199	Sabiñánigo	3	Sin clasificar	2	Industria y energía
2019,0	10	22199	Sabiñánigo	1	Indefinido	3	Construcción
2019,0	15	22199	Sabiñánigo	2	Temporal	3	Construcción
2019,0	4	22199	Sabiñánigo	3	Sin clasificar	3	Construcción
2019,0	27	22199	Sabiñánigo	1	Indefinido	4	Servicios
2019,0	15	22199	Sabiñánigo	2	Temporal	4	Servicios
2019,0	8	22199	Sabiñánigo	3	Sin clasificar	4	Servicios
2019,0	5	44013	Alcañiz	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	2	44013	Alcañiz	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	6	44013	Alcañiz	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	31	44013	Alcañiz	1	Indefinido	2	Industria y energía
2019,0	5	44013	Alcañiz	2	Temporal	2	Industria y energía
2019,0	1	44013	Alcañiz	3	Sin clasificar	2	Industria y energía
2019,0	9	44013	Alcañiz	1	Indefinido	3	Construcción
2019,0	13	44013	Alcañiz	2	Temporal	3	Construcción
2019,0	8	44013	Alcañiz	3	Sin clasificar	3	Construcción
2019,0	55	44013	Alcañiz	1	Indefinido	4	Servicios
2019,0	33	44013	Alcañiz	2	Temporal	4	Servicios
2019,0	6	44013	Alcañiz	3	Sin clasificar	4	Servicios
2019,0	6	44025	Andorra	1	Indefinido	2	Industria y energía
2019,0	5	44025	Andorra	2	Temporal	2	Industria y energía
2019,0	1	44025	Andorra	2	Temporal	3	Construcción
2019,0	2	44025	Andorra	3	Sin clasificar	3	Construcción
2019,0	14	44025	Andorra	1	Indefinido	4	Servicios
2019,0	6	44025	Andorra	2	Temporal	4	Servicios
2019,0	2	44025	Andorra	3	Sin clasificar	4	Servicios
2019,0	49	44216	Teruel	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	7	44216	Teruel	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	85	44216	Teruel	1	Indefinido	2	Industria y energía
2019,0	69	44216	Teruel	2	Temporal	2	Industria y energía
2019,0	3	44216	Teruel	3	Sin clasificar	2	Industria y energía
2019,0	24	44216	Teruel	1	Indefinido	3	Construcción
2019,0	24	44216	Teruel	2	Temporal	3	Construcción
2019,0	6	44216	Teruel	3	Sin clasificar	3	Construcción
2019,0	170	44216	Teruel	1	Indefinido	4	Servicios
2019,0	108	44216	Teruel	2	Temporal	4	Servicios
2019,0	12	44216	Teruel	3	Sin clasificar	4	Servicios
2019,0	2	50008	Alagón	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	2	50008	Alagón	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	44	50008	Alagón	1	Indefinido	2	Industria y energía
2019,0	15	50008	Alagón	2	Temporal	2	Industria y energía
2019,0	2	50008	Alagón	1	Indefinido	3	Construcción
2019,0	2	50008	Alagón	2	Temporal	3	Construcción
2019,0	2	50008	Alagón	3	Sin clasificar	3	Construcción
2019,0	16	50008	Alagón	1	Indefinido	4	Servicios
2019,0	20	50008	Alagón	2	Temporal	4	Servicios
2019,0	2	50008	Alagón	3	Sin clasificar	4	Servicios
2019,0	10	50025	Almunia de Doña Godina (La)	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	5	50025	Almunia de Doña Godina (La)	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	1	50025	Almunia de Doña Godina (La)	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	9	50025	Almunia de Doña Godina (La)	1	Indefinido	2	Industria y energía
2019,0	16	50025	Almunia de Doña Godina (La)	2	Temporal	2	Industria y energía
2019,0	1	50025	Almunia de Doña Godina (La)	3	Sin clasificar	2	Industria y energía
2019,0	3	50025	Almunia de Doña Godina (La)	1	Indefinido	3	Construcción
2019,0	5	50025	Almunia de Doña Godina (La)	2	Temporal	3	Construcción
2019,0	1	50025	Almunia de Doña Godina (La)	3	Sin clasificar	3	Construcción
2019,0	39	50025	Almunia de Doña Godina (La)	1	Indefinido	4	Servicios
2019,0	56	50025	Almunia de Doña Godina (La)	2	Temporal	4	Servicios
2019,0	1	50025	Almunia de Doña Godina (La)	3	Sin clasificar	4	Servicios
2019,0	1	50067	Calatayud	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	7	50067	Calatayud	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	1	50067	Calatayud	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	15	50067	Calatayud	1	Indefinido	2	Industria y energía
2019,0	8	50067	Calatayud	2	Temporal	2	Industria y energía
2019,0	7	50067	Calatayud	1	Indefinido	3	Construcción
2019,0	11	50067	Calatayud	2	Temporal	3	Construcción
2019,0	3	50067	Calatayud	3	Sin clasificar	3	Construcción
2019,0	76	50067	Calatayud	1	Indefinido	4	Servicios
2019,0	57	50067	Calatayud	2	Temporal	4	Servicios
2019,0	5	50067	Calatayud	3	Sin clasificar	4	Servicios
2019,0	12	50074	Caspe	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	22	50074	Caspe	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	7	50074	Caspe	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	6	50074	Caspe	1	Indefinido	2	Industria y energía
2019,0	4	50074	Caspe	2	Temporal	2	Industria y energía
2019,0	4	50074	Caspe	1	Indefinido	3	Construcción
2019,0	4	50074	Caspe	2	Temporal	3	Construcción
2019,0	1	50074	Caspe	3	Sin clasificar	3	Construcción
2019,0	16	50074	Caspe	1	Indefinido	4	Servicios
2019,0	19	50074	Caspe	2	Temporal	4	Servicios
2019,0	3	50074	Caspe	3	Sin clasificar	4	Servicios
2019,0	64	50089	Cuarte de Huerva	1	Indefinido	2	Industria y energía
2019,0	19	50089	Cuarte de Huerva	2	Temporal	2	Industria y energía
2019,0	3	50089	Cuarte de Huerva	3	Sin clasificar	2	Industria y energía
2019,0	12	50089	Cuarte de Huerva	1	Indefinido	3	Construcción
2019,0	26	50089	Cuarte de Huerva	2	Temporal	3	Construcción
2019,0	4	50089	Cuarte de Huerva	3	Sin clasificar	3	Construcción
2019,0	53	50089	Cuarte de Huerva	1	Indefinido	4	Servicios
2019,0	46	50089	Cuarte de Huerva	2	Temporal	4	Servicios
2019,0	5	50089	Cuarte de Huerva	3	Sin clasificar	4	Servicios
2019,0	28	50095	Ejea de los Caballeros	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	14	50095	Ejea de los Caballeros	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	6	50095	Ejea de los Caballeros	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	98	50095	Ejea de los Caballeros	1	Indefinido	2	Industria y energía
2019,0	53	50095	Ejea de los Caballeros	2	Temporal	2	Industria y energía
2019,0	24	50095	Ejea de los Caballeros	3	Sin clasificar	2	Industria y energía
2019,0	12	50095	Ejea de los Caballeros	1	Indefinido	3	Construcción
2019,0	16	50095	Ejea de los Caballeros	2	Temporal	3	Construcción
2019,0	2	50095	Ejea de los Caballeros	3	Sin clasificar	3	Construcción
2019,0	33	50095	Ejea de los Caballeros	1	Indefinido	4	Servicios
2019,0	16	50095	Ejea de los Caballeros	2	Temporal	4	Servicios
2019,0	3	50095	Ejea de los Caballeros	3	Sin clasificar	4	Servicios
2019,0	1	50163	María de Huerva	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	16	50163	María de Huerva	1	Indefinido	2	Industria y energía
2019,0	6	50163	María de Huerva	2	Temporal	2	Industria y energía
2019,0	1	50163	María de Huerva	3	Sin clasificar	2	Industria y energía
2019,0	1	50163	María de Huerva	2	Temporal	3	Construcción
2019,0	6	50163	María de Huerva	1	Indefinido	4	Servicios
2019,0	5	50163	María de Huerva	2	Temporal	4	Servicios
2019,0	3	50182	Muela (La)	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	4	50182	Muela (La)	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	80	50182	Muela (La)	1	Indefinido	2	Industria y energía
2019,0	29	50182	Muela (La)	2	Temporal	2	Industria y energía
2019,0	1	50182	Muela (La)	3	Sin clasificar	2	Industria y energía
2019,0	9	50182	Muela (La)	1	Indefinido	3	Construcción
2019,0	9	50182	Muela (La)	2	Temporal	3	Construcción
2019,0	1	50182	Muela (La)	3	Sin clasificar	3	Construcción
2019,0	72	50182	Muela (La)	1	Indefinido	4	Servicios
2019,0	33	50182	Muela (La)	2	Temporal	4	Servicios
2019,0	1	50182	Muela (La)	3	Sin clasificar	4	Servicios
2019,0	1	50219	Puebla de Alfindén (La)	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	66	50219	Puebla de Alfindén (La)	1	Indefinido	2	Industria y energía
2019,0	43	50219	Puebla de Alfindén (La)	2	Temporal	2	Industria y energía
2019,0	3	50219	Puebla de Alfindén (La)	3	Sin clasificar	2	Industria y energía
2019,0	11	50219	Puebla de Alfindén (La)	1	Indefinido	3	Construcción
2019,0	17	50219	Puebla de Alfindén (La)	2	Temporal	3	Construcción
2019,0	4	50219	Puebla de Alfindén (La)	3	Sin clasificar	3	Construcción
2019,0	54	50219	Puebla de Alfindén (La)	1	Indefinido	4	Servicios
2019,0	32	50219	Puebla de Alfindén (La)	2	Temporal	4	Servicios
2019,0	3	50219	Puebla de Alfindén (La)	3	Sin clasificar	4	Servicios
2019,0	4	50251	Tarazona	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	3	50251	Tarazona	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	42	50251	Tarazona	1	Indefinido	2	Industria y energía
