Año	Comarca código	Comarca nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2012	07	Somontano de Barbastro	47	307990
2012	08	Cinca Medio	132	346085
2012	09	La Litera / La Llitera	78	426244
2012	10	Los Monegros	356	447479
2012	11	Bajo Cinca / Baix Cinca	90	325851
2012	12	Tarazona y el Moncayo	120	270020
2012	13	Campo de Borja	242	445882
2012	14	Aranda	14	39479
2012	15	Ribera Alta del Ebro	339	512361
2012	16	Valdejalón	102	245259
2012	17	Central	2054	15967055
2012	18	Ribera Baja del Ebro	50	91057
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	50	124685
2012	20	Comunidad de Calatayud	193	380984
2012	21	Campo de Cariñena	54	141215
2012	22	Campo de Belchite	34	34486
2012	23	Bajo Martín	120	127920
2012	24	Campo de Daroca	44	83452
2012	25	Jiloca	16	38060
2012	26	Cuencas Mineras	65	103408
2012	27	Andorra-Sierra de Arcos	127	146299
2012	28	Bajo Aragón	178	421628
2012	29	Comunidad de Teruel	205	535718
2012	30	Maestrazgo	56	41967
2012	31	Sierra de Albarracín	45	56958
2012	32	Gúdar-Javalambre	101	94342
2012	33	Matarraña / Matarranya	99	187381
2013	01	La Jacetania	207	509094
2013	02	Alto Gállego	321	459084
2013	03	Sobrarbe	79	180460
2013	04	La Ribagorza	407	356616
2013	05	Cinco Villas	99	292180
2013	06	Hoya de Huesca / Plana de Uesca	559	2138044
2013	07	Somontano de Barbastro	47	280890
2013	08	Cinca Medio	132	341204
2013	09	La Litera / La Llitera	78	347395
2013	10	Los Monegros	445	441131
2013	11	Bajo Cinca / Baix Cinca	90	310019
2013	12	Tarazona y el Moncayo	125	276929
2013	13	Campo de Borja	242	395936
2013	14	Aranda	14	41149
2013	15	Ribera Alta del Ebro	339	492040
2013	16	Valdejalón	102	222399
2013	17	Central	2167	14626356
2013	18	Ribera Baja del Ebro	50	82850
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	50	127020
2013	20	Comunidad de Calatayud	201	345266
2013	21	Campo de Cariñena	54	130929
2013	22	Campo de Belchite	34	34522
2013	23	Bajo Martín	122	115200
2013	24	Campo de Daroca	44	69460
2013	25	Jiloca	16	44948
2013	26	Cuencas Mineras	65	91355
2013	27	Andorra-Sierra de Arcos	127	143341
2013	28	Bajo Aragón	205	400834
2013	29	Comunidad de Teruel	205	485061
2013	30	Maestrazgo	56	36999
2013	31	Sierra de Albarracín	45	50638
2013	32	Gúdar-Javalambre	103	84054
2013	33	Matarraña / Matarranya	99	193580
2014	01	La Jacetania	207	500183
2014	02	Alto Gállego	326	435811
2014	03	Sobrarbe	81	164579
2014	04	La Ribagorza	407	367744
2014	05	Cinco Villas	139	320579
2014	06	Hoya de Huesca / Plana de Uesca	587	2059753
2014	07	Somontano de Barbastro	49	290500
2014	08	Cinca Medio	230	354068
2014	09	La Litera / La Llitera	78	345271
2014	10	Los Monegros	451	432960
2014	11	Bajo Cinca / Baix Cinca	119	329091
2014	12	Tarazona y el Moncayo	125	262380
2014	13	Campo de Borja	243	391884
2014	14	Aranda	16	39684
2014	15	Ribera Alta del Ebro	361	491325
