Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Gastos, fondo de contingencia
2004	22057	Bielsa	Presupuestos	Consolidada	1475400,0	129000,0	325400,0	16000,0	42600,0	925500,0	0,0	0,0	36900,0	
2004	22058	Bierge	Presupuestos	Consolidada	830816,21	46190,0	151219,96	3000,0	13000,0	595046,55	0,0	0,0	22359,7	
2004	22059	Biescas	Presupuestos	Consolidada	2373000,0	504767,61	566463,57	65166,0	253965,79	687600,0	55865,75	6000,0	233171,28	
2004	22060	Binaced	Presupuestos	Consolidada	1027460,83	224440,6	370500,0	4650,0	38600,0	371179,79	0,0	0,0	18090,44	
2004	22061	Binéfar	Presupuestos	Consolidada	8503119,85	2095361,2	1920602,25	173285,25	257262,1	3389737,43	2240,02	0,0	664631,6	
2004	22062	Bisaurri	Presupuestos	Consolidada	217684,0	46250,0	102750,0	150,0	25329,0	43205,0	0,0	0,0	0,0	
2004	22063	Biscarrués	Presupuestos	Consolidada	154647,0	15067,81	61196,77	1371,31	20000,99	51000,0	0,0	0,0	6010,12	
2004	22064	Blecua y Torres	Presupuestos	Consolidada	507208,0	44235,0	52954,0	1500,0	13180,0	395339,0	0,0	0,0	0,0	
2004	22066	Boltaña	Presupuestos	Consolidada	2460263,49	307998,14	364842,53	23923,95	76602,18	1356941,47	0,0	0,0	329955,22	
2004	22067	Bonansa	Presupuestos	Sin información										
2004	22068	Borau	Presupuestos	Sin información										
2004	22069	Broto	Presupuestos	Consolidada	1244071,32	87202,02	261826,64	9581,01	36321,21	824608,0	0,0	0,0	24532,44	
2004	22072	Caldearenas	Presupuestos	Consolidada	552509,29	117500,0	82209,29	6000,0	17400,0	320400,0	0,0	0,0	9000,0	
2004	22074	Campo	Presupuestos	Consolidada	1000696,77	122800,0	316367,02	19070,0	50554,3	280215,0	120202,42	0,0	91488,03	
2004	22075	Camporrells	Presupuestos	Consolidada	652608,49	29650,23	112746,94	4655,52	12365,45	459362,76	0,0	0,0	33827,59	
2004	22076	Canal de Berdún	Presupuestos	Consolidada	577840,0	77550,0	279426,0	300,0	20000,0	200264,0	0,0	0,0	300,0	
2004	22077	Candasnos	Presupuestos	Sin información										
2004	22078	Canfranc	Presupuestos	Consolidada	1545745,21	372533,46	226583,55	3200,0	80358,46	826847,52	30000,0	0,0	6222,22	
2004	22079	Capdesaso	Presupuestos	Consolidada	177988,37	17924,09	100145,73	1456,78	3614,15	54847,62	0,0	0,0	0,0	
2004	22080	Capella	Presupuestos	Consolidada	210740,0	43240,0	83600,0	2900,0	18000,0	54800,0	0,0	0,0	8200,0	
2004	22081	Casbas de Huesca	Presupuestos	Consolidada	507625,0	33905,16	81048,0	500,0	35966,0	350005,84	4000,0	0,0	2200,0	
2004	22082	Castejón del Puente	Presupuestos	Consolidada	818639,11	151235,89	145347,74	955,0	18746,63	499228,59	0,0	0,0	3125,26	
2004	22083	Castejón de Monegros	Presupuestos	Consolidada	622820,45	107251,0	198486,0	15963,85	28589,52	231000,0	0,0	0,0	41530,08	
2004	22084	Castejón de Sos	Presupuestos	Consolidada	2017494,0	604538,0	450905,0	4300,0	74337,0	864144,0	0,0	0,0	19270,0	
2004	22085	Castelflorite	Presupuestos	Consolidada	121730,0	16300,0	43790,0	1950,0	14300,0	40600,0	0,0	0,0	4790,0	
2004	22086	Castiello de Jaca	Presupuestos	Consolidada	472777,38	68394,93	102875,14	631,42	19416,78	281459,11	0,0	0,0	0,0	
2004	22087	Castigaleu	Presupuestos	Consolidada	88700,0	10239,0	38301,0	0,0	4000,0	36160,0	0,0	0,0	0,0	
2004	22088	Castillazuelo	Presupuestos	Consolidada	273414,79	48182,2	57014,4	30,05	13044,62	151537,45	0,0	0,0	3606,07	
2004	22089	Castillonroy	Presupuestos	Consolidada	374610,0	51000,0	153600,0	1200,0	12200,0	150010,0	0,0	0,0	6600,0	
2004	22090	Colungo	Presupuestos	Consolidada	219265,72	2100,0	31716,34	1000,0	24938,13	159511,25	0,0	0,0	0,0	
2004	22094	Chalamera	Presupuestos	Sin información										
2004	22095	Chía	Presupuestos	Consolidada	133340,0	11370,0	67804,0	1500,0	7444,0	13200,0	28122,0	0,0	3900,0	
2004	22096	Chimillas	Presupuestos	Consolidada	177000,0	34000,0	55000,0	0,0	3500,0	84500,0	0,0	0,0	0,0	
2004	22099	Esplús	Presupuestos	Consolidada	559291,46	162511,57	206322,24	1844,0	29862,0	140251,65	0,0	0,0	18500,0	
2004	22102	Estada	Presupuestos	Consolidada	210000,0	25858,17	58561,15	0,0	9000,0	116580,68	0,0	0,0	0,0	
2004	22103	Estadilla	Presupuestos	Consolidada	1500900,0	224840,89	1122421,85	3500,0	7600,0	89892,56	0,0	0,0	52644,7	
2004	22105	Estopiñán del Castillo	Presupuestos	Consolidada	555684,82	56200,0	153142,06	7700,0	6500,0	315892,76	0,0	2500,0	13750,0	
2004	22106	Fago	Presupuestos	Consolidada	686307,6	10129,6	39075,0	500,0	2900,0	596303,0	0,0	37000,0	400,0	
2004	22107	Fanlo	Presupuestos	Consolidada	479152,0	14910,0	47500,0	0,0	2100,0	414642,0	0,0	0,0	0,0	
2004	22109	Fiscal	Presupuestos	Consolidada	734680,34	95409,33	117792,0	12851,0	24501,0	479627,01	0,0	0,0	4500,0	
2004	22110	Fonz	Presupuestos	Consolidada	1061175,0	201950,0	304286,0	11100,0	0,0	503600,0	4000,0	0,0	36239,0	
2004	22111	Foradada del Toscar	Presupuestos	Consolidada	122668,37	25193,89	47474,48	0,0	0,0	50000,0	0,0	0,0	0,0	
2004	22112	Fraga	Presupuestos	Consolidada	14732800,0	3890700,0	2786671,0	259370,0	880929,0	6101800,0	0,0	0,0	813330,0	
2004	22113	Fueva (La)	Presupuestos	Consolidada	2402722,53	32300,0	383269,97	14400,0	58150,0	1414300,0	4400,0	0,0	495902,56	
2004	22114	Gistaín	Presupuestos	Consolidada	248377,77	17367,17	64737,05	639,49	21225,92	144408,14	0,0	0,0	0,0	
2004	22115	Grado (El)	Presupuestos	Consolidada	697730,0	155800,0	205680,0	12250,0	32950,0	240200,0	2400,0	0,0	48450,0	
