Año	Municipio código	Municipio nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	22188	Puente de Montañana	487,98	2928,0
2001	22189	Puértolas	376,24	3010,0
2001	22190	Pueyo de Araguás (El)	653,29	3920,0
2001	22193	Pueyo de Santa Cruz	1577,72	9466,0
2001	22195	Quicena	673,42	2828,0
2001	22197	Robres	4985,27	23431,0
2001	22199	Sabiñánigo	4359,75	32698,0
2001	22200	Sahún	508,73	1781,0
2001	22201	Salas Altas	592,14	3849,0
2001	22202	Salas Bajas	402,26	2615,0
2001	22203	Salillas	1831,67	10074,0
2001	22204	Sallent de Gállego	701,08	2103,0
2001	22205	San Esteban de Litera	7071,35	49499,0
2001	22206	Sangarrén	4178,38	33427,0
2001	22207	San Juan de Plan	176,3	1146,0
2001	22208	Santa Cilia	915,59	5036,0
2001	22209	Santa Cruz de la Serós	319,31	1756,0
2001	22212	Santaliestra y San Quílez	170,68	1024,0
2001	22213	Sariñena	29398,3	191089,0
2001	22214	Secastilla	284,32	853,0
2001	22215	Seira	178,76	1073,0
2001	22217	Sena	11646,26	81524,0
2001	22218	Senés de Alcubierre	954,1	5152,0
2001	22220	Sesa	1602,77	8815,0
2001	22221	Sesué	167,77	1007,0
2001	22222	Siétamo	2159,19	14035,0
2001	22223	Sopeira	314,44	1887,0
2001	22225	Tamarite de Litera	19259,63	121336,0
2001	22226	Tardienta	4428,07	28782,0
2001	22227	Tella-Sin	325,3	976,0
2001	22228	Tierz	795,17	3578,0
2001	22229	Tolva	903,04	5870,0
2001	22230	Torla-Ordesa	612,05	3978,0
2001	22232	Torralba de Aragón	1955,64	8996,0
2001	22233	Torre la Ribera	237,85	951,0
2001	22234	Torrente de Cinca	7377,52	47954,0
2001	22235	Torres de Alcanadre	2071,29	13463,0
2001	22236	Torres de Barbués	1886,26	11318,0
2001	22239	Tramaced	2079,19	13515,0
2001	22242	Valfarta	2053,62	11500,0
2001	22243	Valle de Bardají	112,93	598,0
2001	22244	Valle de Lierp	215,61	1143,0
2001	22245	Velilla de Cinca	4039,15	32313,0
2001	22246	Beranuy	310,88	1554,0
2001	22247	Viacamp y Litera	610,83	3665,0
2001	22248	Vicién	1018,35	4073,0
2001	22249	Villanova	160,41	642,0
2001	22250	Villanúa	486,16	3160,0
2001	22251	Villanueva de Sigena	10518,45	63111,0
2001	22252	Yebra de Basa	546,43	4645,0
2001	22253	Yésero	127,25	382,0
2001	22254	Zaidín	18832,44	94162,0
2001	22901	Valle de Hecho	886,31	5318,0
2001	22902	Puente la Reina de Jaca	1525,17	6863,0
2001	22903	San Miguel del Cinca	16972,87	62800,0
2001	22904	Sotonera (La)	9808,36	73563,0
2001	22905	Lupiñén-Ortilla	8617,04	43947,0
2001	22906	Santa María de Dulcis	658,67	3952,0
2001	22907	Aínsa-Sobrarbe	3991,0	23946,0
2001	22908	Hoz y Costeán	1180,54	7673,0
2001	22909	Vencillón	1805,18	11734,0
2001	44001	Ababuj	856,52	6852,0
2001	44002	Abejuela	216,19	1405,0
2001	44003	Aguatón	194,58	1557,0
2001	44004	Aguaviva	1182,87	5914,0
2001	44005	Aguilar del Alfambra	1329,3	10634,0
2001	44006	Alacón	1222,0	3666,0
2001	44007	Alba	2238,08	8952,0
2001	44008	Albalate del Arzobispo	5276,73	23745,0
2001	44009	Albarracín	2882,82	15856,0
2001	44010	Albentosa	657,31	3944,0
2001	44011	Alcaine	425,08	1700,0
2001	44012	Alcalá de la Selva	705,46	6067,0
2001	44013	Alcañiz	17053,25	68213,0
2001	44014	Alcorisa	2734,09	17772,0
2001	44016	Alfambra	2417,16	15712,0
2001	44017	Aliaga	1300,45	7933,0
2001	44018	Almohaja	112,82	338,0
2001	44019	Alobras	62,52	188,0
2001	44020	Alpeñés	452,01	2034,0
2001	44021	Allepuz	1204,14	6021,0
2001	44022	Alloza	754,58	3320,0
2001	44023	Allueva	199,1	1593,0
2001	44024	Anadón	166,71	1000,0
2001	44025	Andorra	3404,68	32685,0
2001	44026	Arcos de las Salinas	315,73	1894,0
2001	44027	Arens de Lledó	481,58	3853,0
2001	44028	Argente	1693,92	11010,0
2001	44029	Ariño	595,45	3573,0
2001	44031	Azaila	1632,79	10613,0
2001	44032	Bádenas	388,99	2139,0
2001	44033	Báguena	1073,59	6978,0
2001	44034	Bañón	1017,59	4070,0
2001	44035	Barrachina	484,7	1454,0
2001	44036	Bea	206,27	1650,0
2001	44037	Beceite	274,0	1233,0
2001	44038	Belmonte de San José	94,63	615,0
2001	44039	Bello	1692,28	13538,0
2001	44040	Berge	533,3	3466,0
2001	44041	Bezas	32,86	99,0
2001	44042	Blancas	1019,53	3059,0
2001	44043	Blesa	1231,44	4310,0
2001	44044	Bordón	210,16	1807,0
2001	44045	Bronchales	370,32	2407,0
2001	44046	Bueña	467,72	3040,0
2001	44047	Burbáguena	930,15	4651,0
2001	44048	Cabra de Mora	550,91	3305,0
2001	44049	Calaceite	1470,54	8382,0
2001	44050	Calamocha	7876,2	51195,0
2001	44051	Calanda	3370,51	22245,0
2001	44052	Calomarde	118,49	355,0
2001	44053	Camañas	682,26	4435,0
2001	44054	Camarena de la Sierra	234,02	1170,0
2001	44055	Camarillas	855,83	6847,0
2001	44056	Caminreal	1644,66	10690,0
2001	44059	Cantavieja	1116,06	7254,0
2001	44060	Cañada de Benatanduz	412,68	1238,0
2001	44061	Cañada de Verich (La)	67,13	403,0
2001	44062	Cañada Vellida	413,29	2810,0
2001	44063	Cañizar del Olivar	180,47	1263,0
2001	44064	Cascante del Río	673,33	4040,0
2001	44065	Castejón de Tornos	627,44	3137,0
2001	44066	Castel de Cabra	462,87	2314,0
2001	44067	Castelnou	1642,87	10679,0
2001	44068	Castelserás	1016,25	4065,0
2001	44070	Castellar (El)	189,35	1136,0
2001	44071	Castellote	2182,82	16371,0
2001	44074	Cedrillas	987,84	4445,0
2001	44075	Celadas	1998,91	15991,0
2001	44076	Cella	6203,27	31016,0
2001	44077	Cerollera (La)	94,38	283,0
2001	44080	Codoñera (La)	144,71	941,0
2001	44082	Corbalán	577,73	2600,0
2001	44084	Cortes de Aragón	359,54	2337,0
2001	44085	Cosa	1157,0	3471,0
2001	44086	Cretas	1161,11	7547,0
2001	44087	Crivillén	482,58	3137,0
2001	44088	Cuba (La)	45,8	298,0
2001	44089	Cubla	573,95	1722,0
2001	44090	Cucalón	681,28	3747,0
2001	44092	Cuervo (El)	133,33	400,0
2001	44093	Cuevas de Almudén	500,4	2502,0
2001	44094	Cuevas Labradas	356,08	2136,0
2001	44096	Ejulve	626,61	5013,0
2001	44097	Escorihuela	398,47	2391,0
2001	44099	Escucha	306,23	1837,0
2001	44100	Estercuel	273,18	2185,0
2001	44101	Ferreruela de Huerva	868,73	6950,0
2001	44102	Fonfría	199,36	1595,0
2001	44103	Formiche Alto	563,27	3380,0
2001	44105	Fórnoles	147,29	884,0
2001	44106	Fortanete	1515,02	12120,0
2001	44107	Foz-Calanda	636,31	2863,0
2001	44108	Fresneda (La)	409,93	1230,0
2001	44109	Frías de Albarracín	273,21	820,0
2001	44110	Fuenferrada	647,87	2591,0
2001	44111	Fuentes Calientes	513,67	2568,0
2001	44112	Fuentes Claras	1472,47	9571,0
2001	44113	Fuentes de Rubielos	149,38	896,0
2001	44114	Fuentespalda	420,59	1262,0
2001	44115	Galve	705,49	4515,0
2001	44116	Gargallo	396,52	3172,0
2001	44117	Gea de Albarracín	1015,88	6603,0
2001	44118	Ginebrosa (La)	1308,81	7853,0
2001	44119	Griegos	168,16	504,0
2001	44120	Guadalaviar	53,29	160,0
2001	44121	Gúdar	897,73	5835,0
2001	44122	Híjar	7185,63	56048,0
2001	44123	Hinojosa de Jarque	697,52	3488,0
2001	44124	Hoz de la Vieja (La)	515,73	3352,0
2001	44125	Huesa del Común	1237,87	8046,0
2001	44126	Iglesuela del Cid (La)	196,25	589,0
2001	44127	Jabaloyas	65,62	197,0
2001	44128	Jarque de la Val	559,59	2798,0
2001	44129	Jatiel	339,84	2413,0
2001	44130	Jorcas	743,33	5947,0
2001	44131	Josa	414,55	2695,0
2001	44132	Lagueruela	528,65	4229,0
2001	44133	Lanzuela	317,94	2544,0
2001	44135	Libros	405,22	1216,0
