Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2006	01	La Jacetania	21022,0	11499,0	941,0	392,0	3683,0	31,0	33,0	72,0	31,0	128,0	2,0	18877,0	2051,0	14,0	39899,0
2006	02	Alto Gállego	13209,0	6280,0	465,0	239,0	2054,0	20,0	32,0	48,0	14,0	71,0	6,0	11210,0	1967,0	14,0	24419,0
2006	03	Sobrarbe	5110,0	534,0	130,0	93,0	2015,0	20,0	25,0	22,0	35,0	120,0	1,0	4086,0	1086,0	5,0	9196,0
2006	04	La Ribagorza	10688,0	1977,0	236,0	85,0	3557,0	34,0	33,0	19,0	37,0	234,0	3,0	8586,0	2359,0	12,0	19274,0
2006	05	Cinco Villas	18501,0	2966,0	514,0	32,0	4133,0	65,0	47,0	81,0	38,0	101,0	21,0	10656,0	2644,0	14,0	29157,0
2006	06	Hoya de Huesca / Plana de Uesca	33753,0	14553,0	2515,0	89,0	7515,0	76,0	253,0	426,0	58,0	187,0	8,0	29208,0	3483,0	45,0	62961,0
2006	07	Somontano de Barbastro	12925,0	3188,0	696,0	111,0	2465,0	36,0	60,0	85,0	42,0	96,0	6,0	8807,0	2001,0	21,0	21732,0
2006	08	Cinca Medio	11255,0	2536,0	534,0	14,0	2554,0	28,0	23,0	65,0	13,0	25,0	5,0	7319,0	1506,0	16,0	18574,0
2006	09	La Litera / La Llitera	10435,0	1255,0	278,0	14,0	4922,0	20,0	55,0	44,0	8,0	51,0	0,0	8121,0	1462,0	12,0	18556,0
2006	10	Los Monegros	11560,0	388,0	134,0	29,0	5546,0	47,0	60,0	26,0	34,0	91,0	12,0	8416,0	2029,0	20,0	19976,0
2006	11	Bajo Cinca / Baix Cinca	11496,0	1498,0	329,0	122,0	3061,0	32,0	40,0	89,0	15,0	31,0	5,0	6453,0	1210,0	21,0	17949,0
2006	12	Tarazona y el Moncayo	10416,0	867,0	166,0	18,0	3215,0	24,0	19,0	22,0	5,0	37,0	4,0	5492,0	1106,0	9,0	15908,0
2006	13	Campo de Borja	9058,0	312,0	121,0	22,0	2439,0	20,0	29,0	25,0	10,0	37,0	7,0	4353,0	1321,0	10,0	13411,0
2006	14	Aranda	5838,0	443,0	130,0	6,0	2597,0	14,0	13,0	24,0	11,0	30,0	1,0	4193,0	919,0	5,0	10031,0
2006	15	Ribera Alta del Ebro	11869,0	869,0	216,0	24,0	2485,0	30,0	33,0	30,0	16,0	33,0	5,0	6148,0	2386,0	21,0	18017,0
2006	16	Valdejalón	13442,0	464,0	192,0	31,0	4589,0	27,0	45,0	59,0	15,0	33,0	7,0	7904,0	2429,0	13,0	21346,0
2006	17	D.C. Zaragoza	317705,0	104641,0	19705,0	504,0	22805,0	495,0	363,0	4328,0	118,0	211,0	42,0	163408,0	9850,0	346,0	481113,0
2006	18	Ribera Baja del Ebro	5740,0	41,0	39,0	21,0	1374,0	11,0	25,0	10,0	10,0	30,0	1,0	2215,0	648,0	5,0	7955,0
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7678,0	644,0	181,0	17,0	2307,0	20,0	23,0	15,0	9,0	23,0	5,0	4234,0	978,0	12,0	11912,0
2006	20	Comunidad de Calatayud	31613,0	4355,0	791,0	41,0	7449,0	75,0	54,0	91,0	54,0	204,0	11,0	17493,0	4338,0	30,0	49106,0
2006	21	Campo de Cariñena	7031,0	235,0	56,0	15,0	1987,0	22,0	14,0	18,0	10,0	32,0	10,0	3536,0	1135,0	2,0	10567,0
2006	22	Campo de Belchite	5619,0	3,0	19,0	4,0	961,0	11,0	7,0	6,0	25,0	28,0	3,0	1572,0	501,0	4,0	7191,0
2006	23	Bajo Martín	5723,0	371,0	47,0	11,0	654,0	12,0	10,0	9,0	10,0	25,0	2,0	2345,0	1190,0	4,0	8068,0
2006	24	Campo de Daroca	8338,0	148,0	47,0	54,0	1665,0	37,0	18,0	10,0	25,0	72,0	0,0	3296,0	1214,0	6,0	11634,0
2006	25	Jiloca	12926,0	715,0	93,0	26,0	3036,0	31,0	15,0	22,0	31,0	90,0	3,0	6992,0	2921,0	9,0	19918,0
2006	26	Cuencas Mineras	7921,0	767,0	101,0	19,0	2932,0	19,0	22,0	18,0	32,0	56,0	1,0	5636,0	1663,0	6,0	13557,0
2006	27	Andorra-Sierra de Arcos	7147,0	1169,0	109,0	15,0	1301,0	18,0	9,0	31,0	8,0	29,0	3,0	3638,0	941,0	5,0	10785,0
2006	28	Bajo Aragón	16486,0	4371,0	454,0	29,0	2553,0	38,0	34,0	73,0	24,0	59,0	9,0	10318,0	2659,0	15,0	26804,0
2006	29	Comunidad de Teruel	24427,0	7143,0	658,0	40,0	4497,0	77,0	34,0	191,0	75,0	120,0	6,0	17972,0	5105,0	26,0	42399,0
2006	30	Maestrazgo	3565,0	111,0	27,0	14,0	2023,0	12,0	5,0	2,0	26,0	63,0	3,0	2898,0	609,0	3,0	6463,0
2006	31	Sierra de Albarracín	6388,0	262,0	27,0	25,0	539,0	16,0	12,0	7,0	20,0	49,0	3,0	3138,0	2170,0	8,0	9526,0
2006	32	Gúdar-Javalambre	10833,0	712,0	51,0	44,0	2287,0	31,0	29,0	13,0	32,0	71,0	1,0	7022,0	3739,0	12,0	17855,0
2006	33	Matarraña / Matarranya	7240,0	313,0	31,0	21,0	1191,0	31,0	26,0	8,0	16,0	42,0	6,0	2922,0	1228,0	9,0	10162,0
2007	01	La Jacetania	21828,0	11656,0	946,0	402,0	3645,0	31,0	34,0	74,0	31,0	120,0	2,0	19063,0	2106,0	16,0	40891,0
2007	02	Alto Gállego	14016,0	6592,0	464,0	241,0	2046,0	20,0	32,0	48,0	14,0	71,0	6,0	11502,0	1954,0	14,0	25518,0
2007	03	Sobrarbe	5181,0	537,0	136,0	95,0	2008,0	20,0	25,0	22,0	34,0	123,0	1,0	4105,0	1098,0	6,0	9286,0
2007	04	La Ribagorza	10997,0	2015,0	238,0	109,0	3557,0	34,0	33,0	19,0	37,0	235,0	3,0	8707,0	2415,0	12,0	19704,0
2007	05	Cinco Villas	18800,0	3137,0	514,0	36,0	4088,0	65,0	56,0	79,0	40,0	99,0	21,0	10838,0	2689,0	14,0	29638,0
2007	06	Hoya de Huesca / Plana de Uesca	34935,0	14988,0	2568,0	93,0	7197,0	76,0	253,0	429,0	58,0	186,0	9,0	29322,0	3421,0	44,0	64257,0
2007	07	Somontano de Barbastro	13101,0	3198,0	704,0	117,0	2432,0	34,0	61,0	85,0	44,0	94,0	5,0	8824,0	2029,0	21,0	21925,0
2007	08	Cinca Medio	11358,0	2548,0	537,0	15,0	2494,0	31,0	25,0	67,0	16,0	24,0	5,0	7311,0	1531,0	18,0	18669,0
2007	09	La Litera / La Llitera	9920,0	1339,0	296,0	18,0	4128,0	20,0	56,0	54,0	12,0	42,0	0,0	7614,0	1638,0	11,0	17534,0
2007	10	Los Monegros	11565,0	392,0	133,0	31,0	5521,0	48,0	59,0	27,0	35,0	90,0	11,0	8414,0	2042,0	25,0	19979,0
2007	11	Bajo Cinca / Baix Cinca	11596,0	1519,0	336,0	123,0	3087,0	32,0	40,0	90,0	15,0	31,0	5,0	6527,0	1228,0	21,0	18123,0
2007	12	Tarazona y el Moncayo	10432,0	868,0	170,0	19,0	3179,0	25,0	22,0	23,0	4,0	41,0	4,0	5517,0	1151,0	11,0	15949,0
2007	13	Campo de Borja	9125,0	357,0	121,0	24,0	2446,0	20,0	29,0	25,0	10,0	37,0	7,0	4371,0	1285,0	10,0	13496,0
2007	14	Aranda	5888,0	444,0	130,0	6,0	2601,0	14,0	13,0	24,0	11,0	30,0	1,0	4200,0	921,0	5,0	10088,0
2007	15	Ribera Alta del Ebro	12002,0	883,0	218,0	23,0	2504,0	30,0	33,0	64,0	17,0	31,0	5,0	6477,0	2648,0	21,0	18479,0
2007	16	Valdejalón	13536,0	497,0	196,0	35,0	4614,0	27,0	47,0	59,0	15,0	33,0	6,0	8007,0	2465,0	13,0	21543,0
2007	17	D.C. Zaragoza	322614,0	107887,0	19924,0	499,0	22807,0	486,0	378,0	4605,0	117,0	212,0	42,0	168634,0	11334,0	343,0	491248,0
2007	18	Ribera Baja del Ebro	5685,0	103,0	42,0	21,0	1343,0	11,0	27,0	13,0	11,0	30,0	1,0	2339,0	732,0	5,0	8024,0
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7791,0	676,0	185,0	17,0	2324,0	20,0	23,0	15,0	9,0	23,0	5,0	4355,0	1046,0	12,0	12146,0
2007	20	Comunidad de Calatayud	31998,0	4461,0	789,0	44,0	7049,0	75,0	66,0	91,0	53,0	201,0	11,0	17456,0	4588,0	28,0	49454,0
2007	21	Campo de Cariñena	7151,0	237,0	57,0	14,0	1909,0	22,0	16,0	17,0	11,0	32,0	9,0	3516,0	1190,0	2,0	10667,0
2007	22	Campo de Belchite	5640,0	4,0	19,0	5,0	957,0	11,0	7,0	6,0	25,0	28,0	3,0	1569,0	500,0	4,0	7209,0
2007	23	Bajo Martín	5723,0	388,0	47,0	11,0	656,0	12,0	10,0	9,0	10,0	26,0	2,0	2374,0	1193,0	10,0	8097,0
2007	24	Campo de Daroca	8425,0	150,0	47,0	54,0	1582,0	35,0	21,0	10,0	26,0	70,0	0,0	3313,0	1311,0	7,0	11738,0
2007	25	Jiloca	12945,0	715,0	93,0	26,0	3036,0	31,0	15,0	22,0	31,0	90,0	3,0	6999,0	2928,0	9,0	19944,0
2007	26	Cuencas Mineras	7805,0	787,0	106,0	20,0	3062,0	21,0	25,0	18,0	33,0	55,0	1,0	5840,0	1705,0	7,0	13645,0
2007	27	Andorra-Sierra de Arcos	7165,0	1168,0	109,0	16,0	1296,0	18,0	11,0	31,0	7,0	29,0	3,0	3643,0	949,0	6,0	10808,0
2007	28	Bajo Aragón	16652,0	4330,0	454,0	29,0	2568,0	38,0	34,0	73,0	24,0	59,0	9,0	10279,0	2646,0	15,0	26931,0
2007	29	Comunidad de Teruel	24658,0	7443,0	678,0	41,0	4512,0	77,0	35,0	191,0	75,0	120,0	6,0	18309,0	5104,0	27,0	42967,0
2007	30	Maestrazgo	3569,0	111,0	27,0	14,0	2029,0	12,0	5,0	2,0	26,0	63,0	3,0	2906,0	611,0	3,0	6475,0
2007	31	Sierra de Albarracín	6389,0	264,0	27,0	26,0	541,0	17,0	12,0	7,0	20,0	50,0	3,0	3151,0	2176,0	8,0	9540,0
2007	32	Gúdar-Javalambre	10864,0	718,0	53,0	44,0	2295,0	31,0	29,0	13,0	33,0	71,0	1,0	7069,0	3769,0	12,0	17933,0
