Año	Municipio código	Municipio nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	22162	Novales	73,0											75,0			148,0
2003	22163	Nueno	314,0											272,0			586,0
2003	22164	Olvena	51,0											156,0			207,0
2003	22165	Ontiñena	336,0											236,0			572,0
2003	22167	Osso de Cinca	255,0											170,0			425,0
2003	22168	Palo	30,0											33,0			63,0
2003	22170	Panticosa	1047,0											1155,0			2202,0
2003	22172	Peñalba	255,0											296,0			551,0
2003	22173	Peñas de Riglos (Las)	449,0											421,0			870,0
2003	22174	Peralta de Alcofea	362,0											369,0			731,0
2003	22175	Peralta de Calasanz	324,0											734,0			1058,0
2003	22176	Peraltilla	83,0											88,0			171,0
2003	22177	Perarrúa	118,0											283,0			401,0
2003	22178	Pertusa	93,0											183,0			276,0
2003	22181	Piracés	44,0											53,0			97,0
2003	22182	Plan	196,0											192,0			388,0
2003	22184	Poleñino	108,0											98,0			206,0
2003	22186	Pozán de Vero	147,0											89,0			236,0
2003	22187	Puebla de Castro (La)	323,0											425,0			748,0
2003	22188	Puente de Montañana	136,0											172,0			308,0
2003	22189	Puértolas	130,0											115,0			245,0
2003	22190	Pueyo de Araguás (El)	57,0											58,0			115,0
2003	22193	Pueyo de Santa Cruz	148,0											103,0			251,0
2003	22195	Quicena	73,0											76,0			149,0
2003	22197	Robres	271,0											484,0			755,0
2003	22199	Sabiñánigo	4686,0											4219,0			8905,0
2003	22200	Sahún	312,0											404,0			716,0
2003	22201	Salas Altas	171,0											131,0			302,0
2003	22202	Salas Bajas	94,0											64,0			158,0
2003	22203	Salillas	74,0											160,0			234,0
2003	22204	Sallent de Gállego	2672,0											1611,0			4283,0
2003	22205	San Esteban de Litera	583,0											333,0			916,0
2003	22206	Sangarrén	140,0											175,0			315,0
2003	22207	San Juan de Plan	50,0											70,0			120,0
2003	22208	Santa Cilia	107,0											120,0			227,0
2003	22209	Santa Cruz de la Serós	105,0											107,0			212,0
2003	22212	Santaliestra y San Quílez	49,0											65,0			114,0
2003	22213	Sariñena	1920,0											2507,0			4427,0
2003	22214	Secastilla	87,0											201,0			288,0
2003	22215	Seira	96,0											130,0			226,0
2003	22217	Sena	568,0											94,0			662,0
2003	22218	Senés de Alcubierre	31,0											74,0			105,0
2003	22220	Sesa	136,0											110,0			246,0
2003	22221	Sesué	133,0											80,0			213,0
2003	22222	Siétamo	301,0											553,0			854,0
2003	22223	Sopeira	112,0											123,0			235,0
2003	22225	Tamarite de Litera	2427,0											883,0			3310,0
2003	22226	Tardienta	744,0											227,0			971,0
2003	22227	Tella-Sin	172,0											150,0			322,0
2003	22228	Tierz	71,0											65,0			136,0
2003	22229	Tolva	143,0											145,0			288,0
2003	22230	Torla-Ordesa	307,0											202,0			509,0
2003	22232	Torralba de Aragón	74,0											165,0			239,0
2003	22233	Torre la Ribera	48,0											65,0			113,0
2003	22234	Torrente de Cinca	401,0											319,0			720,0
2003	22235	Torres de Alcanadre	78,0											77,0			155,0
2003	22236	Torres de Barbués	151,0											122,0			273,0
2003	22239	Tramaced	39,0											71,0			110,0
2003	22242	Valfarta	51,0											53,0			104,0
2003	22243	Valle de Bardají	11,0											32,0			43,0
2003	22244	Valle de Lierp	37,0											28,0			65,0
2003	22245	Velilla de Cinca	239,0											213,0			452,0
2003	22246	Beranuy	78,0											105,0			183,0
2003	22247	Viacamp y Litera	20,0											64,0			84,0
2003	22248	Vicién	67,0											104,0			171,0
2003	22249	Villanova	146,0											73,0			219,0
2003	22250	Villanúa	1204,0											515,0			1719,0
2003	22251	Villanueva de Sigena	354,0											72,0			426,0
2003	22252	Yebra de Basa	88,0											76,0			164,0
2003	22253	Yésero	64,0											147,0			211,0
2003	22254	Zaidín	715,0											587,0			1302,0
2003	22901	Valle de Hecho	681,0											553,0			1234,0
2003	22902	Puente la Reina de Jaca	216,0											182,0			398,0
2003	22903	San Miguel del Cinca	405,0											275,0			680,0
2003	22904	Sotonera (La)	710,0											750,0			1460,0
2003	22905	Lupiñén-Ortilla	228,0											531,0			759,0
2003	22906	Santa María de Dulcis	115,0											71,0			186,0
2003	22907	Aínsa-Sobrarbe	919,0											893,0			1812,0
2003	22908	Hoz y Costeán	169,0											169,0			338,0
2003	22909	Vencillón	129,0											73,0			202,0
2003	44001	Ababuj	76,0											80,0			156,0
2003	44002	Abejuela	145,0											126,0			271,0
2003	44003	Aguatón	26,0											38,0			64,0
2003	44004	Aguaviva	575,0											363,0			938,0
2003	44005	Aguilar del Alfambra	80,0											80,0			160,0
2003	44006	Alacón	474,0											112,0			586,0
2003	44007	Alba	214,0											195,0			409,0
2003	44008	Albalate del Arzobispo	1506,0											1064,0			2570,0
2003	44009	Albarracín	656,0											585,0			1241,0
2003	44010	Albentosa	458,0											154,0			612,0
2003	44011	Alcaine	199,0											107,0			306,0
2003	44012	Alcalá de la Selva	1174,0											675,0			1849,0
2003	44013	Alcañiz	6600,0											4350,0			10950,0
2003	44014	Alcorisa	1842,0											1300,0			3142,0
2003	44016	Alfambra	403,0											227,0			630,0
2003	44017	Aliaga	491,0											330,0			821,0
2003	44018	Almohaja	76,0											16,0			92,0
2003	44019	Alobras	105,0											111,0			216,0
2003	44020	Alpeñés	32,0											49,0			81,0
2003	44021	Allepuz	221,0											33,0			254,0
2003	44022	Alloza	929,0											218,0			1147,0
2003	44023	Allueva	42,0											49,0			91,0
2003	44024	Anadón	59,0											71,0			130,0
2003	44025	Andorra	3377,0											2135,0			5512,0
2003	44026	Arcos de las Salinas	328,0											127,0			455,0
2003	44027	Arens de Lledó	216,0											48,0			264,0
2003	44028	Argente	180,0											146,0			326,0
2003	44029	Ariño	647,0											370,0			1017,0
2003	44031	Azaila	207,0											84,0			291,0
2003	44032	Bádenas	40,0											63,0			103,0
2003	44033	Báguena	668,0											183,0			851,0
2003	44034	Bañón	233,0											22,0			255,0
2003	44035	Barrachina	167,0											112,0			279,0
2003	44036	Bea	40,0											28,0			68,0
2003	44037	Beceite	624,0											101,0			725,0
2003	44038	Belmonte de San José	260,0											48,0			308,0
2003	44039	Bello	516,0											102,0			618,0
2003	44040	Berge	201,0											99,0			300,0
