Año	Provincia código	Provincia nombre	Tipo licencias código	Tipo licencias descripción	Licencias
2013	44	Teruel	MPC-N	Transporte mercancías propias nacional	701
2013	44	Teruel	VPC-N	Transporte privado de viajeros nacional	2
2013	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	39
2013	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	82
2013	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	367
2013	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	394
2013	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	1
2013	44	Teruel	VD	Transporte público viajeros en autobús	0
2013	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2013	44	Teruel	XD	Servicio público mixto-Mercancías y viajeros	0
2013	50	Zaragoza	OT	Operaciones de transporte	193
2013	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	584
2013	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	263
2013	50	Zaragoza	VT-N	Licencias taxi	1931
2013	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1514
2013	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	6629
2013	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1903
2013	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	23
2013	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	140
2013	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	912
2013	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1290
2013	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1061
2013	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	17
2013	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2013	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2013	50	Zaragoza	XD	Servicio público mixto-Mercancías y viajeros	0
2012	22	Huesca	OT	Operaciones de transporte	38
2012	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	293
2012	22	Huesca	VS-N	Ambulancias nacionales servicio público	30
2012	22	Huesca	VT-N	Licencias taxi	247
2012	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	238
2012	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2471
2012	22	Huesca	MPC-N	Transporte mercancías propias nacional	909
2012	22	Huesca	VPC-N	Transporte privado de viajeros nacional	9
2012	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	2
2012	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	136
2012	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	618
2012	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	519
2012	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	11
2012	22	Huesca	VD	Transporte público viajeros en autobús	9
2012	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2012	22	Huesca	XD	Servicio público mixto-Mercancías y viajeros	0
2012	44	Teruel	OT	Operaciones de transporte	20
2012	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	93
2012	44	Teruel	VS-N	Ambulancias nacionales servicio público	17
2012	44	Teruel	VT-N	Licencias taxi	83
2012	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	151
2012	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	1531
2012	44	Teruel	MPC-N	Transporte mercancías propias nacional	706
2012	44	Teruel	VPC-N	Transporte privado de viajeros nacional	3
2012	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	41
2012	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	82
2012	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	380
2012	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	395
2012	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	1
2012	44	Teruel	VD	Transporte público viajeros en autobús	0
2012	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2012	44	Teruel	XD	Servicio público mixto-Mercancías y viajeros	0
2012	50	Zaragoza	OT	Operaciones de transporte	191
2012	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	597
2012	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	248
2012	50	Zaragoza	VT-N	Licencias taxi	1951
2012	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1595
2012	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	6885
2012	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1949
2012	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	23
2012	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	144
2012	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	961
2012	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1337
2012	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1086
2012	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	19
2012	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2012	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
