Mes y año	Mes (código)	Mes nombre	Comarca código	Comarca nombre	Sección (1 letra) código	Sección (1 letra) descripción	Clasificación	Sexo	Número de contratos
Agosto 2021	202108	Agosto	02	Alto Gállego	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	02	Alto Gállego	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Mujeres	9
Agosto 2021	202108	Agosto	02	Alto Gállego	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Hombres	31
Agosto 2021	202108	Agosto	02	Alto Gállego	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	02	Alto Gállego	S	Otros servicios	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	02	Alto Gállego	S	Otros servicios	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	02	Alto Gállego	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	02	Alto Gállego	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	CNAE - 2009	Mujeres	3
Agosto 2021	202108	Agosto	03	Sobrarbe	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Hombres	5
Agosto 2021	202108	Agosto	03	Sobrarbe	C	Industria manufacturera	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	03	Sobrarbe	C	Industria manufacturera	CNAE - 2009	Mujeres	4
Agosto 2021	202108	Agosto	03	Sobrarbe	F	Construcción	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	03	Sobrarbe	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Hombres	2
Agosto 2021	202108	Agosto	03	Sobrarbe	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Mujeres	10
Agosto 2021	202108	Agosto	03	Sobrarbe	H	Transporte y almacenamiento	CNAE - 2009	Hombres	2
Agosto 2021	202108	Agosto	03	Sobrarbe	I	Hostelería	CNAE - 2009	Hombres	82
Agosto 2021	202108	Agosto	03	Sobrarbe	I	Hostelería	CNAE - 2009	Mujeres	96
Agosto 2021	202108	Agosto	03	Sobrarbe	J	Información y comunicaciones	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	03	Sobrarbe	K	Actividades financieras y de seguros	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	03	Sobrarbe	K	Actividades financieras y de seguros	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	03	Sobrarbe	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Hombres	12
Agosto 2021	202108	Agosto	03	Sobrarbe	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Mujeres	7
Agosto 2021	202108	Agosto	03	Sobrarbe	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Hombres	7
Agosto 2021	202108	Agosto	03	Sobrarbe	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Mujeres	4
Agosto 2021	202108	Agosto	03	Sobrarbe	P	Educación	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	03	Sobrarbe	P	Educación	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	03	Sobrarbe	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Mujeres	4
Agosto 2021	202108	Agosto	03	Sobrarbe	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Hombres	43
Agosto 2021	202108	Agosto	03	Sobrarbe	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Mujeres	3
Agosto 2021	202108	Agosto	03	Sobrarbe	S	Otros servicios	CNAE - 2009	Mujeres	6
Agosto 2021	202108	Agosto	04	La Ribagorza	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Hombres	13
Agosto 2021	202108	Agosto	04	La Ribagorza	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	04	La Ribagorza	C	Industria manufacturera	CNAE - 2009	Hombres	4
Agosto 2021	202108	Agosto	04	La Ribagorza	C	Industria manufacturera	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	04	La Ribagorza	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	04	La Ribagorza	F	Construcción	CNAE - 2009	Hombres	12
Agosto 2021	202108	Agosto	04	La Ribagorza	F	Construcción	CNAE - 2009	Mujeres	1
