Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2011	1	4205,0	PP-PAR
01	La Jacetania	2011	2	3300,0	PSOE
01	La Jacetania	2011	3	1098,0	CHA-IU
01	La Jacetania	2011	4	497,0	UPyD
01	La Jacetania	2011	5	136,0	EQUO
01	La Jacetania	2011	6	76,0	PACMA
01	La Jacetania	2011	7	2,0	Eb
01	La Jacetania	2011	8	34,0	PCPE
01	La Jacetania	2011	9	20,0	PUM+J
01	La Jacetania	2011	10	23,0	PIRATA
01	La Jacetania	2011	11	10,0	UCE
01	La Jacetania	2011	12	2,0	DeC
01	La Jacetania	2011	13	1,0	PH
01	La Jacetania	2011	14	3,0	P-LIB
01	La Jacetania	2011	15	0,0	SXT
02	Alto Gállego	2011	1	3173,0	PP-PAR
02	Alto Gállego	2011	2	2576,0	PSOE
02	Alto Gállego	2011	3	734,0	CHA-IU
02	Alto Gállego	2011	4	279,0	UPyD
02	Alto Gállego	2011	5	97,0	EQUO
02	Alto Gállego	2011	6	40,0	PACMA
02	Alto Gállego	2011	7	0,0	Eb
02	Alto Gállego	2011	8	19,0	PCPE
02	Alto Gállego	2011	9	10,0	PUM+J
02	Alto Gállego	2011	10	19,0	PIRATA
02	Alto Gállego	2011	11	5,0	UCE
02	Alto Gállego	2011	12	0,0	DeC
02	Alto Gállego	2011	13	0,0	PH
02	Alto Gállego	2011	14	0,0	P-LIB
02	Alto Gállego	2011	15	0,0	SXT
03	Sobrarbe	2011	1	1892,0	PP-PAR
03	Sobrarbe	2011	2	1415,0	PSOE
03	Sobrarbe	2011	3	433,0	CHA-IU
03	Sobrarbe	2011	4	161,0	UPyD
03	Sobrarbe	2011	5	56,0	EQUO
03	Sobrarbe	2011	6	12,0	PACMA
03	Sobrarbe	2011	7	0,0	Eb
03	Sobrarbe	2011	8	13,0	PCPE
03	Sobrarbe	2011	9	10,0	PUM+J
03	Sobrarbe	2011	10	9,0	PIRATA
03	Sobrarbe	2011	11	1,0	UCE
03	Sobrarbe	2011	12	0,0	DeC
03	Sobrarbe	2011	13	0,0	PH
03	Sobrarbe	2011	14	0,0	P-LIB
03	Sobrarbe	2011	15	0,0	SXT
04	La Ribagorza	2011	1	3327,0	PP-PAR
04	La Ribagorza	2011	2	2224,0	PSOE
04	La Ribagorza	2011	3	548,0	CHA-IU
04	La Ribagorza	2011	4	297,0	UPyD
04	La Ribagorza	2011	5	128,0	EQUO
04	La Ribagorza	2011	6	46,0	PACMA
04	La Ribagorza	2011	7	0,0	Eb
04	La Ribagorza	2011	8	17,0	PCPE
04	La Ribagorza	2011	9	17,0	PUM+J
04	La Ribagorza	2011	10	25,0	PIRATA
04	La Ribagorza	2011	11	6,0	UCE
04	La Ribagorza	2011	12	0,0	DeC
04	La Ribagorza	2011	13	0,0	PH
04	La Ribagorza	2011	14	0,0	P-LIB
04	La Ribagorza	2011	15	0,0	SXT
05	Cinco Villas	2011	1	7860,0	PP-PAR
05	Cinco Villas	2011	2	7345,0	PSOE
05	Cinco Villas	2011	3	1527,0	CHA-IU
05	Cinco Villas	2011	4	515,0	UPyD
05	Cinco Villas	2011	5	61,0	EQUO
05	Cinco Villas	2011	6	39,0	PACMA
05	Cinco Villas	2011	7	58,0	Eb
05	Cinco Villas	2011	8	28,0	PCPE
05	Cinco Villas	2011	9	19,0	PUM+J
05	Cinco Villas	2011	10	0,0	PIRATA
05	Cinco Villas	2011	11	6,0	UCE
05	Cinco Villas	2011	12	8,0	DeC
05	Cinco Villas	2011	13	13,0	PH
05	Cinco Villas	2011	14	25,0	P-LIB
05	Cinco Villas	2011	15	0,0	SXT
06	Hoya de Huesca / Plana de Uesca	2011	1	17013,0	PP-PAR
06	Hoya de Huesca / Plana de Uesca	2011	2	11613,0	PSOE
06	Hoya de Huesca / Plana de Uesca	2011	3	3308,0	CHA-IU
06	Hoya de Huesca / Plana de Uesca	2011	4	2257,0	UPyD
06	Hoya de Huesca / Plana de Uesca	2011	5	690,0	EQUO
06	Hoya de Huesca / Plana de Uesca	2011	6	141,0	PACMA
06	Hoya de Huesca / Plana de Uesca	2011	7	1,0	Eb
06	Hoya de Huesca / Plana de Uesca	2011	8	86,0	PCPE
06	Hoya de Huesca / Plana de Uesca	2011	9	95,0	PUM+J
06	Hoya de Huesca / Plana de Uesca	2011	10	114,0	PIRATA
06	Hoya de Huesca / Plana de Uesca	2011	11	36,0	UCE
06	Hoya de Huesca / Plana de Uesca	2011	12	0,0	DeC
06	Hoya de Huesca / Plana de Uesca	2011	13	0,0	PH
06	Hoya de Huesca / Plana de Uesca	2011	14	0,0	P-LIB
06	Hoya de Huesca / Plana de Uesca	2011	15	0,0	SXT
07	Somontano de Barbastro	2011	1	6873,0	PP-PAR
07	Somontano de Barbastro	2011	2	4594,0	PSOE
07	Somontano de Barbastro	2011	3	974,0	CHA-IU
07	Somontano de Barbastro	2011	4	609,0	UPyD
