Año	Nº Accidentes	Grupo	Descripción ocupación	Sexo	Código	Municipio
2010,0	1	3	Técnicos y profesionales de apoyo	Mujeres	44025	Andorra
2010,0	24	3	Técnicos y profesionales de apoyo	Mujeres	44216	Teruel
2010,0	3	3	Técnicos y profesionales de apoyo	Mujeres	50008	Alagón
2010,0	6	3	Técnicos y profesionales de apoyo	Mujeres	50067	Calatayud
2010,0	1	3	Técnicos y profesionales de apoyo	Mujeres	50074	Caspe
2010,0	2	3	Técnicos y profesionales de apoyo	Mujeres	50089	Cuarte de Huerva
2010,0	1	3	Técnicos y profesionales de apoyo	Mujeres	50095	Ejea de los Caballeros
2010,0	1	3	Técnicos y profesionales de apoyo	Mujeres	50163	María de Huerva
2010,0	1	3	Técnicos y profesionales de apoyo	Mujeres	50251	Tarazona
2010,0	1	3	Técnicos y profesionales de apoyo	Mujeres	50272	Utebo
2010,0	135	3	Técnicos y profesionales de apoyo	Mujeres	50297	Zaragoza
2010,0	1	3	Técnicos y profesionales de apoyo	Mujeres	50298	Zuera
2010,0	1	4	Empleados de tipo administrativo	Hombres	22061	Binéfar
2010,0	2	4	Empleados de tipo administrativo	Hombres	22112	Fraga
2010,0	4	4	Empleados de tipo administrativo	Hombres	22125	Huesca
2010,0	2	4	Empleados de tipo administrativo	Hombres	22158	Monzón
2010,0	1	4	Empleados de tipo administrativo	Hombres	22199	Sabiñánigo
2010,0	2	4	Empleados de tipo administrativo	Hombres	44013	Alcañiz
2010,0	10	4	Empleados de tipo administrativo	Hombres	44216	Teruel
2010,0	2	4	Empleados de tipo administrativo	Hombres	50008	Alagón
2010,0	3	4	Empleados de tipo administrativo	Hombres	50067	Calatayud
2010,0	3	4	Empleados de tipo administrativo	Hombres	50095	Ejea de los Caballeros
2010,0	1	4	Empleados de tipo administrativo	Hombres	50163	María de Huerva
2010,0	2	4	Empleados de tipo administrativo	Hombres	50182	Muela (La)
2010,0	2	4	Empleados de tipo administrativo	Hombres	50219	Puebla de Alfindén (La)
2010,0	1	4	Empleados de tipo administrativo	Hombres	50252	Tauste
2010,0	1	4	Empleados de tipo administrativo	Hombres	50272	Utebo
2010,0	69	4	Empleados de tipo administrativo	Hombres	50297	Zaragoza
2010,0	2	4	Empleados de tipo administrativo	Mujeres	22048	Barbastro
2010,0	6	4	Empleados de tipo administrativo	Mujeres	22061	Binéfar
2010,0	2	4	Empleados de tipo administrativo	Mujeres	22112	Fraga
