Provincia código	Provincia nombre	Año	Orden	Siglas	Votos
50	Zaragoza	2007	33	A AL	50,0
50	Zaragoza	2007	35	AIL	42,0
50	Zaragoza	2007	39	IND	27,0
50	Zaragoza	2007	40	PAVIP	26,0
50	Zaragoza	2011	1	PP	182819,0
50	Zaragoza	2011	2	PSOE	145031,0
50	Zaragoza	2011	3	PAR	42190,0
50	Zaragoza	2011	4	CHA	41992,0
50	Zaragoza	2011	5	IU	29443,0
50	Zaragoza	2011	6	UPyD	12191,0
50	Zaragoza	2011	7	COMPROMISO CON ARAGON	1367,0
50	Zaragoza	2011	8	FIA	2076,0
50	Zaragoza	2011	9	ECOLO	1577,0
50	Zaragoza	2011	10	LV-GV	1505,0
50	Zaragoza	2011	11	PACMA	1051,0
50	Zaragoza	2011	12	CDL	944,0
50	Zaragoza	2011	13	CPC	862,0
50	Zaragoza	2011	14	PUM+J	587,0
50	Zaragoza	2011	15	TA	500,0
50	Zaragoza	2011	16	pCUA	465,0
50	Zaragoza	2011	17	AES	235,0
50	Zaragoza	2011	18	PCPE	384,0
50	Zaragoza	2011	19	PFyV	301,0
50	Zaragoza	2011	21	PH	271,0
50	Zaragoza	2011	22	L'VIA	227,0
50	Zaragoza	2011	23	ACC	221,0
50	Zaragoza	2011	25	AISOS	73,0
50	Zaragoza	2011	27	CAVA	65,0
50	Zaragoza	2011	29	ECOLO VERDES	53,0
50	Zaragoza	2011	30	PIRUM	47,0
50	Zaragoza	2011	31	INDEPENDIENTE CALCENA	43,0
50	Zaragoza	2011	32	UCL	43,0
50	Zaragoza	2011	34	UCE	16,0
50	Zaragoza	2011	35	A E I SABIÑAN	29,0
50	Zaragoza	2011	36	PYLN	29,0
50	Zaragoza	2015	1	PP	127702,0
50	Zaragoza	2015	2	PSOE	108029,0
50	Zaragoza	2015	3	ZGZ	80040,0
50	Zaragoza	2015	4	C's	45718,0
50	Zaragoza	2015	5	PAR	27946,0
50	Zaragoza	2015	6	PSOE	5445,0
50	Zaragoza	2015	7	CHA	32452,0
50	Zaragoza	2015	8	PP	4414,0
50	Zaragoza	2015	9	UPyD	4931,0
50	Zaragoza	2015	10	EB	4783,0
50	Zaragoza	2015	11	PACMA	3840,0
50	Zaragoza	2015	12	COMPROMISO CON ARAGON	2696,0
50	Zaragoza	2015	13	ARAGONSIPUEDE	2186,0
50	Zaragoza	2015	14	LV-GV	1818,0
50	Zaragoza	2015	17	IU-ZGZ	1816,0
50	Zaragoza	2015	18	P.C.P.E.	899,0
50	Zaragoza	2015	19	PSOE	1574,0
50	Zaragoza	2015	21	PAR	1306,0
50	Zaragoza	2015	22	M.S.R.	629,0
50	Zaragoza	2015	24	CHA	21,0
50	Zaragoza	2015	25	EPC-ZGZ	1207,0
50	Zaragoza	2015	26	CHA	730,0
50	Zaragoza	2015	28	FIA	482,0
50	Zaragoza	2015	29	ZGZ	1106,0
50	Zaragoza	2015	30	BAR	552,0
50	Zaragoza	2015	32	E.A.	454,0
50	Zaragoza	2015	33	IU-ZGZ	832,0
50	Zaragoza	2015	37	SZ - ZGZ	595,0
50	Zaragoza	2015	38	POR MALLEN	551,0
50	Zaragoza	2015	40	SOMOS EPILA	482,0
50	Zaragoza	2015	41	CCA-ZGZ	479,0
50	Zaragoza	2015	43	FIA-PILL	442,0
50	Zaragoza	2015	44	FIA	430,0
50	Zaragoza	2015	46	UNIÓN UTEBO	350,0
50	Zaragoza	2015	48	IU-ZGZ	307,0
50	Zaragoza	2015	52	CALATAYUD PLURAL - ZGZ	276,0
50	Zaragoza	2015	54	ZGZ	242,0
50	Zaragoza	2015	55	GLM-ZGZ	214,0
50	Zaragoza	2015	56	ZGZ	213,0
50	Zaragoza	2015	59	A.V.P.	184,0
50	Zaragoza	2015	61	GA-ZGZ	172,0
50	Zaragoza	2015	62	IP ATECA - ZGZ	156,0
50	Zaragoza	2015	66	I.P.H.	133,0
50	Zaragoza	2015	72	IU	97,0
50	Zaragoza	2015	77	AGRUPACION DE ELECTORES TODOS CERVERA	68,0
50	Zaragoza	2015	78	AE MURILLO DE GALLEGO	63,0
50	Zaragoza	2015	81	AE EL FRAGO	50,0
50	Zaragoza	2015	84	A.E.L.H.A.	42,0
50	Zaragoza	2015	86	IU-ZGZ	37,0
50	Zaragoza	2015	87	UCIN	26,0
50	Zaragoza	2015	88	JUNTOS POR ALADRÉN	23,0
50	Zaragoza	2015	89	GANAR-ZRZ	22,0
50	Zaragoza	2015	91	CAMBIAR ARTIEDA-PUYALÓN DE CUCHAS	15,0
50	Zaragoza	2015	92	COMIENZOS NUEVOS	15,0
