Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Número de contratos	Número trabajadores (CC)
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Mujeres	34	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Hombres	1	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Hombres	1	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	04	La Ribagorza	Mujeres	1	99 No consta
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	142	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	120	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	60	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	36	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	87	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	32	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	63	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	133	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	52	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	63	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	62	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	33	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	33	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	14	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	4	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	4	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Hombres	20	99 No consta
Septiembre 2021	202109	Septiembre	2021	05	Cinco Villas	Mujeres	8	99 No consta
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	425	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	401	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	151	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	159	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	369	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	300	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	57	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	78	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	100	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	120	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	111	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	196	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	30	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	26	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	1	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	11	99 No consta
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	11	99 No consta
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	123	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	99	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	42	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	31	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	74	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	73	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	61	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	54	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	7	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	11	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	9	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	9	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	18	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	8	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	1	99 No consta
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Mujeres	5	99 No consta
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	165	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	121	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	54	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	20	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	92	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	57	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	161	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	242	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	40	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	24	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	29	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	8	06 De 200 a 499 trabajadores
