Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Sexo	% de población de 0 a 19 años	% de población de 20 a 64 años	% de población de 65 y más años	% de población menor de 15	% de población menor de 25	% de población menor de 35	% de población menor de 45	Edad media de la población	Índice de envejecimiento	Índice de juventud	Índice de vejez	Índice de ancianidad	Índice de sobreenvejecimiento	Tasa global de dependencia	Tasa global de dependencia ancianos	Tasa global de dependencia jóvenes	Índice estructura de población activa total	Índice reemplazamiento edad activa total	Tasa de masculinidad	Índice de maternidad	Índice de potencialidad	Personas
1998	22	22017	Alcolea de Cinca	Mujeres	21,9869706840391	53,7459283387622	24,2671009771987	14,6579804560261	27,8501628664495	43,485342019544	54,885993485342	42,7785016286645	110,37037037037	60,4026845637584	165,555555555556	32,8859060402685	12,0805369127517	63,7333333333333	39,7333333333333	24,0	131,25	114,285714285714	0,0	11,5523465703971	132,0	614
1998	22	22018	Alcubierre	Mujeres	12,7853881278539	52,0547945205479	35,1598173515982	9,58904109589041	18,2648401826484	29,2237442922374	40,6392694063927	50,4178082191781	275,0	27,2727272727273	366,666666666667	35,0649350649351	10,3896103896104	80,9917355371901	63,6363636363636	17,3553719008264	83,0769230769231	31,25	0,0	9,21052631578947	109,090909090909	219
1998	22	22019	Alerre	Mujeres	18,3908045977011	62,0689655172414	19,5402298850575	10,3448275862069	28,735632183908	37,9310344827586	49,4252873563218	43,5344827586207	106,25	52,9411764705882	188,888888888889	23,5294117647059	11,7647058823529	42,6229508196721	27,8688524590164	14,7540983606557	74,2857142857143	87,5	0,0	0,0	89,4736842105263	87
1998	22	22020	Alfántega	Mujeres	17,4603174603175	42,8571428571429	39,6825396825397	12,6984126984127	17,4603174603175	28,5714285714286	41,2698412698413	51,0079365079365	227,272727272727	32,0	312,5	56,0	12,0	110,0	83,3333333333333	26,6666666666667	100,0	100,0	0,0	15,7894736842105	77,7777777777778	63
1998	22	22021	Almudévar	Mujeres	14,7441457068517	54,7267996530789	30,5290546400694	9,19340849956635	20,4683434518647	33,6513443191674	44,6660884648742	48,2953165654814	207,058823529412	30,1136363636364	332,075471698113	34,9431818181818	12,5	65,8992805755396	50,6474820143885	15,2517985611511	99,1228070175439	54,3478260869565	0,0	6,20985010706638	117,837837837838	1153
1998	22	22022	Almunia de San Juan	Mujeres	16,3380281690141	50,1408450704225	33,5211267605634	9,85915492957746	21,1267605633803	34,3661971830986	45,6338028169014	48,6014084507042	205,172413793103	29,4117647058823	340,0	35,2941176470588	13,4453781512605	76,6169154228856	59,2039800995025	17,4129353233831	105,263157894737	65,3846153846154	0,0	8,7248322147651	103,225806451613	355
1998	22	22023	Almuniente	Mujeres	20,1342281879195	54,3624161073825	25,503355704698	11,4093959731544	30,2013422818792	40,6040268456376	54,0268456375839	43,3456375838926	126,666666666667	44,7368421052631	223,529411764706	38,1578947368421	7,89473684210526	58,5106382978723	40,4255319148936	18,0851063829787	130,379746835443	222,222222222222	0,0	5,96026490066225	95,3125	298
1998	22	22024	Alquézar	Mujeres	11,5646258503401	53,7414965986395	34,6938775510204	7,48299319727891	14,9659863945578	32,6530612244898	42,8571428571429	50,2006802721088	300,0	21,5686274509804	463,636363636364	25,4901960784314	21,5686274509804	72,9411764705882	60,0	12,9411764705882	129,72972972973	100,0	0,0	5,17241379310345	147,619047619048	147
1998	22	22025	Altorricón	Mujeres	14,6131805157593	55,8739255014327	29,512893982808	9,59885386819484	23,2091690544413	36,2464183381089	45,8452722063037	46,7063037249284	201,960784313725	32,5242718446602	307,462686567164	32,5242718446602	10,1941747572816	64,235294117647	48,4705882352941	15,7647058823529	103,398058252427	56,8627450980392	0,0	9,73154362416107	134,821428571429	698
1998	22	22027	Angüés	Mujeres	14,8717948717949	48,7179487179487	36,4102564102564	8,71794871794872	20,5128205128205	31,7948717948718	42,5641025641026	49,4076923076923	244,827586206897	23,943661971831	417,647058823529	26,7605633802817	5,63380281690141	82,2429906542056	66,3551401869159	15,8878504672897	118,367346938776	75,0	0,0	7,89473684210526	106,451612903226	195
