Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2011	159995,0	PP-PAR	3,0
22	Huesca	2011	111084,0	PSOE	1,0
22	Huesca	2011	23992,0	CHA-IU	0,0
22	Huesca	2011	5799,0	UPyD	0,0
22	Huesca	2011	4682,0	EQUO	0,0
22	Huesca	2011	1357,0	PACMA	0,0
22	Huesca	2011	0,0	Eb	
22	Huesca	2011	716,0	PCPE	0,0
22	Huesca	2011	1081,0	PUM+J	0,0
22	Huesca	2011	352,0	UCE	0,0
22	Huesca	2011	0,0	DeC	
22	Huesca	2011	0,0	PH	
22	Huesca	2011	0,0	P-LIB	
22	Huesca	2011	0,0	SXT	
44	Teruel	2011	110666,0	PP-PAR	3,0
44	Teruel	2011	69938,0	PSOE	1,0
44	Teruel	2011	14357,0	CHA-IU	0,0
44	Teruel	2011	2761,0	UPyD	0,0
44	Teruel	2011	0,0	EQUO	
44	Teruel	2011	672,0	PACMA	0,0
44	Teruel	2011	1225,0	Eb	0,0
44	Teruel	2011	0,0	PCPE	
44	Teruel	2011	502,0	PUM+J	0,0
44	Teruel	2011	228,0	UCE	0,0
44	Teruel	2011	0,0	DeC	
44	Teruel	2011	0,0	PH	
44	Teruel	2011	0,0	P-LIB	
44	Teruel	2011	446,0	SXT	0,0
50	Zaragoza	2011	662356,0	PP-PAR	3,0
50	Zaragoza	2011	425329,0	PSOE	1,0
50	Zaragoza	2011	144300,0	CHA-IU	0,0
50	Zaragoza	2011	32172,0	UPyD	0,0
50	Zaragoza	2011	11831,0	EQUO	0,0
50	Zaragoza	2011	10152,0	PACMA	0,0
50	Zaragoza	2011	12854,0	Eb	0,0
50	Zaragoza	2011	1828,0	PCPE	0,0
50	Zaragoza	2011	2807,0	PUM+J	0,0
50	Zaragoza	2011	780,0	UCE	0,0
50	Zaragoza	2011	1887,0	DeC	0,0
50	Zaragoza	2011	1209,0	PH	0,0
50	Zaragoza	2011	1041,0	P-LIB	0,0
50	Zaragoza	2011	0,0	SXT	
