Año	Mes (código)	Mes nombre	Mes y año	Sexo	Comarca código	Comarca nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
2021	202110	Octubre	Octubre 2021	Mujeres	04	La Ribagorza	Indefinido	Indefinido	Indef. Ordinario	7
2021	202110	Octubre	Octubre 2021	Hombres	04	La Ribagorza	Temporal	Obra o servicio	Obra o servicio	43
2021	202110	Octubre	Octubre 2021	Mujeres	04	La Ribagorza	Temporal	Obra o servicio	Obra o servicio	27
2021	202110	Octubre	Octubre 2021	Hombres	04	La Ribagorza	Temporal	Eventual por circunstancias de la producción	Eventual producción	64
2021	202110	Octubre	Octubre 2021	Mujeres	04	La Ribagorza	Temporal	Eventual por circunstancias de la producción	Eventual producción	68
2021	202110	Octubre	Octubre 2021	Hombres	04	La Ribagorza	Temporal	Interinidad	Interinidad	6
2021	202110	Octubre	Octubre 2021	Mujeres	04	La Ribagorza	Temporal	Interinidad	Interinidad	25
2021	202110	Octubre	Octubre 2021	Hombres	04	La Ribagorza	Temporal	Ligados a la formación	Formación	9
2021	202110	Octubre	Octubre 2021	Mujeres	04	La Ribagorza	Temporal	Ligados a la formación	Formación	2
2021	202110	Octubre	Octubre 2021	Hombres	05	Cinco Villas	Indefinido	Indefinido	Indef. Fomento	41
2021	202110	Octubre	Octubre 2021	Hombres	05	Cinco Villas	Indefinido	Indefinido	Indef. Ordinario	23
2021	202110	Octubre	Octubre 2021	Mujeres	05	Cinco Villas	Indefinido	Indefinido	Indef. Fomento	6
2021	202110	Octubre	Octubre 2021	Mujeres	05	Cinco Villas	Indefinido	Indefinido	Indef. Ordinario	21
2021	202110	Octubre	Octubre 2021	Hombres	05	Cinco Villas	Temporal	Obra o servicio	Obra o servicio	170
2021	202110	Octubre	Octubre 2021	Mujeres	05	Cinco Villas	Temporal	Obra o servicio	Obra o servicio	96
2021	202110	Octubre	Octubre 2021	Hombres	05	Cinco Villas	Temporal	Eventual por circunstancias de la producción	Eventual producción	205
2021	202110	Octubre	Octubre 2021	Mujeres	05	Cinco Villas	Temporal	Eventual por circunstancias de la producción	Eventual producción	137
2021	202110	Octubre	Octubre 2021	Hombres	05	Cinco Villas	Temporal	Interinidad	Interinidad	8
2021	202110	Octubre	Octubre 2021	Mujeres	05	Cinco Villas	Temporal	Interinidad	Interinidad	26
2021	202110	Octubre	Octubre 2021	Hombres	05	Cinco Villas	Temporal	Ligados a la jubilación	Jubilación parcial	2
2021	202110	Octubre	Octubre 2021	Hombres	05	Cinco Villas	Temporal	Ligados a la jubilación	Relevo	2
2021	202110	Octubre	Octubre 2021	Mujeres	05	Cinco Villas	Temporal	Ligados a la jubilación	Relevo	1
2021	202110	Octubre	Octubre 2021	Hombres	05	Cinco Villas	Temporal	Ligados a la formación	Formación	6
2021	202110	Octubre	Octubre 2021	Mujeres	05	Cinco Villas	Temporal	Ligados a la formación	Formación	8
2021	202110	Octubre	Octubre 2021	Mujeres	05	Cinco Villas	Temporal	Ligados a la formación	Prácticas	1
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Indefinido	Indefinido	Indef. Fomento	59
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Indefinido	Indefinido	Indef. Ordinario	69
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Indefinido	Indefinido	Indef. Fomento	44
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Indefinido	Indefinido	Indef. Ordinario	78
