Provincia código	Provincia nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22	Huesca	2008	220107,0	176265,0	133835,0	42430,0	3289,0	2704,0	127842,0	75,9282897909398
22	Huesca	2011	228566,0	175713,0	121711,0	54002,0	5393,0	8479,0	107839,0	69,2669295954198
22	Huesca	2015	224909,0	167329,0	121138,0	46191,0	4093,0	6076,0	110969,0	72,3951018651877
22	Huesca	2016	222909,0	166658,0	115932,0	50726,0	3227,0	3808,0	108897,0	69,5628172664979
22	Huesca	2019	219345,0	172722,0	114292,0	58430,0	2510,0	2671,0	109111,0	66,171072590637
44	Teruel	2008	144046,0	114212,0	87507,0	26705,0	2780,0	1515,0	83212,0	76,6180436381466
44	Teruel	2011	145277,0	112301,0	78805,0	33496,0	3525,0	4591,0	70689,0	70,1730171592417
44	Teruel	2015	140365,0	105452,0	77808,0	27644,0	2978,0	3633,0	71197,0	73,7852292986382
44	Teruel	2016	138932,0	104809,0	74870,0	29939,0	2455,0	2436,0	69979,0	71,434705034873
44	Teruel	2019	134572,0	107467,0	74378,0	33089,0	1452,0	1088,0	71838,0	69,2100830952758
50	Zaragoza	2008	932502,0	725943,0	552523,0	173420,0	12839,0	12787,0	526897,0	76,1110720814169
50	Zaragoza	2011	973252,0	730496,0	518407,0	212089,0	19768,0	34584,0	464055,0	70,9664392412826
50	Zaragoza	2015	960111,0	713600,0	528726,0	184874,0	16431,0	25073,0	487222,0	74,0927690582959
50	Zaragoza	2016	956006,0	710271,0	508571,0	201700,0	11526,0	14191,0	482854,0	71,602388384152
50	Zaragoza	2019	954811,0	739573,0	515605,0	223968,0	8794,0	11700,0	495111,0	69,7165797020713
