Comarca código	Comarca nombre	Año	Siglas	Votos	Candidatura
04	La Ribagorza	2019	PUM+J	9,0	POR UN MUNDO MÁS JUSTO
04	La Ribagorza	2019	PCPE	7,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
04	La Ribagorza	2019	FIA	1,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
04	La Ribagorza	2019	PCTE	9,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
04	La Ribagorza	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
04	La Ribagorza	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
04	La Ribagorza	2019	UDT	0,0	UNIÓN DE TODOS
05	Cinco Villas	2019	PSOE	6169,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
05	Cinco Villas	2019	PP	3766,0	PARTIDO POPULAR
05	Cinco Villas	2019	VOX	2529,0	VOX
05	Cinco Villas	2019	PODEMOS-IU	1461,0	UNIDAS PODEMOS
05	Cinco Villas	2019	Cs	1005,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
05	Cinco Villas	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
05	Cinco Villas	2019	M PAÍS-CHA-EQUO	596,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
05	Cinco Villas	2019	PACMA	47,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
05	Cinco Villas	2019	EB	39,0	ESCAÑOS EN BLANCO
05	Cinco Villas	2019	CHA	0,0	CHUNTA ARAGONESISTA
05	Cinco Villas	2019	MAS	16,0	MOVIMIENTO ARAGONES SOCIAL
05	Cinco Villas	2019	RECORTES CERO-GV	7,0	RECORTES CERO-GRUPO VERDE
05	Cinco Villas	2019	PUM+J	10,0	POR UN MUNDO MÁS JUSTO
05	Cinco Villas	2019	PCPE	10,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
05	Cinco Villas	2019	FIA	10,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
05	Cinco Villas	2019	PCTE	21,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
05	Cinco Villas	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
05	Cinco Villas	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
05	Cinco Villas	2019	UDT	0,0	UNIÓN DE TODOS
06	Hoya de Huesca / Plana de Uesca	2019	PSOE	12060,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
06	Hoya de Huesca / Plana de Uesca	2019	PP	9178,0	PARTIDO POPULAR
06	Hoya de Huesca / Plana de Uesca	2019	VOX	5521,0	VOX
06	Hoya de Huesca / Plana de Uesca	2019	PODEMOS-IU	4462,0	UNIDAS PODEMOS
06	Hoya de Huesca / Plana de Uesca	2019	Cs	2972,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
06	Hoya de Huesca / Plana de Uesca	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
06	Hoya de Huesca / Plana de Uesca	2019	M PAÍS-CHA-EQUO	9,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
06	Hoya de Huesca / Plana de Uesca	2019	PACMA	249,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
06	Hoya de Huesca / Plana de Uesca	2019	EB	155,0	ESCAÑOS EN BLANCO
06	Hoya de Huesca / Plana de Uesca	2019	CHA	620,0	CHUNTA ARAGONESISTA
06	Hoya de Huesca / Plana de Uesca	2019	MAS	0,0	MOVIMIENTO ARAGONES SOCIAL
06	Hoya de Huesca / Plana de Uesca	2019	RECORTES CERO-GV	87,0	RECORTES CERO-GRUPO VERDE
06	Hoya de Huesca / Plana de Uesca	2019	PUM+J	58,0	POR UN MUNDO MÁS JUSTO
06	Hoya de Huesca / Plana de Uesca	2019	PCPE	23,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
06	Hoya de Huesca / Plana de Uesca	2019	FIA	9,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
06	Hoya de Huesca / Plana de Uesca	2019	PCTE	29,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
